SED_NAME16	Age5yr	ChildrenEverBorn	females
Bathurst	35-39	5	45
Bathurst	35-39	6	37
Bathurst	40-44		178
Bathurst	40-44	0	273
Bathurst	40-44	1	279
Bathurst	40-44	2	801
Bathurst	40-44	3	555
Bathurst	40-44	4	223
Bathurst	40-44	5	71
Bathurst	40-44	6	50
Bathurst	45-49		203
Bathurst	45-49	0	283
Bathurst	45-49	1	243
Bathurst	45-49	2	888
Bathurst	45-49	3	563
Bathurst	45-49	4	228
Bathurst	45-49	5	72
Bathurst	45-49	6	48
Bathurst	50-54		234
Bathurst	50-54	0	358
Bathurst	50-54	1	298
Bathurst	50-54	2	830
Bathurst	50-54	3	573
Bathurst	50-54	4	244
Bathurst	50-54	5	87
Bathurst	50-54	6	49
Bathurst	55-59		208
Bathurst	55-59	0	351
Bathurst	55-59	1	275
Bathurst	55-59	2	838
Bathurst	55-59	3	614
Bathurst	55-59	4	288
Bathurst	55-59	5	85
Bathurst	55-59	6	44
Bathurst	60-64		230
Bathurst	60-64	0	264
Bathurst	60-64	1	210
Bathurst	60-64	2	797
Bathurst	60-64	3	588
Bathurst	60-64	4	263
Bathurst	60-64	5	71
Bathurst	60-64	6	43
Bathurst	65-69		254
Bathurst	65-69	0	229
Bathurst	65-69	1	193
Bathurst	65-69	2	776
Bathurst	65-69	3	547
Bathurst	65-69	4	282
Bathurst	65-69	5	73
Bathurst	65-69	6	38
Bathurst	70-74		177
Bathurst	70-74	0	172
Bathurst	70-74	1	121
Bathurst	70-74	2	549
Bathurst	70-74	3	488
Bathurst	70-74	4	226
Bathurst	70-74	5	87
Bathurst	70-74	6	59
Bathurst	75-79		154
Bathurst	75-79	0	124
Bathurst	75-79	1	81
Bathurst	75-79	2	304
Bathurst	75-79	3	305
Bathurst	75-79	4	202
Bathurst	75-79	5	96
Bathurst	75-79	6	72
Bathurst	80-84		139
Bathurst	80-84	0	98
Bathurst	80-84	1	65
Bathurst	80-84	2	186
Bathurst	80-84	3	226
Bathurst	80-84	4	162
Bathurst	80-84	5	75
Bathurst	80-84	6	79
Bathurst	85+		192
Bathurst	85+	0	81
Bathurst	85+	1	85
