SED_NAME16	Age	ProvidedUnpaidDisabilityAssistance	Sex	adults
Canterbury	65-74	1	F	572
Canterbury	65-74	1	M	360
Canterbury	75-84		F	220
Canterbury	75-84		M	176
Canterbury	75-84	0	F	1951
Canterbury	75-84	0	M	1715
Canterbury	75-84	1	F	316
Canterbury	75-84	1	M	268
Canterbury	85+		F	99
Canterbury	85+		M	81
Canterbury	85+	0	F	929
Canterbury	85+	0	M	624
Canterbury	85+	1	F	41
Canterbury	85+	1	M	82
Castle Hill	15-19		F	145
Castle Hill	15-19		M	154
Castle Hill	15-19	0	F	2701
Castle Hill	15-19	0	M	2815
Castle Hill	15-19	1	F	140
Castle Hill	15-19	1	M	145
Castle Hill	20-24		F	83
Castle Hill	20-24		M	95
Castle Hill	20-24	0	F	2090
Castle Hill	20-24	0	M	2400
Castle Hill	20-24	1	F	135
Castle Hill	20-24	1	M	126
Castle Hill	25-34		F	186
Castle Hill	25-34		M	178
Castle Hill	25-34	0	F	3597
Castle Hill	25-34	0	M	3529
Castle Hill	25-34	1	F	357
Castle Hill	25-34	1	M	227
Castle Hill	35-44		F	240
Castle Hill	35-44		M	230
Castle Hill	35-44	0	F	5385
Castle Hill	35-44	0	M	4958
Castle Hill	35-44	1	F	830
Castle Hill	35-44	1	M	486
Castle Hill	45-54		F	232
Castle Hill	45-54		M	258
Castle Hill	45-54	0	F	4728
Castle Hill	45-54	0	M	4824
Castle Hill	45-54	1	F	1087
Castle Hill	45-54	1	M	650
Castle Hill	55-64		F	163
Castle Hill	55-64		M	174
Castle Hill	55-64	0	F	3477
Castle Hill	55-64	0	M	3655
Castle Hill	55-64	1	F	1020
Castle Hill	55-64	1	M	632
Castle Hill	65-74		F	176
Castle Hill	65-74		M	144
Castle Hill	65-74	0	F	2621
Castle Hill	65-74	0	M	2558
Castle Hill	65-74	1	F	486
Castle Hill	65-74	1	M	373
Castle Hill	75-84		F	99
Castle Hill	75-84		M	94
Castle Hill	75-84	0	F	1111
Castle Hill	75-84	0	M	1072
Castle Hill	75-84	1	F	161
Castle Hill	75-84	1	M	128
Castle Hill	85+		F	56
Castle Hill	85+		M	38
Castle Hill	85+	0	F	523
Castle Hill	85+	0	M	285
Castle Hill	85+	1	F	34
Castle Hill	85+	1	M	42
Cessnock	15-19		F	207
Cessnock	15-19		M	250
Cessnock	15-19	0	F	1998
Cessnock	15-19	0	M	2070
Cessnock	15-19	1	F	125
Cessnock	15-19	1	M	107
Cessnock	20-24		F	172
Cessnock	20-24		M	298
Cessnock	20-24	0	F	1923
Cessnock	20-24	0	M	1929
Cessnock	20-24	1	F	168
Cessnock	20-24	1	M	128
Cessnock	25-34		F	383
Cessnock	25-34		M	649
Cessnock	25-34	0	F	4194
Cessnock	25-34	0	M	3953
Cessnock	25-34	1	F	629
Cessnock	25-34	1	M	342
Cessnock	35-44		F	309
Cessnock	35-44		M	592
Cessnock	35-44	0	F	3726
Cessnock	35-44	0	M	3941
Cessnock	35-44	1	F	860
Cessnock	35-44	1	M	474
Cessnock	45-54		F	345
Cessnock	45-54		M	475
Cessnock	45-54	0	F	3459
Cessnock	45-54	0	M	3717
Cessnock	45-54	1	F	1000
Cessnock	45-54	1	M	585
