SED_NAME16	DwellingStructure	InternetAccessedFromDwelling	occupied_private_dwellings
Cleveland	Flat/apartment		49
Cleveland	Flat/apartment	0	400
Cleveland	Flat/apartment	1	1048
Cleveland	Semi-detached, row/terrace house, townhouse etc.		75
Cleveland	Semi-detached, row/terrace house, townhouse etc.	0	487
Cleveland	Semi-detached, row/terrace house, townhouse etc.	1	1647
Cleveland	Separate house		264
Cleveland	Separate house	0	1049
Cleveland	Separate house	1	13003
Condamine		0	14
Condamine		1	66
Condamine	(Other)		9
Condamine	(Other)	0	47
Condamine	(Other)	1	67
Condamine	Flat/apartment		21
Condamine	Flat/apartment	0	122
Condamine	Flat/apartment	1	265
Condamine	Semi-detached, row/terrace house, townhouse etc.		24
Condamine	Semi-detached, row/terrace house, townhouse etc.	0	167
Condamine	Semi-detached, row/terrace house, townhouse etc.	1	329
Condamine	Separate house		393
Condamine	Separate house	0	2582
Condamine	Separate house	1	14813
Cook			29
Cook		0	26
Cook		1	95
Cook	(Other)		86
Cook	(Other)	0	163
Cook	(Other)	1	325
Cook	Flat/apartment		63
Cook	Flat/apartment	0	356
Cook	Flat/apartment	1	606
Cook	Semi-detached, row/terrace house, townhouse etc.		52
Cook	Semi-detached, row/terrace house, townhouse etc.	0	290
Cook	Semi-detached, row/terrace house, townhouse etc.	1	899
Cook	Separate house		517
Cook	Separate house	0	2886
Cook	Separate house	1	9657
Coomera			10
Coomera		0	11
Coomera		1	70
Coomera	(Other)		10
Coomera	(Other)	0	34
Coomera	(Other)	1	146
Coomera	Flat/apartment		34
Coomera	Flat/apartment	0	181
Coomera	Flat/apartment	1	1031
Coomera	Semi-detached, row/terrace house, townhouse etc.		85
Coomera	Semi-detached, row/terrace house, townhouse etc.	0	550
Coomera	Semi-detached, row/terrace house, townhouse etc.	1	3197
Coomera	Separate house		461
Coomera	Separate house	0	1708
Coomera	Separate house	1	17182
Currumbin			8
Currumbin		0	10
Currumbin		1	52
Currumbin	(Other)		10
Currumbin	(Other)	0	29
Currumbin	(Other)	1	58
Currumbin	Flat/apartment		147
Currumbin	Flat/apartment	0	936
Currumbin	Flat/apartment	1	3250
Currumbin	Semi-detached, row/terrace house, townhouse etc.		96
Currumbin	Semi-detached, row/terrace house, townhouse etc.	0	619
Currumbin	Semi-detached, row/terrace house, townhouse etc.	1	2488
Currumbin	Separate house		227
Currumbin	Separate house	0	1002
Currumbin	Separate house	1	9146
Dalrymple			14
Dalrymple		0	24
Dalrymple		1	56
Dalrymple	(Other)		25
Dalrymple	(Other)	0	124
Dalrymple	(Other)	1	228
Dalrymple	Flat/apartment		38
Dalrymple	Flat/apartment	0	274
Dalrymple	Flat/apartment	1	417
Dalrymple	Semi-detached, row/terrace house, townhouse etc.		22
Dalrymple	Semi-detached, row/terrace house, townhouse etc.	0	165
Dalrymple	Semi-detached, row/terrace house, townhouse etc.	1	410
Dalrymple	Separate house		450
Dalrymple	Separate house	0	2875
Dalrymple	Separate house	1	11757
Everton			3
Everton		0	6
Everton		1	17
Everton	Flat/apartment		38
Everton	Flat/apartment	0	330
Everton	Flat/apartment	1	1045
Everton	Semi-detached, row/terrace house, townhouse etc.		48
Everton	Semi-detached, row/terrace house, townhouse etc.	0	237
Everton	Semi-detached, row/terrace house, townhouse etc.	1	1189
Everton	Separate house		188
Everton	Separate house	0	810
Everton	Separate house	1	12392
Ferny Grove			4
Ferny Grove		1	20
Ferny Grove	(Other)	1	7
Ferny Grove	Flat/apartment		10
Ferny Grove	Flat/apartment	0	38
Ferny Grove	Flat/apartment	1	302
Ferny Grove	Semi-detached, row/terrace house, townhouse etc.		46
Ferny Grove	Semi-detached, row/terrace house, townhouse etc.	0	122
Ferny Grove	Semi-detached, row/terrace house, townhouse etc.	1	549
Ferny Grove	Separate house		178
Ferny Grove	Separate house	0	743
Ferny Grove	Separate house	1	13226
Gaven			8
Gaven		0	7
Gaven		1	20
Gaven	(Other)		9
Gaven	(Other)	0	51
Gaven	(Other)	1	94
Gaven	Flat/apartment		36
Gaven	Flat/apartment	0	220
Gaven	Flat/apartment	1	502
Gaven	Semi-detached, row/terrace house, townhouse etc.		113
Gaven	Semi-detached, row/terrace house, townhouse etc.	0	655
Gaven	Semi-detached, row/terrace house, townhouse etc.	1	2963
Gaven	Separate house		313
Gaven	Separate house	0	1081
Gaven	Separate house	1	13448
Gladstone			3
Gladstone		0	5
Gladstone		1	26
Gladstone	(Other)		21
Gladstone	(Other)	0	83
Gladstone	(Other)	1	163
Gladstone	Flat/apartment		50
Gladstone	Flat/apartment	0	353
Gladstone	Flat/apartment	1	878
Gladstone	Semi-detached, row/terrace house, townhouse etc.		25
Gladstone	Semi-detached, row/terrace house, townhouse etc.	0	233
Gladstone	Semi-detached, row/terrace house, townhouse etc.	1	731
Gladstone	Separate house		309
Gladstone	Separate house	0	1822
Gladstone	Separate house	1	14369
Glass House			22
Glass House		0	11
Glass House		1	86
Glass House	(Other)		14
Glass House	(Other)	0	69
Glass House	(Other)	1	131
Glass House	Flat/apartment		6
Glass House	Flat/apartment	0	26
Glass House	Flat/apartment	1	65
Glass House	Semi-detached, row/terrace house, townhouse etc.		21
Glass House	Semi-detached, row/terrace house, townhouse etc.	0	128
Glass House	Semi-detached, row/terrace house, townhouse etc.	1	548
Glass House	Separate house		369
Glass House	Separate house	0	1748
Glass House	Separate house	1	15324
Greenslopes			10
Greenslopes		0	3
Greenslopes		1	59
Greenslopes	(Other)		5
Greenslopes	(Other)	0	13
Greenslopes	(Other)	1	71
Greenslopes	Flat/apartment		122
Greenslopes	Flat/apartment	0	599
Greenslopes	Flat/apartment	1	3662
Greenslopes	Semi-detached, row/terrace house, townhouse etc.		31
Greenslopes	Semi-detached, row/terrace house, townhouse etc.	0	154
Greenslopes	Semi-detached, row/terrace house, townhouse etc.	1	1257
Greenslopes	Separate house		205
Greenslopes	Separate house	0	1016
Greenslopes	Separate house	1	10463
Gregory			22
Gregory		0	62
Gregory		1	276
Gregory	(Other)		30
Gregory	(Other)	0	122
Gregory	(Other)	1	232
Gregory	Flat/apartment		36
Gregory	Flat/apartment	0	168
Gregory	Flat/apartment	1	495
Gregory	Semi-detached, row/terrace house, townhouse etc.		24
Gregory	Semi-detached, row/terrace house, townhouse etc.	0	102
Gregory	Semi-detached, row/terrace house, townhouse etc.	1	310
Gregory	Separate house		332
Gregory	Separate house	0	2026
Gregory	Separate house	1	9568
Gympie			11
Gympie		0	25
Gympie		1	52
Gympie	(Other)		31
Gympie	(Other)	0	147
Gympie	(Other)	1	277
Gympie	Flat/apartment		15
Gympie	Flat/apartment	0	175
Gympie	Flat/apartment	1	204
Gympie	Semi-detached, row/terrace house, townhouse etc.		45
Gympie	Semi-detached, row/terrace house, townhouse etc.	0	293
Gympie	Semi-detached, row/terrace house, townhouse etc.	1	467
Gympie	Separate house		419
Gympie	Separate house	0	2869
Gympie	Separate house	1	13560
Hervey Bay			75
Hervey Bay		0	25
Hervey Bay		1	105
Hervey Bay	(Other)		31
Hervey Bay	(Other)	0	173
Hervey Bay	(Other)	1	288
Hervey Bay	Flat/apartment		45
Hervey Bay	Flat/apartment	0	241
Hervey Bay	Flat/apartment	1	531
Hervey Bay	Semi-detached, row/terrace house, townhouse etc.		89
Hervey Bay	Semi-detached, row/terrace house, townhouse etc.	0	792
Hervey Bay	Semi-detached, row/terrace house, townhouse etc.	1	1571
Hervey Bay	Separate house		401
Hervey Bay	Separate house	0	2553
Hervey Bay	Separate house	1	13764
Hinchinbrook			11
Hinchinbrook		0	12
Hinchinbrook		1	76
Hinchinbrook	(Other)		40
Hinchinbrook	(Other)	0	119
Hinchinbrook	(Other)	1	265
Hinchinbrook	Flat/apartment		29
Hinchinbrook	Flat/apartment	0	232
Hinchinbrook	Flat/apartment	1	317
Hinchinbrook	Semi-detached, row/terrace house, townhouse etc.		19
Hinchinbrook	Semi-detached, row/terrace house, townhouse etc.	0	101
Hinchinbrook	Semi-detached, row/terrace house, townhouse etc.	1	202
Hinchinbrook	Separate house		453
Hinchinbrook	Separate house	0	2895
Hinchinbrook	Separate house	1	14260
Inala			6
Inala		0	6
Inala		1	39
Inala	(Other)		22
Inala	(Other)	0	106
Inala	(Other)	1	129
Inala	Flat/apartment		11
Inala	Flat/apartment	0	62
Inala	Flat/apartment	1	42
Inala	Semi-detached, row/terrace house, townhouse etc.		70
Inala	Semi-detached, row/terrace house, townhouse etc.	0	323
Inala	Semi-detached, row/terrace house, townhouse etc.	1	1356
Inala	Separate house		446
Inala	Separate house	0	2202
Inala	Separate house	1	12568
Indooroopilly			43
Indooroopilly		0	5
Indooroopilly		1	86
Indooroopilly	(Other)	1	12
Indooroopilly	Flat/apartment		114
Indooroopilly	Flat/apartment	0	418
Indooroopilly	Flat/apartment	1	5779
Indooroopilly	Semi-detached, row/terrace house, townhouse etc.		34
Indooroopilly	Semi-detached, row/terrace house, townhouse etc.	0	105
Indooroopilly	Semi-detached, row/terrace house, townhouse etc.	1	1210
Indooroopilly	Separate house		145
Indooroopilly	Separate house	0	468
Indooroopilly	Separate house	1	8887
Ipswich			3
Ipswich		0	10
Ipswich		1	36
Ipswich	(Other)	0	5
Ipswich	(Other)	1	29
Ipswich	Flat/apartment		32
Ipswich	Flat/apartment	0	227
Ipswich	Flat/apartment	1	345
Ipswich	Semi-detached, row/terrace house, townhouse etc.		72
Ipswich	Semi-detached, row/terrace house, townhouse etc.	0	562
Ipswich	Semi-detached, row/terrace house, townhouse etc.	1	1093
Ipswich	Separate house		330
Ipswich	Separate house	0	2239
Ipswich	Separate house	1	13540
Ipswich West			9
Ipswich West		0	19
Ipswich West		1	37
Ipswich West	(Other)		3
Ipswich West	(Other)	0	41
Ipswich West	(Other)	1	71
Ipswich West	Flat/apartment		4
Ipswich West	Flat/apartment	0	48
Ipswich West	Flat/apartment	1	86
Ipswich West	Semi-detached, row/terrace house, townhouse etc.		52
Ipswich West	Semi-detached, row/terrace house, townhouse etc.	0	449
Ipswich West	Semi-detached, row/terrace house, townhouse etc.	1	673
Ipswich West	Separate house		372
Ipswich West	Separate house	0	2494
Ipswich West	Separate house	1	14161
Kallangur			4
Kallangur		0	12
Kallangur		1	27
Kallangur	(Other)		19
Kallangur	(Other)	0	89
Kallangur	(Other)	1	114
Kallangur	Flat/apartment		3
Kallangur	Flat/apartment	0	51
Kallangur	Flat/apartment	1	133
Kallangur	Semi-detached, row/terrace house, townhouse etc.		79
Kallangur	Semi-detached, row/terrace house, townhouse etc.	0	600
Kallangur	Semi-detached, row/terrace house, townhouse etc.	1	2228
Kallangur	Separate house		268
Kallangur	Separate house	0	1177
Kallangur	Separate house	1	13494
Kawana			5
Kawana		1	31
Kawana	(Other)		11
Kawana	(Other)	0	97
Kawana	(Other)	1	111
Kawana	Flat/apartment		34
Kawana	Flat/apartment	0	159
Kawana	Flat/apartment	1	1110
Kawana	Semi-detached, row/terrace house, townhouse etc.		125
Kawana	Semi-detached, row/terrace house, townhouse etc.	0	902
Kawana	Semi-detached, row/terrace house, townhouse etc.	1	2286
Kawana	Separate house		239
Kawana	Separate house	0	1190
Kawana	Separate house	1	13000
Keppel			96
Keppel		0	14
Keppel		1	47
Keppel	(Other)		40
Keppel	(Other)	0	150
Keppel	(Other)	1	182
Keppel	Flat/apartment		38
Keppel	Flat/apartment	0	321
Keppel	Flat/apartment	1	667
Keppel	Semi-detached, row/terrace house, townhouse etc.		27
Keppel	Semi-detached, row/terrace house, townhouse etc.	0	276
Keppel	Semi-detached, row/terrace house, townhouse etc.	1	615
Keppel	Separate house		371
Keppel	Separate house	0	2207
Keppel	Separate house	1	14090
Lockyer			8
Lockyer		0	23
Lockyer		1	77
Lockyer	(Other)		116
Lockyer	(Other)	0	138
Lockyer	(Other)	1	213
Lockyer	Flat/apartment		22
Lockyer	Flat/apartment	0	108
Lockyer	Flat/apartment	1	155
Lockyer	Semi-detached, row/terrace house, townhouse etc.		20
Lockyer	Semi-detached, row/terrace house, townhouse etc.	0	117
Lockyer	Semi-detached, row/terrace house, townhouse etc.	1	192
Lockyer	Separate house		431
Lockyer	Separate house	0	2494
Lockyer	Separate house	1	13738
Logan			4
Logan		0	6
Logan		1	22
Logan	(Other)		15
Logan	(Other)	0	72
Logan	(Other)	1	113
Logan	Flat/apartment	0	12
Logan	Flat/apartment	1	26
Logan	Semi-detached, row/terrace house, townhouse etc.		13
Logan	Semi-detached, row/terrace house, townhouse etc.	0	83
Logan	Semi-detached, row/terrace house, townhouse etc.	1	421
Logan	Separate house		289
Logan	Separate house	0	1312
Logan	Separate house	1	12962
Lytton			12
Lytton		0	5
Lytton		1	37
Lytton	(Other)		7
Lytton	(Other)	0	16
Lytton	(Other)	1	93
Lytton	Flat/apartment		43
Lytton	Flat/apartment	0	321
Lytton	Flat/apartment	1	619
Lytton	Semi-detached, row/terrace house, townhouse etc.		278
Lytton	Semi-detached, row/terrace house, townhouse etc.	0	507
Lytton	Semi-detached, row/terrace house, townhouse etc.	1	2025
Lytton	Separate house		262
Lytton	Separate house	0	1513
Lytton	Separate house	1	12446
Mackay			20
Mackay		0	16
Mackay		1	48
Mackay	(Other)		9
Mackay	(Other)	0	71
Mackay	(Other)	1	99
Mackay	Flat/apartment		69
Mackay	Flat/apartment	0	382
Mackay	Flat/apartment	1	998
Mackay	Semi-detached, row/terrace house, townhouse etc.		100
Mackay	Semi-detached, row/terrace house, townhouse etc.	0	834
Mackay	Semi-detached, row/terrace house, townhouse etc.	1	1698
Mackay	Separate house		265
Mackay	Separate house	0	1894
Mackay	Separate house	1	9881
Mansfield			6
Mansfield		0	9
Mansfield		1	26
Mansfield	(Other)		17
Mansfield	(Other)	0	144
Mansfield	(Other)	1	231
Mansfield	Flat/apartment		39
Mansfield	Flat/apartment	0	215
Mansfield	Flat/apartment	1	1009
Mansfield	Semi-detached, row/terrace house, townhouse etc.		17
Mansfield	Semi-detached, row/terrace house, townhouse etc.	0	150
Mansfield	Semi-detached, row/terrace house, townhouse etc.	1	1314
Mansfield	Separate house		226
Mansfield	Separate house	0	1095
Mansfield	Separate house	1	11243
Maroochydore			27
Maroochydore		0	24
Maroochydore		1	89
Maroochydore	(Other)		23
Maroochydore	(Other)	0	45
Maroochydore	(Other)	1	143
Maroochydore	Flat/apartment		237
Maroochydore	Flat/apartment	0	1040
Maroochydore	Flat/apartment	1	4879
Maroochydore	Semi-detached, row/terrace house, townhouse etc.		111
Maroochydore	Semi-detached, row/terrace house, townhouse etc.	0	686
Maroochydore	Semi-detached, row/terrace house, townhouse etc.	1	3245
Maroochydore	Separate house		221
Maroochydore	Separate house	0	945
Maroochydore	Separate house	1	9530
Maryborough			17
Maryborough		0	24
Maryborough		1	86
Maryborough	(Other)		28
Maryborough	(Other)	0	141
Maryborough	(Other)	1	233
Maryborough	Flat/apartment		29
Maryborough	Flat/apartment	0	163
Maryborough	Flat/apartment	1	227
Maryborough	Semi-detached, row/terrace house, townhouse etc.		41
Maryborough	Semi-detached, row/terrace house, townhouse etc.	0	358
Maryborough	Semi-detached, row/terrace house, townhouse etc.	1	327
Maryborough	Separate house		502
Maryborough	Separate house	0	3292
Maryborough	Separate house	1	13757
Mermaid Beach			6
Mermaid Beach		0	6
Mermaid Beach		1	24
Mermaid Beach	(Other)		3
Mermaid Beach	(Other)	0	28
Mermaid Beach	(Other)	1	59
Mermaid Beach	Flat/apartment		117
Mermaid Beach	Flat/apartment	0	576
Mermaid Beach	Flat/apartment	1	3244
Mermaid Beach	Semi-detached, row/terrace house, townhouse etc.		125
Mermaid Beach	Semi-detached, row/terrace house, townhouse etc.	0	565
Mermaid Beach	Semi-detached, row/terrace house, townhouse etc.	1	3839
Mermaid Beach	Separate house		264
Mermaid Beach	Separate house	0	875
Mermaid Beach	Separate house	1	10032
Mirani			23
Mirani		0	15
Mirani		1	58
Mirani	(Other)		111
Mirani	(Other)	0	77
Mirani	(Other)	1	172
Mirani	Flat/apartment		42
Mirani	Flat/apartment	0	106
Mirani	Flat/apartment	1	164
Mirani	Semi-detached, row/terrace house, townhouse etc.		6
Mirani	Semi-detached, row/terrace house, townhouse etc.	0	50
Mirani	Semi-detached, row/terrace house, townhouse etc.	1	214
Mirani	Separate house		452
Mirani	Separate house	0	2801
Mirani	Separate house	1	13347
Moggill			5
Moggill		0	4
Moggill		1	21
Moggill	(Other)	1	14
Moggill	Flat/apartment	0	14
Moggill	Flat/apartment	1	65
Moggill	Semi-detached, row/terrace house, townhouse etc.		23
Moggill	Semi-detached, row/terrace house, townhouse etc.	0	102
Moggill	Semi-detached, row/terrace house, townhouse etc.	1	423
Moggill	Separate house		213
Moggill	Separate house	0	571
Moggill	Separate house	1	14027
Morayfield			7
Morayfield		0	6
Morayfield		1	24
Morayfield	(Other)	0	3
Morayfield	(Other)	1	9
Morayfield	Flat/apartment		12
Morayfield	Flat/apartment	0	104
Morayfield	Flat/apartment	1	92
Morayfield	Semi-detached, row/terrace house, townhouse etc.		42
Morayfield	Semi-detached, row/terrace house, townhouse etc.	0	284
Morayfield	Semi-detached, row/terrace house, townhouse etc.	1	1098
Morayfield	Separate house		323
Morayfield	Separate house	0	1532
Morayfield	Separate house	1	14439
Mount Coot-tha			60
Mount Coot-tha		0	3
Mount Coot-tha		1	55
Mount Coot-tha	(Other)	0	5
Mount Coot-tha	(Other)	1	38
Mount Coot-tha	Flat/apartment		147
Mount Coot-tha	Flat/apartment	0	481
Mount Coot-tha	Flat/apartment	1	6093
Mount Coot-tha	Semi-detached, row/terrace house, townhouse etc.		22
Mount Coot-tha	Semi-detached, row/terrace house, townhouse etc.	0	99
Mount Coot-tha	Semi-detached, row/terrace house, townhouse etc.	1	1024
Mount Coot-tha	Separate house		197
Mount Coot-tha	Separate house	0	455
Mount Coot-tha	Separate house	1	8697
Mount Isa			30
Mount Isa		0	49
Mount Isa		1	147
Mount Isa	(Other)		68
Mount Isa	(Other)	0	106
Mount Isa	(Other)	1	203
Mount Isa	Flat/apartment		35
Mount Isa	Flat/apartment	0	176
Mount Isa	Flat/apartment	1	332
Mount Isa	Semi-detached, row/terrace house, townhouse etc.		57
Mount Isa	Semi-detached, row/terrace house, townhouse etc.	0	279
Mount Isa	Semi-detached, row/terrace house, townhouse etc.	1	832
Mount Isa	Separate house		292
Mount Isa	Separate house	0	1668
Mount Isa	Separate house	1	6252
Mount Ommaney			9
Mount Ommaney		0	3
Mount Ommaney		1	9
Mount Ommaney	(Other)	1	4
Mount Ommaney	Flat/apartment		19
Mount Ommaney	Flat/apartment	0	107
Mount Ommaney	Flat/apartment	1	314
Mount Ommaney	Semi-detached, row/terrace house, townhouse etc.		18
Mount Ommaney	Semi-detached, row/terrace house, townhouse etc.	0	116
Mount Ommaney	Semi-detached, row/terrace house, townhouse etc.	1	1156
Mount Ommaney	Separate house		173
Mount Ommaney	Separate house	0	809
Mount Ommaney	Separate house	1	13047
Mudgeeraba			125
Mudgeeraba		0	4
Mudgeeraba		1	36
Mudgeeraba	(Other)		24
Mudgeeraba	(Other)	0	155
Mudgeeraba	(Other)	1	176
Mudgeeraba	Flat/apartment		45
Mudgeeraba	Flat/apartment	0	225
Mudgeeraba	Flat/apartment	1	779
Mudgeeraba	Semi-detached, row/terrace house, townhouse etc.		92
Mudgeeraba	Semi-detached, row/terrace house, townhouse etc.	0	474
Mudgeeraba	Semi-detached, row/terrace house, townhouse etc.	1	3837
Mudgeeraba	Separate house		252
Mudgeeraba	Separate house	0	761
Mudgeeraba	Separate house	1	11982
Mulgrave			12
Mulgrave		0	17
Mulgrave		1	58
Mulgrave	(Other)		18
Mulgrave	(Other)	0	159
Mulgrave	(Other)	1	145
Mulgrave	Flat/apartment		51
Mulgrave	Flat/apartment	0	351
Mulgrave	Flat/apartment	1	623
Mulgrave	Semi-detached, row/terrace house, townhouse etc.		28
Mulgrave	Semi-detached, row/terrace house, townhouse etc.	0	180
Mulgrave	Semi-detached, row/terrace house, townhouse etc.	1	368
Mulgrave	Separate house		402
Mulgrave	Separate house	0	2472
Mulgrave	Separate house	1	12334
Mundingburra			5
Mundingburra		0	5
Mundingburra		1	13
Mundingburra	(Other)	0	5
Mundingburra	(Other)	1	11
Mundingburra	Flat/apartment		20
Mundingburra	Flat/apartment	0	186
Mundingburra	Flat/apartment	1	464
Mundingburra	Semi-detached, row/terrace house, townhouse etc.		72
Mundingburra	Semi-detached, row/terrace house, townhouse etc.	0	629
Mundingburra	Semi-detached, row/terrace house, townhouse etc.	1	1137
Mundingburra	Separate house		260
Mundingburra	Separate house	0	1471
Mundingburra	Separate house	1	11380
Murrumba			4
Murrumba		0	3
Murrumba		1	44
Murrumba	(Other)		5
Murrumba	(Other)	0	45
Murrumba	(Other)	1	42
Murrumba	Flat/apartment		39
Murrumba	Flat/apartment	0	298
Murrumba	Flat/apartment	1	463
Murrumba	Semi-detached, row/terrace house, townhouse etc.		83
Murrumba	Semi-detached, row/terrace house, townhouse etc.	0	542
Murrumba	Semi-detached, row/terrace house, townhouse etc.	1	2478
Murrumba	Separate house		403
Murrumba	Separate house	0	1894
Murrumba	Separate house	1	18018
Nanango			25
Nanango		0	31
Nanango		1	118
Nanango	(Other)		22
Nanango	(Other)	0	99
Nanango	(Other)	1	148
Nanango	Flat/apartment		17
Nanango	Flat/apartment	0	155
Nanango	Flat/apartment	1	206
Nanango	Semi-detached, row/terrace house, townhouse etc.		25
Nanango	Semi-detached, row/terrace house, townhouse etc.	0	128
Nanango	Semi-detached, row/terrace house, townhouse etc.	1	221
Nanango	Separate house		472
Nanango	Separate house	0	3565
Nanango	Separate house	1	13359
Nicklin			17
Nicklin		0	24
Nicklin		1	84
Nicklin	(Other)		24
Nicklin	(Other)	0	144
Nicklin	(Other)	1	214
Nicklin	Flat/apartment		33
Nicklin	Flat/apartment	0	299
Nicklin	Flat/apartment	1	489
Nicklin	Semi-detached, row/terrace house, townhouse etc.		43
Nicklin	Semi-detached, row/terrace house, townhouse etc.	0	281
Nicklin	Semi-detached, row/terrace house, townhouse etc.	1	1138
Nicklin	Separate house		347
Nicklin	Separate house	0	1731
Nicklin	Separate house	1	13598
Noosa			29
Noosa		0	20
Noosa		1	110
Noosa	(Other)		9
Noosa	(Other)	0	18
Noosa	(Other)	1	48
Noosa	Flat/apartment		47
Noosa	Flat/apartment	0	253
Noosa	Flat/apartment	1	1051
Noosa	Semi-detached, row/terrace house, townhouse etc.		102
Noosa	Semi-detached, row/terrace house, townhouse etc.	0	476
Noosa	Semi-detached, row/terrace house, townhouse etc.	1	2075
Noosa	Separate house		318
Noosa	Separate house	0	1205
Noosa	Separate house	1	13860
Nudgee			21
Nudgee		0	3
Nudgee		1	55
Nudgee	(Other)	1	21
Nudgee	Flat/apartment		143
Nudgee	Flat/apartment	0	655
Nudgee	Flat/apartment	1	3339
Nudgee	Semi-detached, row/terrace house, townhouse etc.		66
Nudgee	Semi-detached, row/terrace house, townhouse etc.	0	339
Nudgee	Semi-detached, row/terrace house, townhouse etc.	1	1808
Nudgee	Separate house		340
Nudgee	Separate house	0	1715
Nudgee	Separate house	1	12449
Pine Rivers		0	3
Pine Rivers		1	21
Pine Rivers	(Other)	0	4
Pine Rivers	(Other)	1	22
Pine Rivers	Flat/apartment		25
Pine Rivers	Flat/apartment	0	120
Pine Rivers	Flat/apartment	1	309
Pine Rivers	Semi-detached, row/terrace house, townhouse etc.		46
Pine Rivers	Semi-detached, row/terrace house, townhouse etc.	0	401
Pine Rivers	Semi-detached, row/terrace house, townhouse etc.	1	1605
Pine Rivers	Separate house		246
Pine Rivers	Separate house	0	1151
Pine Rivers	Separate house	1	14040
Pumicestone			5
Pumicestone		0	13
Pumicestone		1	43
Pumicestone	(Other)		26
Pumicestone	(Other)	0	243
Pumicestone	(Other)	1	291
Pumicestone	Flat/apartment		70
Pumicestone	Flat/apartment	0	492
Pumicestone	Flat/apartment	1	631
Pumicestone	Semi-detached, row/terrace house, townhouse etc.		146
Pumicestone	Semi-detached, row/terrace house, townhouse etc.	0	951
Pumicestone	Semi-detached, row/terrace house, townhouse etc.	1	2294
Pumicestone	Separate house		399
Pumicestone	Separate house	0	2292
Pumicestone	Separate house	1	13505
Redcliffe			11
Redcliffe		0	6
Redcliffe		1	53
Redcliffe	(Other)		8
Redcliffe	(Other)	0	69
Redcliffe	(Other)	1	137
Redcliffe	Flat/apartment		130
Redcliffe	Flat/apartment	0	1112
Redcliffe	Flat/apartment	1	3036
Redcliffe	Semi-detached, row/terrace house, townhouse etc.		54
Redcliffe	Semi-detached, row/terrace house, townhouse etc.	0	549
Redcliffe	Semi-detached, row/terrace house, townhouse etc.	1	1187
Redcliffe	Separate house		285
Redcliffe	Separate house	0	1917
Redcliffe	Separate house	1	11595
Redlands			4
Redlands		0	13
Redlands		1	49
Redlands	(Other)		15
Redlands	(Other)	0	37
Redlands	(Other)	1	58
Redlands	Flat/apartment		19
Redlands	Flat/apartment	0	246
Redlands	Flat/apartment	1	455
Redlands	Semi-detached, row/terrace house, townhouse etc.		22
Redlands	Semi-detached, row/terrace house, townhouse etc.	0	148
Redlands	Semi-detached, row/terrace house, townhouse etc.	1	418
Redlands	Separate house		366
Redlands	Separate house	0	1616
Redlands	Separate house	1	14697
Rockhampton			36
Rockhampton		0	16
Rockhampton		1	64
Rockhampton	(Other)		12
Rockhampton	(Other)	0	19
Rockhampton	(Other)	1	59
Rockhampton	Flat/apartment		52
Rockhampton	Flat/apartment	0	332
Rockhampton	Flat/apartment	1	476
Rockhampton	Semi-detached, row/terrace house, townhouse etc.		83
Rockhampton	Semi-detached, row/terrace house, townhouse etc.	0	599
Rockhampton	Semi-detached, row/terrace house, townhouse etc.	1	849
Rockhampton	Separate house		407
Rockhampton	Separate house	0	2805
Rockhampton	Separate house	1	12058
Sandgate			11
Sandgate		0	8
Sandgate		1	64
Sandgate	(Other)		15
Sandgate	(Other)	0	91
Sandgate	(Other)	1	65
Sandgate	Flat/apartment		36
Sandgate	Flat/apartment	0	358
Sandgate	Flat/apartment	1	671
Sandgate	Semi-detached, row/terrace house, townhouse etc.		77
Sandgate	Semi-detached, row/terrace house, townhouse etc.	0	452
Sandgate	Semi-detached, row/terrace house, townhouse etc.	1	1968
Sandgate	Separate house		282
Sandgate	Separate house	0	1531
Sandgate	Separate house	1	12846
South Brisbane			34
South Brisbane		0	16
South Brisbane		1	109
South Brisbane	(Other)		3
South Brisbane	(Other)	0	5
South Brisbane	(Other)	1	79
South Brisbane	Flat/apartment		385
South Brisbane	Flat/apartment	0	1643
South Brisbane	Flat/apartment	1	12103
South Brisbane	Semi-detached, row/terrace house, townhouse etc.		43
South Brisbane	Semi-detached, row/terrace house, townhouse etc.	0	85
South Brisbane	Semi-detached, row/terrace house, townhouse etc.	1	925
South Brisbane	Separate house		203
South Brisbane	Separate house	0	536
South Brisbane	Separate house	1	6040
Southern Downs			10
Southern Downs		0	39
Southern Downs		1	106
Southern Downs	(Other)		23
Southern Downs	(Other)	0	103
Southern Downs	(Other)	1	145
Southern Downs	Flat/apartment		36
Southern Downs	Flat/apartment	0	245
Southern Downs	Flat/apartment	1	318
Southern Downs	Semi-detached, row/terrace house, townhouse etc.		44
Southern Downs	Semi-detached, row/terrace house, townhouse etc.	0	305
Southern Downs	Semi-detached, row/terrace house, townhouse etc.	1	437
Southern Downs	Separate house		438
Southern Downs	Separate house	0	3618
Southern Downs	Separate house	1	12475
Southport			74
Southport		0	18
Southport		1	62
Southport	(Other)		3
Southport	(Other)	0	16
Southport	(Other)	1	51
Southport	Flat/apartment		302
Southport	Flat/apartment	0	1100
Southport	Flat/apartment	1	4909
Southport	Semi-detached, row/terrace house, townhouse etc.		291
Southport	Semi-detached, row/terrace house, townhouse etc.	0	779
Southport	Semi-detached, row/terrace house, townhouse etc.	1	3830
Southport	Separate house		296
Southport	Separate house	0	995
Southport	Separate house	1	9430
