SED_NAME16	FamilyComposition	families_with_children
Condamine	Intact family with other children present	91
Condamine	Other couple family with other children only	43
Condamine	Step family with no other children present	406
Condamine	Step family with other children present	3
Cook	Blended family with no other children present	259
Cook	Blended family with other children present	16
Cook	Intact family with no other children present	3806
Cook	Intact family with other children present	207
Cook	Other couple family with other children only	116
Cook	Step family with no other children present	334
Cook	Step family with other children present	34
Coomera	Blended family with no other children present	523
Coomera	Blended family with other children present	15
Coomera	Intact family with no other children present	7410
Coomera	Intact family with other children present	99
Coomera	Other couple family with other children only	44
Coomera	Step family with no other children present	774
Coomera	Step family with other children present	17
Currumbin	Blended family with no other children present	206
Currumbin	Intact family with no other children present	4409
Currumbin	Intact family with other children present	42
Currumbin	Other couple family with other children only	28
Currumbin	Step family with no other children present	380
Currumbin	Step family with other children present	10
Dalrymple	Blended family with no other children present	232
Dalrymple	Intact family with no other children present	4056
Dalrymple	Intact family with other children present	49
Dalrymple	Other couple family with other children only	28
Dalrymple	Step family with no other children present	296
Dalrymple	Step family with other children present	9
Everton	Blended family with no other children present	193
Everton	Blended family with other children present	3
Everton	Intact family with no other children present	5744
Everton	Intact family with other children present	48
Everton	Other couple family with other children only	17
Everton	Step family with no other children present	425
Ferny Grove	Blended family with no other children present	240
Ferny Grove	Blended family with other children present	4
Ferny Grove	Intact family with no other children present	5981
Ferny Grove	Intact family with other children present	37
Ferny Grove	Other couple family with other children only	21
Ferny Grove	Step family with no other children present	410
Ferny Grove	Step family with other children present	3
Gaven	Blended family with no other children present	413
Gaven	Blended family with other children present	9
Gaven	Intact family with no other children present	6313
Gaven	Intact family with other children present	98
Gaven	Other couple family with other children only	32
Gaven	Step family with no other children present	626
Gaven	Step family with other children present	17
Gladstone	Blended family with no other children present	404
Gladstone	Blended family with other children present	3
Gladstone	Intact family with no other children present	5800
Gladstone	Intact family with other children present	72
Gladstone	Other couple family with other children only	37
Gladstone	Step family with no other children present	501
Gladstone	Step family with other children present	4
Glass House	Blended family with no other children present	370
Glass House	Blended family with other children present	9
Glass House	Intact family with no other children present	5109
Glass House	Intact family with other children present	71
Glass House	Other couple family with other children only	29
Glass House	Step family with no other children present	579
Glass House	Step family with other children present	21
Greenslopes	Blended family with no other children present	128
Greenslopes	Intact family with no other children present	4990
Greenslopes	Intact family with other children present	33
Greenslopes	Other couple family with other children only	17
Greenslopes	Step family with no other children present	327
Greenslopes	Step family with other children present	3
Gregory	Blended family with no other children present	221
Gregory	Intact family with no other children present	4176
Gregory	Intact family with other children present	40
Gregory	Other couple family with other children only	32
Gregory	Step family with no other children present	238
Gregory	Step family with other children present	4
Gympie	Blended family with no other children present	308
Gympie	Blended family with other children present	3
Gympie	Intact family with no other children present	3810
Gympie	Intact family with other children present	50
Gympie	Other couple family with other children only	32
Gympie	Step family with no other children present	362
Gympie	Step family with other children present	15
Hervey Bay	Blended family with no other children present	292
Hervey Bay	Blended family with other children present	9
Hervey Bay	Intact family with no other children present	3532
Hervey Bay	Intact family with other children present	46
Hervey Bay	Other couple family with other children only	35
Hervey Bay	Step family with no other children present	436
Hervey Bay	Step family with other children present	12
Hinchinbrook	Blended family with no other children present	324
Hinchinbrook	Blended family with other children present	3
Hinchinbrook	Intact family with no other children present	4964
Hinchinbrook	Intact family with other children present	52
Hinchinbrook	Other couple family with other children only	39
Hinchinbrook	Step family with no other children present	429
Hinchinbrook	Step family with other children present	3
Inala	Blended family with no other children present	294
Inala	Blended family with other children present	11
Inala	Intact family with no other children present	5519
Inala	Intact family with other children present	152
Inala	Other couple family with other children only	62
Inala	Step family with no other children present	473
Inala	Step family with other children present	17
Indooroopilly	Blended family with no other children present	80
Indooroopilly	Intact family with no other children present	4868
Indooroopilly	Intact family with other children present	43
Indooroopilly	Other couple family with other children only	10
Indooroopilly	Step family with no other children present	227
Ipswich	Blended family with no other children present	369
Ipswich	Blended family with other children present	8
Ipswich	Intact family with no other children present	4614
Ipswich	Intact family with other children present	77
Ipswich	Other couple family with other children only	37
Ipswich	Step family with no other children present	521
Ipswich	Step family with other children present	7
Ipswich West	Blended family with no other children present	437
Ipswich West	Blended family with other children present	11
Ipswich West	Intact family with no other children present	5014
Ipswich West	Intact family with other children present	73
Ipswich West	Other couple family with other children only	54
Ipswich West	Step family with no other children present	574
Ipswich West	Step family with other children present	13
Kallangur	Blended family with no other children present	417
Kallangur	Blended family with other children present	4
Kallangur	Intact family with no other children present	5433
Kallangur	Intact family with other children present	67
Kallangur	Other couple family with other children only	36
Kallangur	Step family with no other children present	571
Kallangur	Step family with other children present	17
Kawana	Blended family with no other children present	282
Kawana	Blended family with other children present	6
Kawana	Intact family with no other children present	5096
Kawana	Intact family with other children present	55
Kawana	Other couple family with other children only	23
Kawana	Step family with no other children present	461
Kawana	Step family with other children present	10
Keppel	Blended family with no other children present	313
Keppel	Blended family with other children present	7
Keppel	Intact family with no other children present	5218
Keppel	Intact family with other children present	66
Keppel	Other couple family with other children only	34
Keppel	Step family with no other children present	439
Keppel	Step family with other children present	14
Lockyer	Blended family with no other children present	402
Lockyer	Blended family with other children present	10
Lockyer	Intact family with no other children present	5348
Lockyer	Intact family with other children present	86
Lockyer	Other couple family with other children only	59
Lockyer	Step family with no other children present	487
Lockyer	Step family with other children present	15
Logan	Blended family with no other children present	377
Logan	Blended family with other children present	13
Logan	Intact family with no other children present	5528
Logan	Intact family with other children present	121
Logan	Other couple family with other children only	42
Logan	Step family with no other children present	546
Logan	Step family with other children present	24
Lytton	Blended family with no other children present	278
Lytton	Blended family with other children present	4
Lytton	Intact family with no other children present	5236
Lytton	Intact family with other children present	50
Lytton	Other couple family with other children only	22
Lytton	Step family with no other children present	480
Lytton	Step family with other children present	13
Mackay	Blended family with no other children present	221
Mackay	Blended family with other children present	4
Mackay	Intact family with no other children present	3658
Mackay	Intact family with other children present	55
Mackay	Other couple family with other children only	26
Mackay	Step family with no other children present	347
Mackay	Step family with other children present	12
Mansfield	Blended family with no other children present	155
Mansfield	Blended family with other children present	6
Mansfield	Intact family with no other children present	5515
Mansfield	Intact family with other children present	70
Mansfield	Other couple family with other children only	13
Mansfield	Step family with no other children present	312
Mansfield	Step family with other children present	5
Maroochydore	Blended family with no other children present	155
Maroochydore	Intact family with no other children present	3932
Maroochydore	Intact family with other children present	25
Maroochydore	Other couple family with other children only	15
Maroochydore	Step family with no other children present	402
Maroochydore	Step family with other children present	3
Maryborough	Blended family with no other children present	259
Maryborough	Blended family with other children present	8
Maryborough	Intact family with no other children present	3640
Maryborough	Intact family with other children present	70
Maryborough	Other couple family with other children only	40
Maryborough	Step family with no other children present	412
Maryborough	Step family with other children present	21
Mermaid Beach	Blended family with no other children present	171
Mermaid Beach	Intact family with no other children present	4972
Mermaid Beach	Intact family with other children present	46
Mermaid Beach	Other couple family with other children only	29
Mermaid Beach	Step family with no other children present	490
Mermaid Beach	Step family with other children present	8
Mirani	Blended family with no other children present	304
Mirani	Blended family with other children present	7
Mirani	Intact family with no other children present	5211
Mirani	Intact family with other children present	59
Mirani	Other couple family with other children only	34
Mirani	Step family with no other children present	403
Mirani	Step family with other children present	15
Moggill	Blended family with no other children present	197
Moggill	Intact family with no other children present	6536
Moggill	Intact family with other children present	45
Moggill	Other couple family with other children only	12
Moggill	Step family with no other children present	357
Moggill	Step family with other children present	3
Morayfield	Blended family with no other children present	534
Morayfield	Blended family with other children present	8
Morayfield	Intact family with no other children present	5712
Morayfield	Intact family with other children present	88
Morayfield	Other couple family with other children only	36
Morayfield	Step family with no other children present	689
Morayfield	Step family with other children present	27
Mount Coot-tha	Blended family with no other children present	79
Mount Coot-tha	Intact family with no other children present	3864
Mount Coot-tha	Intact family with other children present	21
Mount Coot-tha	Other couple family with other children only	7
Mount Coot-tha	Step family with no other children present	261
Mount Isa	Blended family with no other children present	165
Mount Isa	Blended family with other children present	12
Mount Isa	Intact family with no other children present	2687
Mount Isa	Intact family with other children present	93
Mount Isa	Other couple family with other children only	57
Mount Isa	Step family with no other children present	217
Mount Isa	Step family with other children present	15
Mount Ommaney	Blended family with no other children present	173
Mount Ommaney	Intact family with no other children present	5920
Mount Ommaney	Intact family with other children present	51
Mount Ommaney	Other couple family with other children only	11
Mount Ommaney	Step family with no other children present	423
Mount Ommaney	Step family with other children present	3
Mudgeeraba	Blended family with no other children present	300
Mudgeeraba	Blended family with other children present	3
Mudgeeraba	Intact family with no other children present	6239
Mudgeeraba	Intact family with other children present	81
Mudgeeraba	Other couple family with other children only	25
Mudgeeraba	Step family with no other children present	563
Mudgeeraba	Step family with other children present	8
Mulgrave	Blended family with no other children present	293
Mulgrave	Blended family with other children present	10
Mulgrave	Intact family with no other children present	4718
Mulgrave	Intact family with other children present	124
Mulgrave	Other couple family with other children only	53
Mulgrave	Step family with no other children present	413
Mulgrave	Step family with other children present	16
Mundingburra	Blended family with no other children present	247
Mundingburra	Blended family with other children present	8
Mundingburra	Intact family with no other children present	3832
Mundingburra	Intact family with other children present	58
Mundingburra	Other couple family with other children only	27
Mundingburra	Step family with no other children present	383
Mundingburra	Step family with other children present	9
Murrumba	Blended family with no other children present	588
Murrumba	Blended family with other children present	7
Murrumba	Intact family with no other children present	7647
Murrumba	Intact family with other children present	105
Murrumba	Other couple family with other children only	55
Murrumba	Step family with no other children present	816
Murrumba	Step family with other children present	17
Nanango	Blended family with no other children present	310
Nanango	Blended family with other children present	3
Nanango	Intact family with no other children present	4066
Nanango	Intact family with other children present	56
Nanango	Other couple family with other children only	51
Nanango	Step family with no other children present	356
Nanango	Step family with other children present	10
Nicklin	Blended family with no other children present	273
Nicklin	Blended family with other children present	3
Nicklin	Intact family with no other children present	4784
Nicklin	Intact family with other children present	52
Nicklin	Other couple family with other children only	23
Nicklin	Step family with no other children present	452
Nicklin	Step family with other children present	11
Noosa	Blended family with no other children present	177
Noosa	Intact family with no other children present	4790
Noosa	Intact family with other children present	31
Noosa	Other couple family with other children only	20
Noosa	Step family with no other children present	435
Noosa	Step family with other children present	9
Nudgee	Blended family with no other children present	181
Nudgee	Blended family with other children present	8
Nudgee	Intact family with no other children present	5195
Nudgee	Intact family with other children present	80
Nudgee	Other couple family with other children only	13
Nudgee	Step family with no other children present	449
Nudgee	Step family with other children present	6
Pine Rivers	Blended family with no other children present	371
Pine Rivers	Blended family with other children present	7
Pine Rivers	Intact family with no other children present	6128
Pine Rivers	Intact family with other children present	85
Pine Rivers	Other couple family with other children only	36
Pine Rivers	Step family with no other children present	547
Pine Rivers	Step family with other children present	16
Pumicestone	Blended family with no other children present	365
Pumicestone	Blended family with other children present	9
Pumicestone	Intact family with no other children present	3581
Pumicestone	Intact family with other children present	67
Pumicestone	Other couple family with other children only	42
Pumicestone	Step family with no other children present	504
Pumicestone	Step family with other children present	16
Redcliffe	Blended family with no other children present	257
Redcliffe	Blended family with other children present	3
Redcliffe	Intact family with no other children present	3647
Redcliffe	Intact family with other children present	56
Redcliffe	Other couple family with other children only	41
Redcliffe	Step family with no other children present	493
Redcliffe	Step family with other children present	9
Redlands	Blended family with no other children present	333
Redlands	Blended family with other children present	7
Redlands	Intact family with no other children present	5406
Redlands	Intact family with other children present	41
Redlands	Other couple family with other children only	33
Redlands	Step family with no other children present	540
Redlands	Step family with other children present	11
Rockhampton	Blended family with no other children present	290
Rockhampton	Blended family with other children present	3
Rockhampton	Intact family with no other children present	4061
Rockhampton	Intact family with other children present	64
Rockhampton	Other couple family with other children only	41
Rockhampton	Step family with no other children present	389
Rockhampton	Step family with other children present	12
Sandgate	Blended family with no other children present	231
Sandgate	Intact family with no other children present	5457
Sandgate	Intact family with other children present	66
Sandgate	Other couple family with other children only	22
Sandgate	Step family with no other children present	468
Sandgate	Step family with other children present	7
South Brisbane	Blended family with no other children present	98
South Brisbane	Intact family with no other children present	3412
South Brisbane	Intact family with other children present	30
South Brisbane	Other couple family with other children only	6
South Brisbane	Step family with no other children present	265
South Brisbane	Step family with other children present	4
Southern Downs	Blended family with no other children present	259
Southern Downs	Blended family with other children present	5
Southern Downs	Intact family with no other children present	4125
Southern Downs	Intact family with other children present	47
Southern Downs	Other couple family with other children only	37
Southern Downs	Step family with no other children present	334
Southern Downs	Step family with other children present	6
Southport	Blended family with no other children present	245
Southport	Intact family with no other children present	4580
Southport	Intact family with other children present	65
Southport	Other couple family with other children only	14
Southport	Step family with no other children present	436
Southport	Step family with other children present	8
Springwood	Blended family with no other children present	277
Springwood	Blended family with other children present	7
Springwood	Intact family with no other children present	5664
Springwood	Intact family with other children present	99
Springwood	Other couple family with other children only	28
Springwood	Step family with no other children present	511
Springwood	Step family with other children present	8
Stafford	Blended family with no other children present	134
Stafford	Intact family with no other children present	4709
Stafford	Intact family with other children present	35
Stafford	Other couple family with other children only	11
Stafford	Step family with no other children present	330
Stafford	Step family with other children present	3
Stretton	Blended family with no other children present	192
Stretton	Blended family with other children present	4
Stretton	Intact family with no other children present	7609
Stretton	Intact family with other children present	152
Stretton	Other couple family with other children only	36
Stretton	Step family with no other children present	363
Stretton	Step family with other children present	16
Sunnybank	Blended family with no other children present	155
Sunnybank	Blended family with other children present	4
Sunnybank	Intact family with no other children present	5227
Sunnybank	Intact family with other children present	117
Sunnybank	Other couple family with other children only	25
Sunnybank	Step family with no other children present	311
Sunnybank	Step family with other children present	10
Surfers Paradise	Blended family with no other children present	133
Surfers Paradise	Intact family with no other children present	4097
Surfers Paradise	Intact family with other children present	36
Surfers Paradise	Other couple family with other children only	17
Surfers Paradise	Step family with no other children present	396
Surfers Paradise	Step family with other children present	3
Thuringowa	Blended family with no other children present	431
Thuringowa	Blended family with other children present	11
Thuringowa	Intact family with no other children present	5239
Thuringowa	Intact family with other children present	80
Thuringowa	Other couple family with other children only	55
Thuringowa	Step family with no other children present	537
Thuringowa	Step family with other children present	11
Toowoomba North	Blended family with no other children present	256
Toowoomba North	Blended family with other children present	3
Toowoomba North	Intact family with no other children present	4201
Toowoomba North	Intact family with other children present	44
Toowoomba North	Other couple family with other children only	36
Toowoomba North	Step family with no other children present	371
Toowoomba North	Step family with other children present	10
Toowoomba South	Blended family with no other children present	255
Toowoomba South	Blended family with other children present	9
Toowoomba South	Intact family with no other children present	4351
Toowoomba South	Intact family with other children present	46
Toowoomba South	Other couple family with other children only	35
Toowoomba South	Step family with no other children present	365
Toowoomba South	Step family with other children present	10
Townsville	Blended family with no other children present	185
Townsville	Blended family with other children present	10
Townsville	Intact family with no other children present	3695
Townsville	Intact family with other children present	55
Townsville	Other couple family with other children only	30
Townsville	Step family with no other children present	351
Townsville	Step family with other children present	13
Warrego	Blended family with no other children present	194
Warrego	Intact family with no other children present	3640
Warrego	Intact family with other children present	46
Warrego	Other couple family with other children only	30
Warrego	Step family with no other children present	221
Warrego	Step family with other children present	9
Waterford	Blended family with no other children present	508
Waterford	Blended family with other children present	12
Waterford	Intact family with no other children present	5514
Waterford	Intact family with other children present	133
Waterford	Other couple family with other children only	53
Waterford	Step family with no other children present	642
Waterford	Step family with other children present	22
Whitsunday	Blended family with no other children present	296
Whitsunday	Blended family with other children present	3
Whitsunday	Intact family with no other children present	5896
Whitsunday	Intact family with other children present	50
Whitsunday	Other couple family with other children only	37
Whitsunday	Step family with no other children present	478
Whitsunday	Step family with other children present	8
Woodridge	Blended family with no other children present	484
Woodridge	Blended family with other children present	10
Woodridge	Intact family with no other children present	5644
Woodridge	Intact family with other children present	168
Woodridge	Other couple family with other children only	54
Woodridge	Step family with no other children present	510
Woodridge	Step family with other children present	14
Yeerongpilly	Blended family with no other children present	115
Yeerongpilly	Intact family with no other children present	5041
Yeerongpilly	Intact family with other children present	52
Yeerongpilly	Other couple family with other children only	18
Yeerongpilly	Step family with no other children present	307
Yeerongpilly	Step family with other children present	6
Adelaide	Blended family with no other children present	65
Adelaide	Intact family with no other children present	2931
Adelaide	Intact family with other children present	18
Adelaide	Other couple family with other children only	3
Adelaide	Step family with no other children present	179
Ashford	Blended family with no other children present	86
Ashford	Intact family with no other children present	3613
Ashford	Intact family with other children present	27
Ashford	Other couple family with other children only	13
Ashford	Step family with no other children present	230
Ashford	Step family with other children present	3
Bragg	Blended family with no other children present	95
Bragg	Intact family with no other children present	4218
Bragg	Intact family with other children present	25
Bragg	Other couple family with other children only	19
Bragg	Step family with no other children present	245
Bragg	Step family with other children present	3
Bright	Blended family with no other children present	117
Bright	Blended family with other children present	3
Bright	Intact family with no other children present	3609
Bright	Intact family with other children present	38
Bright	Other couple family with other children only	9
Bright	Step family with no other children present	248
Bright	Step family with other children present	3
Chaffey	Blended family with no other children present	167
Chaffey	Intact family with no other children present	2927
Chaffey	Intact family with other children present	27
Chaffey	Other couple family with other children only	28
Chaffey	Step family with no other children present	252
Cheltenham	Blended family with no other children present	130
Cheltenham	Blended family with other children present	3
Cheltenham	Intact family with no other children present	3655
Cheltenham	Intact family with other children present	51
Cheltenham	Other couple family with other children only	17
Cheltenham	Step family with no other children present	296
Colton	Blended family with no other children present	85
Colton	Intact family with no other children present	3813
Colton	Intact family with other children present	33
Colton	Other couple family with other children only	8
Colton	Step family with no other children present	243
Croydon	Blended family with no other children present	83
Croydon	Blended family with other children present	3
Croydon	Intact family with no other children present	3400
Croydon	Intact family with other children present	32
Croydon	Other couple family with other children only	13
Croydon	Step family with no other children present	246
Croydon	Step family with other children present	5
Davenport	Blended family with no other children present	137
Davenport	Blended family with other children present	5
Davenport	Intact family with no other children present	4102
Davenport	Intact family with other children present	32
Davenport	Other couple family with other children only	14
Davenport	Step family with no other children present	325
Dunstan	Blended family with no other children present	65
Dunstan	Intact family with no other children present	3443
Dunstan	Intact family with other children present	21
Dunstan	Other couple family with other children only	8
Dunstan	Step family with no other children present	207
Dunstan	Step family with other children present	4
Elder	Blended family with no other children present	82
Elder	Intact family with no other children present	3145
Elder	Intact family with other children present	31
Elder	Other couple family with other children only	4
Elder	Step family with no other children present	229
Enfield	Blended family with no other children present	104
Enfield	Blended family with other children present	3
Enfield	Intact family with no other children present	3998
Enfield	Intact family with other children present	63
Enfield	Other couple family with other children only	23
Enfield	Step family with no other children present	226
Finniss	Blended family with no other children present	161
Finniss	Intact family with no other children present	2408
Finniss	Intact family with other children present	21
Finniss	Other couple family with other children only	38
Finniss	Step family with no other children present	224
Finniss	Step family with other children present	7
Fisher	Blended family with no other children present	180
Fisher	Intact family with no other children present	3979
Fisher	Intact family with other children present	37
Fisher	Other couple family with other children only	21
Fisher	Step family with no other children present	338
Fisher	Step family with other children present	3
Flinders	Blended family with no other children present	170
Flinders	Blended family with other children present	8
Flinders	Intact family with no other children present	2819
Flinders	Intact family with other children present	31
Flinders	Other couple family with other children only	24
Flinders	Step family with no other children present	219
Flinders	Step family with other children present	6
Florey	Blended family with no other children present	131
Florey	Intact family with no other children present	3161
Florey	Intact family with other children present	34
Florey	Other couple family with other children only	20
Florey	Step family with no other children present	249
Florey	Step family with other children present	4
Frome	Blended family with no other children present	162
Frome	Blended family with other children present	3
Frome	Intact family with no other children present	2865
Frome	Intact family with other children present	34
Frome	Other couple family with other children only	37
Frome	Step family with no other children present	231
Frome	Step family with other children present	6
Giles	Blended family with no other children present	194
Giles	Blended family with other children present	3
Giles	Intact family with no other children present	2703
Giles	Intact family with other children present	63
Giles	Other couple family with other children only	47
Giles	Step family with no other children present	259
Giles	Step family with other children present	10
Goyder (SA)	Blended family with no other children present	176
Goyder (SA)	Blended family with other children present	8
Goyder (SA)	Intact family with no other children present	2514
Goyder (SA)	Intact family with other children present	22
Goyder (SA)	Other couple family with other children only	27
Goyder (SA)	Step family with no other children present	239
Goyder (SA)	Step family with other children present	7
Hammond	Blended family with no other children present	173
Hammond	Blended family with other children present	3
Hammond	Intact family with no other children present	2367
Hammond	Intact family with other children present	29
Hammond	Other couple family with other children only	30
Hammond	Step family with no other children present	253
Hammond	Step family with other children present	7
Hartley	Blended family with no other children present	84
Hartley	Intact family with no other children present	3737
Hartley	Intact family with other children present	27
Hartley	Other couple family with other children only	6
Hartley	Step family with no other children present	179
Hartley	Step family with other children present	8
Heysen	Blended family with no other children present	164
Heysen	Intact family with no other children present	3987
Heysen	Intact family with other children present	26
Heysen	Other couple family with other children only	19
Heysen	Step family with no other children present	313
Heysen	Step family with other children present	4
Kaurna	Blended family with no other children present	263
Kaurna	Intact family with no other children present	3522
Kaurna	Intact family with other children present	33
Kaurna	Other couple family with other children only	19
Kaurna	Step family with no other children present	432
Kaurna	Step family with other children present	3
Kavel	Blended family with no other children present	189
Kavel	Intact family with no other children present	4051
Kavel	Intact family with other children present	31
Kavel	Other couple family with other children only	16
Kavel	Step family with no other children present	381
Kavel	Step family with other children present	3
Lee	Blended family with no other children present	113
Lee	Intact family with no other children present	3003
Lee	Intact family with other children present	32
Lee	Other couple family with other children only	13
Lee	Step family with no other children present	278
Lee	Step family with other children present	3
Light	Blended family with no other children present	254
Light	Intact family with no other children present	3842
Light	Intact family with other children present	48
Light	Other couple family with other children only	24
Light	Step family with no other children present	413
Light	Step family with other children present	14
Little Para	Blended family with no other children present	249
Little Para	Intact family with no other children present	3173
Little Para	Intact family with other children present	37
Little Para	Other couple family with other children only	27
Little Para	Step family with no other children present	357
Little Para	Step family with other children present	11
Mackillop	Blended family with no other children present	180
Mackillop	Intact family with no other children present	2883
Mackillop	Intact family with other children present	17
Mackillop	Other couple family with other children only	27
Mackillop	Step family with no other children present	220
Mackillop	Step family with other children present	7
Mawson	Blended family with no other children present	217
Mawson	Blended family with other children present	3
Mawson	Intact family with no other children present	3374
Mawson	Intact family with other children present	28
Mawson	Other couple family with other children only	26
Mawson	Step family with no other children present	327
Mawson	Step family with other children present	4
Mitchell	Blended family with no other children present	163
Mitchell	Intact family with no other children present	3842
Mitchell	Intact family with other children present	33
Mitchell	Other couple family with other children only	13
Mitchell	Step family with no other children present	306
Mitchell	Step family with other children present	11
Morialta	Blended family with no other children present	106
Morialta	Intact family with no other children present	4445
Morialta	Intact family with other children present	31
Morialta	Other couple family with other children only	15
Morialta	Step family with no other children present	254
Morialta	Step family with other children present	3
Morphett	Blended family with no other children present	91
Morphett	Intact family with no other children present	2831
Morphett	Intact family with other children present	24
Morphett	Other couple family with other children only	10
Morphett	Step family with no other children present	221
Morphett	Step family with other children present	6
Mount Gambier	Blended family with no other children present	184
Mount Gambier	Blended family with other children present	3
Mount Gambier	Intact family with no other children present	3044
Mount Gambier	Intact family with other children present	30
Mount Gambier	Other couple family with other children only	30
Mount Gambier	Step family with no other children present	311
Mount Gambier	Step family with other children present	7
Napier	Blended family with no other children present	302
Napier	Blended family with other children present	12
Napier	Intact family with no other children present	3318
Napier	Intact family with other children present	60
Napier	Other couple family with other children only	39
Napier	Step family with no other children present	407
Napier	Step family with other children present	5
Newland	Blended family with no other children present	169
Newland	Intact family with no other children present	3681
Newland	Intact family with other children present	21
Newland	Other couple family with other children only	10
Newland	Step family with no other children present	328
Newland	Step family with other children present	6
Playford	Blended family with no other children present	160
Playford	Blended family with other children present	7
Playford	Intact family with no other children present	3614
Playford	Intact family with other children present	55
Playford	Other couple family with other children only	19
Playford	Step family with no other children present	261
Playford	Step family with other children present	7
Port Adelaide	Blended family with no other children present	181
Port Adelaide	Blended family with other children present	4
Port Adelaide	Intact family with no other children present	4084
Port Adelaide	Intact family with other children present	60
Port Adelaide	Other couple family with other children only	23
Port Adelaide	Step family with no other children present	359
Port Adelaide	Step family with other children present	6
Ramsay	Blended family with no other children present	176
Ramsay	Blended family with other children present	9
Ramsay	Intact family with no other children present	3569
Ramsay	Intact family with other children present	72
Ramsay	Other couple family with other children only	25
Ramsay	Step family with no other children present	324
Ramsay	Step family with other children present	14
Reynell	Blended family with no other children present	214
Reynell	Intact family with no other children present	2559
Reynell	Intact family with other children present	38
Reynell	Other couple family with other children only	25
Reynell	Step family with no other children present	338
Reynell	Step family with other children present	6
Schubert	Blended family with no other children present	199
Schubert	Intact family with no other children present	3442
Schubert	Intact family with other children present	25
Schubert	Other couple family with other children only	21
Schubert	Step family with no other children present	290
Schubert	Step family with other children present	3
Stuart (SA)	Blended family with no other children present	152
Stuart (SA)	Blended family with other children present	8
Stuart (SA)	Intact family with no other children present	2519
Stuart (SA)	Intact family with other children present	32
Stuart (SA)	Other couple family with other children only	25
Stuart (SA)	Step family with no other children present	205
Stuart (SA)	Step family with other children present	10
Taylor	Blended family with no other children present	335
Taylor	Blended family with other children present	11
Taylor	Intact family with no other children present	4082
Taylor	Intact family with other children present	88
Taylor	Other couple family with other children only	35
Taylor	Step family with no other children present	442
Taylor	Step family with other children present	15
Torrens	Blended family with no other children present	107
Torrens	Intact family with no other children present	4129
Torrens	Intact family with other children present	54
Torrens	Other couple family with other children only	15
Torrens	Step family with no other children present	261
Torrens	Step family with other children present	4
Unley	Blended family with no other children present	70
Unley	Intact family with no other children present	3610
Unley	Intact family with other children present	21
Unley	Other couple family with other children only	5
Unley	Step family with no other children present	231
Unley	Step family with other children present	3
Waite	Blended family with no other children present	92
Waite	Intact family with no other children present	4078
Waite	Intact family with other children present	25
Waite	Other couple family with other children only	12
Waite	Step family with no other children present	245
Waite	Step family with other children present	3
West Torrens	Blended family with no other children present	91
West Torrens	Intact family with no other children present	3389
West Torrens	Intact family with other children present	35
West Torrens	Other couple family with other children only	13
West Torrens	Step family with no other children present	212
Wright	Blended family with no other children present	161
Wright	Blended family with other children present	3
Wright	Intact family with no other children present	3812
Wright	Intact family with other children present	47
Wright	Other couple family with other children only	18
Wright	Step family with no other children present	361
Wright	Step family with other children present	3
Albany (South West)	Blended family with no other children present	193
Albany (South West)	Intact family with no other children present	3124
Albany (South West)	Intact family with other children present	38
Albany (South West)	Other couple family with other children only	25
Albany (South West)	Step family with no other children present	278
Albany (South West)	Step family with other children present	3
Alfred Cove (South Metropolitan)	Blended family with no other children present	92
Alfred Cove (South Metropolitan)	Intact family with no other children present	4208
Alfred Cove (South Metropolitan)	Intact family with other children present	28
Alfred Cove (South Metropolitan)	Other couple family with other children only	6
Alfred Cove (South Metropolitan)	Step family with no other children present	217
Alfred Cove (South Metropolitan)	Step family with other children present	3
Armadale (East Metropolitan)	Blended family with no other children present	278
Armadale (East Metropolitan)	Blended family with other children present	6
Armadale (East Metropolitan)	Intact family with no other children present	4143
Armadale (East Metropolitan)	Intact family with other children present	76
Armadale (East Metropolitan)	Other couple family with other children only	51
Armadale (East Metropolitan)	Step family with no other children present	430
Armadale (East Metropolitan)	Step family with other children present	16
Balcatta (North Metropolitan)	Blended family with no other children present	107
Balcatta (North Metropolitan)	Intact family with no other children present	3802
Balcatta (North Metropolitan)	Intact family with other children present	32
Balcatta (North Metropolitan)	Other couple family with other children only	17
Balcatta (North Metropolitan)	Step family with no other children present	207
Balcatta (North Metropolitan)	Step family with other children present	4
Bassendean (East Metropolitan)	Blended family with no other children present	173
Bassendean (East Metropolitan)	Blended family with other children present	3
Bassendean (East Metropolitan)	Intact family with no other children present	3823
Bassendean (East Metropolitan)	Intact family with other children present	74
Bassendean (East Metropolitan)	Other couple family with other children only	23
Bassendean (East Metropolitan)	Step family with no other children present	300
Bassendean (East Metropolitan)	Step family with other children present	7
Bateman (South Metropolitan)	Blended family with no other children present	82
Bateman (South Metropolitan)	Intact family with no other children present	4187
Bateman (South Metropolitan)	Intact family with other children present	44
Bateman (South Metropolitan)	Other couple family with other children only	8
Bateman (South Metropolitan)	Step family with no other children present	229
Bateman (South Metropolitan)	Step family with other children present	3
Belmont (East Metropolitan)	Blended family with no other children present	134
Belmont (East Metropolitan)	Blended family with other children present	3
Belmont (East Metropolitan)	Intact family with no other children present	3478
Belmont (East Metropolitan)	Intact family with other children present	54
Belmont (East Metropolitan)	Other couple family with other children only	15
Belmont (East Metropolitan)	Step family with no other children present	268
Bunbury (South West)	Blended family with no other children present	156
Bunbury (South West)	Blended family with other children present	7
