SSC_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SSC22555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,0,5,0,0,26,0,0,0,0,0,0,0,0,3,8,10,0,5,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,0,5,0,0,27
SSC22556,123,115,71,31,32,5,7,388,40,50,29,23,24,8,0,174,31,34,19,12,23,10,3,132,1012,942,520,325,403,108,33,3341,10,11,6,6,5,0,0,28,1211,1149,642,396,489,130,45,4064,12,22,12,8,22,5,0,87,7,14,14,11,9,5,3,66,3,14,8,16,12,3,0,67,242,319,189,154,198,48,20,1167,11,13,7,3,3,0,0,37,281,383,226,194,243,62,23,1414,1492,1526,870,589,731,192,66,5478
SSC22557,7,4,0,0,3,3,0,20,5,6,0,0,3,0,0,13,3,0,3,0,4,0,0,13,60,98,61,46,51,23,0,346,0,0,0,0,0,0,0,0,73,112,72,52,61,30,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,4,3,4,3,0,0,33,0,0,0,0,0,0,0,0,9,5,3,6,3,0,0,33,84,121,72,53,69,31,3,431
SSC22558,0,0,3,0,0,0,0,5,3,0,0,0,0,0,0,3,0,3,3,3,0,0,0,11,29,39,29,16,22,0,0,147,0,0,0,0,0,0,0,0,29,41,34,21,21,7,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,3,0,0,13,0,0,0,0,0,0,0,0,3,0,0,3,7,0,0,19,38,41,35,23,28,3,0,176
SSC22559,72,29,3,3,3,4,0,113,0,0,0,0,0,0,0,5,8,3,0,0,0,3,0,16,16,17,14,10,4,4,4,77,0,0,0,0,0,0,0,0,96,49,20,13,13,10,6,207,5,3,0,0,3,3,0,20,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,5,0,0,0,4,3,11,0,0,0,0,0,0,0,0,9,8,0,3,6,5,3,35,107,60,21,17,16,23,6,249
SSC22560,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,10,3,0,3,0,0,19,0,0,0,0,0,0,0,0,8,10,3,3,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,3,3,3,0,0,24
SSC22561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,17,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,8,3,0,0,0,19
SSC22562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SSC22563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,3,0,0,0,0,13
SSC22564,0,3,3,0,0,0,0,3,3,7,0,0,0,0,0,16,0,3,0,0,0,0,0,6,27,32,12,15,8,0,0,100,0,0,0,0,0,0,0,0,34,43,21,20,8,0,0,127,0,4,0,3,0,0,0,7,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,3,9,0,3,0,0,26,0,0,0,0,0,0,0,3,3,6,11,4,7,0,0,33,35,49,25,19,18,3,4,162
SSC22565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,3,3,0,22,0,0,0,0,0,0,0,0,9,3,0,0,3,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,3,0,0,3,6,0,23
SSC22566,0,0,0,0,3,0,0,4,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,12,9,4,9,5,0,0,38,0,0,0,0,0,0,0,0,12,13,6,8,11,3,0,43,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,12,13,8,5,11,3,0,52
SSC22567,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,17,9,3,7,0,0,40,0,0,0,0,0,0,0,0,10,17,8,3,6,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,10,15,9,3,6,0,0,51
SSC22568,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,3,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,14
SSC22569,1960,1306,452,222,259,128,49,4368,142,77,40,15,19,6,0,308,88,51,23,13,13,3,0,193,186,158,65,28,44,13,8,506,14,16,5,4,0,0,0,47,2393,1610,586,276,342,152,51,5419,124,124,66,47,55,23,7,450,17,16,4,0,8,3,3,54,14,11,5,4,11,4,0,51,43,64,27,26,22,6,5,189,11,11,3,7,3,0,0,35,214,219,112,83,95,35,19,780,2605,1829,696,365,442,187,73,6201
SSC22570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC22571,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,7,8,16,10,4,6,0,0,45,0,0,0,0,0,0,0,0,7,21,14,5,12,3,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,11,10,19,13,7,13,3,0,71
SSC22572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC22573,79,52,42,23,41,25,13,267,30,9,9,6,3,10,0,71,25,20,4,9,10,6,4,73,167,96,64,32,28,19,7,420,7,3,0,0,0,0,0,10,307,184,122,63,83,55,31,839,6,21,9,4,11,3,3,61,10,13,8,3,8,3,0,40,3,3,4,5,5,3,0,25,44,56,25,14,19,10,7,172,3,0,0,0,0,0,0,9,61,100,45,28,42,21,10,310,367,278,165,94,123,81,40,1150
SSC22574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,7,8,3,0,0,35,0,0,0,0,0,0,0,0,15,11,7,8,3,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,4,0,0,3,0,24,0,0,0,0,0,0,0,0,3,11,4,0,0,3,0,24,16,20,8,6,3,7,0,62
SSC22575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC22576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
SSC22577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC22578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,4
SSC22579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC22580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,3,0,0,15,0,0,0,0,0,0,0,0,0,8,3,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,3,0,0,21
SSC22581,8,6,5,4,9,6,0,45,10,10,7,8,4,8,0,55,10,12,9,7,14,8,7,56,109,123,84,48,63,20,11,461,0,0,0,0,0,0,0,0,144,151,104,67,91,39,14,609,0,0,0,0,0,0,0,4,0,3,3,3,6,3,0,19,0,0,0,3,0,0,0,10,18,29,17,13,13,3,3,104,0,3,0,0,0,0,0,3,17,36,21,24,25,5,3,138,157,191,128,85,117,44,18,747
SSC22582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC22583,3,0,3,0,3,0,0,5,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,31,37,24,11,18,0,0,121,0,0,0,0,0,0,0,0,36,39,27,16,24,0,0,136,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,3,9,5,3,0,3,0,0,18,0,0,0,0,0,0,0,0,5,4,6,0,5,0,0,26,42,44,30,16,25,3,0,164
SSC22584,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,6,36,19,11,7,15,3,0,89,0,0,0,0,0,0,0,0,38,28,15,7,14,7,0,107,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,14,38,35,11,8,19,7,0,115
SSC22585,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,6,4,4,0,0,22,17,12,8,7,7,3,3,69,0,0,0,0,0,0,0,0,21,21,14,13,13,7,3,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,18,24,32,16,17,15,7,3,110
SSC22586,3,0,0,0,0,0,0,4,3,0,4,0,3,3,3,11,3,3,0,0,0,0,0,4,0,12,15,15,13,8,0,64,0,0,0,0,0,0,0,0,8,16,18,18,16,12,4,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,4,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,9,9,16,23,18,16,12,4,96
SSC22587,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,3,5,7,0,0,31,0,0,0,0,0,0,0,0,7,9,3,5,7,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,4,0,0,0,0,0,4,7,11,3,5,7,0,0,39
SSC22588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,8,7,7,3,0,50,0,0,0,0,0,0,0,0,11,11,8,7,7,3,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,11,8,4,10,3,0,57
SSC22589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,11,10,0,9,0,0,38,0,0,0,0,0,0,0,0,6,13,10,0,9,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,10,0,9,0,0,44
SSC22590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
SSC22591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC22592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC22593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,9
SSC22594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,8
SSC22595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,3,3,6,4,0,28,0,0,0,0,0,0,0,0,7,5,3,3,6,4,0,28,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,0,0,4,4,0,3,0,0,0,0,13,8,10,4,3,6,4,0,35
SSC22596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC22597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC22598,0,3,0,0,0,0,0,4,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,3,13,22,17,9,13,4,0,75,3,0,0,0,0,0,0,6,15,26,19,10,13,8,0,92,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,14,24,32,20,10,17,11,0,109
SSC22599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,3,0,7,0,0,33,4,0,0,0,0,0,0,4,14,10,3,0,7,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,3,0,6,0,0,43
SSC22600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,0,3,3,0,3,0,0,10
SSC22601,8,9,3,7,3,5,0,42,18,29,11,9,5,12,5,85,29,18,7,7,9,3,5,72,118,115,67,49,53,21,10,437,0,0,0,0,0,0,0,0,175,176,90,71,75,43,18,638,0,0,3,4,3,0,0,10,3,3,4,3,3,3,0,18,0,3,3,0,5,3,0,18,19,13,14,8,19,3,5,90,0,3,0,0,0,0,0,5,21,26,24,19,25,14,7,140,195,202,114,86,100,55,26,779
SSC22602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,3,0,0,25,0,0,0,0,0,0,0,0,0,9,6,0,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,11,0,5,0,0,23
SSC22603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,3,0,0,0,13,0,0,0,0,0,0,0,0,3,5,5,7,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,6,4,4,0,0,24
SSC22604,0,0,3,0,0,0,0,7,0,0,0,0,4,0,0,4,3,7,0,0,0,0,0,9,11,12,6,8,12,9,0,55,0,0,0,0,0,0,0,0,9,21,8,8,11,5,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,21,8,8,17,9,0,77
SSC22605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,7
SSC22606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC22607,20,27,13,19,18,11,3,113,38,61,37,27,30,15,6,205,39,41,28,14,14,8,3,143,227,242,133,87,122,59,31,899,3,0,0,0,0,0,0,3,333,381,202,142,187,89,44,1367,4,0,0,0,3,3,0,10,8,7,6,3,7,3,4,41,4,4,9,4,3,5,0,29,27,27,15,21,25,9,13,141,0,0,0,0,0,0,0,3,46,42,32,30,40,22,20,231,374,419,236,168,231,116,58,1596
SSC22608,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,4,0,0,0,0,0,19
SSC22609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,15
SSC22610,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,6,4,3,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,3,0,0,11
SSC22611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,5,7,0,0,32,0,0,0,0,0,0,0,0,7,9,3,5,7,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,7,9,3,12,12,0,0,36
