LGA_NAME16	MaxSchoolingCompleted	adults
Noosa (S)	Year 8	1468
Noosa (S)	Year 9	2075
Noosa (S)	Year 10	10656
Noosa (S)	Year 11	4027
Noosa (S)	Year 12	21715
North Burnett (R)	Did not go to school	50
North Burnett (R)	Year 8	1032
North Burnett (R)	Year 9	610
North Burnett (R)	Year 10	2494
North Burnett (R)	Year 11	560
North Burnett (R)	Year 12	2598
Northern Peninsula Area (R)	Year 8	120
Northern Peninsula Area (R)	Year 9	78
Northern Peninsula Area (R)	Year 10	367
Northern Peninsula Area (R)	Year 11	289
Northern Peninsula Area (R)	Year 12	783
Palm Island (S)	Did not go to school	9
Palm Island (S)	Year 8	216
Palm Island (S)	Year 9	196
Palm Island (S)	Year 10	528
Palm Island (S)	Year 11	231
Palm Island (S)	Year 12	405
Paroo (S)	Did not go to school	22
Paroo (S)	Year 8	138
Paroo (S)	Year 9	90
Paroo (S)	Year 10	389
Paroo (S)	Year 11	100
Paroo (S)	Year 12	438
Pormpuraaw (S)	Did not go to school	21
Pormpuraaw (S)	Year 8	85
Pormpuraaw (S)	Year 9	48
Pormpuraaw (S)	Year 10	182
Pormpuraaw (S)	Year 11	71
Pormpuraaw (S)	Year 12	120
Quilpie (S)	Year 8	49
Quilpie (S)	Year 9	42
Quilpie (S)	Year 10	194
Quilpie (S)	Year 11	42
Quilpie (S)	Year 12	272
Redland (C)	Did not go to school	275
Redland (C)	Year 8	5173
Redland (C)	Year 9	5824
Redland (C)	Year 10	31646
Redland (C)	Year 11	9944
Redland (C)	Year 12	59331
Richmond (S)	Year 8	71
Richmond (S)	Year 9	35
Richmond (S)	Year 10	202
Richmond (S)	Year 11	37
Richmond (S)	Year 12	225
Rockhampton (R)	Did not go to school	301
Rockhampton (R)	Year 8	4713
Rockhampton (R)	Year 9	3644
Rockhampton (R)	Year 10	16989
Rockhampton (R)	Year 11	4895
Rockhampton (R)	Year 12	26014
Scenic Rim (R)	Did not go to school	81
Scenic Rim (R)	Year 8	2259
Scenic Rim (R)	Year 9	1998
Scenic Rim (R)	Year 10	8776
Scenic Rim (R)	Year 11	2583
Scenic Rim (R)	Year 12	13351
Somerset (R)	Did not go to school	71
Somerset (R)	Year 8	1662
Somerset (R)	Year 9	1484
Somerset (R)	Year 10	5908
Somerset (R)	Year 11	1592
Somerset (R)	Year 12	6689
South Burnett (R)	Did not go to school	112
South Burnett (R)	Year 8	2593
South Burnett (R)	Year 9	2033
South Burnett (R)	Year 10	8132
South Burnett (R)	Year 11	2042
South Burnett (R)	Year 12	8195
Southern Downs (R)	Did not go to school	108
Southern Downs (R)	Year 8	2420
Southern Downs (R)	Year 9	1972
Southern Downs (R)	Year 10	8859
Southern Downs (R)	Year 11	2177
Southern Downs (R)	Year 12	10259
Sunshine Coast (R)	Did not go to school	505
Sunshine Coast (R)	Year 8	9706
Sunshine Coast (R)	Year 9	12282
Sunshine Coast (R)	Year 10	61389
Sunshine Coast (R)	Year 11	21335
Sunshine Coast (R)	Year 12	116907
Tablelands (R)	Did not go to school	88
Tablelands (R)	Year 8	1491
Tablelands (R)	Year 9	1255
Tablelands (R)	Year 10	5864
Tablelands (R)	Year 11	1563
Tablelands (R)	Year 12	7683
Toowoomba (R)	Did not go to school	591
Toowoomba (R)	Year 8	8634
Toowoomba (R)	Year 9	6855
Toowoomba (R)	Year 10	33749
Toowoomba (R)	Year 11	9174
Toowoomba (R)	Year 12	57354
Torres (S)	Did not go to school	17
Torres (S)	Year 8	134
Torres (S)	Year 9	92
Torres (S)	Year 10	444
Torres (S)	Year 11	207
Torres (S)	Year 12	1171
Torres Strait Island (R)	Did not go to school	26
Torres Strait Island (R)	Year 8	326
Torres Strait Island (R)	Year 9	127
Torres Strait Island (R)	Year 10	534
Torres Strait Island (R)	Year 11	318
Torres Strait Island (R)	Year 12	1272
Townsville (C)	Did not go to school	557
Townsville (C)	Year 8	6456
Townsville (C)	Year 9	6964
Townsville (C)	Year 10	34684
Townsville (C)	Year 11	12704
Townsville (C)	Year 12	73273
Weipa (T)	Did not go to school	17
Weipa (T)	Year 8	51
Weipa (T)	Year 9	115
Weipa (T)	Year 10	662
Weipa (T)	Year 11	271
Weipa (T)	Year 12	1371
Western Downs (R)	Did not go to school	97
Western Downs (R)	Year 8	2085
Western Downs (R)	Year 9	1547
Western Downs (R)	Year 10	7331
Western Downs (R)	Year 11	1940
Western Downs (R)	Year 12	9406
Whitsunday (R)	Did not go to school	90
Whitsunday (R)	Year 8	1375
Whitsunday (R)	Year 9	1515
Whitsunday (R)	Year 10	7363
Whitsunday (R)	Year 11	2508
Whitsunday (R)	Year 12	10475
Winton (S)	Did not go to school	10
Winton (S)	Year 8	78
Winton (S)	Year 9	59
Winton (S)	Year 10	283
Winton (S)	Year 11	65
Winton (S)	Year 12	331
Woorabinda (S)	Did not go to school	6
Woorabinda (S)	Year 8	59
Woorabinda (S)	Year 9	67
Woorabinda (S)	Year 10	238
Woorabinda (S)	Year 11	84
Woorabinda (S)	Year 12	124
Wujal Wujal (S)	Year 8	27
Wujal Wujal (S)	Year 9	27
Wujal Wujal (S)	Year 10	56
Wujal Wujal (S)	Year 11	33
Wujal Wujal (S)	Year 12	57
Yarrabah (S)	Did not go to school	17
Yarrabah (S)	Year 8	114
Yarrabah (S)	Year 9	187
Yarrabah (S)	Year 10	559
Yarrabah (S)	Year 11	280
Yarrabah (S)	Year 12	450
No usual address (Qld)	Did not go to school	70
No usual address (Qld)	Year 8	510
No usual address (Qld)	Year 9	729
No usual address (Qld)	Year 10	2664
No usual address (Qld)	Year 11	867
No usual address (Qld)	Year 12	4206
Migratory - Offshore - Shipping (Qld)	Year 8	17
Migratory - Offshore - Shipping (Qld)	Year 9	11
Migratory - Offshore - Shipping (Qld)	Year 10	39
Migratory - Offshore - Shipping (Qld)	Year 11	15
Migratory - Offshore - Shipping (Qld)	Year 12	50
Adelaide (C)	Did not go to school	71
Adelaide (C)	Year 8	264
Adelaide (C)	Year 9	314
Adelaide (C)	Year 10	1039
Adelaide (C)	Year 11	1418
Adelaide (C)	Year 12	15122
Adelaide Hills (DC)	Did not go to school	51
Adelaide Hills (DC)	Year 8	878
Adelaide Hills (DC)	Year 9	1273
Adelaide Hills (DC)	Year 10	4133
Adelaide Hills (DC)	Year 11	5367
Adelaide Hills (DC)	Year 12	17984
Alexandrina (DC)	Did not go to school	38
Alexandrina (DC)	Year 8	1024
Alexandrina (DC)	Year 9	1408
Alexandrina (DC)	Year 10	4458
Alexandrina (DC)	Year 11	4528
Alexandrina (DC)	Year 12	8384
Anangu Pitjantjatjara (AC)	Did not go to school	59
Anangu Pitjantjatjara (AC)	Year 8	183
Anangu Pitjantjatjara (AC)	Year 9	152
Anangu Pitjantjatjara (AC)	Year 10	347
Anangu Pitjantjatjara (AC)	Year 11	251
Anangu Pitjantjatjara (AC)	Year 12	352
Barossa (DC)	Did not go to school	28
Barossa (DC)	Year 8	1197
Barossa (DC)	Year 9	1256
Barossa (DC)	Year 10	3530
Barossa (DC)	Year 11	3976
Barossa (DC)	Year 12	7752
Barunga West (DC)	Year 8	208
Barunga West (DC)	Year 9	177
Barunga West (DC)	Year 10	449
Barunga West (DC)	Year 11	494
Barunga West (DC)	Year 12	624
Berri and Barmera (DC)	Did not go to school	80
Berri and Barmera (DC)	Year 8	794
Berri and Barmera (DC)	Year 9	672
Berri and Barmera (DC)	Year 10	1727
Berri and Barmera (DC)	Year 11	1670
Berri and Barmera (DC)	Year 12	2817
Burnside (C)	Did not go to school	117
Burnside (C)	Year 8	959
Burnside (C)	Year 9	1118
Burnside (C)	Year 10	3170
Burnside (C)	Year 11	3934
Burnside (C)	Year 12	25187
Campbelltown (C) (SA)	Did not go to school	552
Campbelltown (C) (SA)	Year 8	3057
Campbelltown (C) (SA)	Year 9	1681
Campbelltown (C) (SA)	Year 10	5004
Campbelltown (C) (SA)	Year 11	6042
Campbelltown (C) (SA)	Year 12	23432
Ceduna (DC)	Did not go to school	9
Ceduna (DC)	Year 8	184
Ceduna (DC)	Year 9	199
Ceduna (DC)	Year 10	525
Ceduna (DC)	Year 11	531
Ceduna (DC)	Year 12	820
Charles Sturt (C)	Did not go to school	1340
Charles Sturt (C)	Year 8	6709
Charles Sturt (C)	Year 9	4390
Charles Sturt (C)	Year 10	12491
Charles Sturt (C)	Year 11	14355
Charles Sturt (C)	Year 12	48693
Clare and Gilbert Valleys (DC)	Did not go to school	3
Clare and Gilbert Valleys (DC)	Year 8	430
Clare and Gilbert Valleys (DC)	Year 9	484
Clare and Gilbert Valleys (DC)	Year 10	1327
Clare and Gilbert Valleys (DC)	Year 11	1650
Clare and Gilbert Valleys (DC)	Year 12	2831
Cleve (DC)	Did not go to school	6
Cleve (DC)	Year 8	124
Cleve (DC)	Year 9	76
Cleve (DC)	Year 10	245
Cleve (DC)	Year 11	325
Cleve (DC)	Year 12	494
Coober Pedy (DC)	Did not go to school	25
Coober Pedy (DC)	Year 8	114
Coober Pedy (DC)	Year 9	74
Coober Pedy (DC)	Year 10	260
Coober Pedy (DC)	Year 11	200
Coober Pedy (DC)	Year 12	490
Copper Coast (DC)	Did not go to school	24
Copper Coast (DC)	Year 8	950
Copper Coast (DC)	Year 9	1080
Copper Coast (DC)	Year 10	2768
Copper Coast (DC)	Year 11	2517
Copper Coast (DC)	Year 12	3264
Elliston (DC)	Year 8	54
Elliston (DC)	Year 9	47
Elliston (DC)	Year 10	187
Elliston (DC)	Year 11	156
Elliston (DC)	Year 12	306
Flinders Ranges (DC)	Did not go to school	11
Flinders Ranges (DC)	Year 8	119
Flinders Ranges (DC)	Year 9	98
Flinders Ranges (DC)	Year 10	295
Flinders Ranges (DC)	Year 11	307
Flinders Ranges (DC)	Year 12	415
Franklin Harbour (DC)	Year 8	91
Franklin Harbour (DC)	Year 9	70
Franklin Harbour (DC)	Year 10	250
Franklin Harbour (DC)	Year 11	218
Franklin Harbour (DC)	Year 12	299
Gawler (T)	Did not go to school	59
Gawler (T)	Year 8	1132
Gawler (T)	Year 9	1310
Gawler (T)	Year 10	3661
Gawler (T)	Year 11	3938
Gawler (T)	Year 12	7365
Goyder (DC)	Did not go to school	8
Goyder (DC)	Year 8	277
Goyder (DC)	Year 9	296
Goyder (DC)	Year 10	703
Goyder (DC)	Year 11	714
Goyder (DC)	Year 12	1093
Grant (DC)	Did not go to school	5
Grant (DC)	Year 8	423
Grant (DC)	Year 9	445
Grant (DC)	Year 10	1242
Grant (DC)	Year 11	1521
Grant (DC)	Year 12	2047
Holdfast Bay (C)	Did not go to school	147
Holdfast Bay (C)	Year 8	979
Holdfast Bay (C)	Year 9	1126
Holdfast Bay (C)	Year 10	4123
Holdfast Bay (C)	Year 11	4646
Holdfast Bay (C)	Year 12	17162
Kangaroo Island (DC)	Did not go to school	6
Kangaroo Island (DC)	Year 8	211
Kangaroo Island (DC)	Year 9	248
Kangaroo Island (DC)	Year 10	774
Kangaroo Island (DC)	Year 11	735
Kangaroo Island (DC)	Year 12	1505
Karoonda East Murray (DC)	Year 8	116
Karoonda East Murray (DC)	Year 9	69
Karoonda East Murray (DC)	Year 10	200
Karoonda East Murray (DC)	Year 11	176
Karoonda East Murray (DC)	Year 12	257
Kimba (DC)	Year 8	86
Kimba (DC)	Year 9	42
Kimba (DC)	Year 10	125
Kimba (DC)	Year 11	179
Kimba (DC)	Year 12	308
Kingston (DC) (SA)	Did not go to school	3
Kingston (DC) (SA)	Year 8	161
Kingston (DC) (SA)	Year 9	166
Kingston (DC) (SA)	Year 10	442
Kingston (DC) (SA)	Year 11	404
Kingston (DC) (SA)	Year 12	608
Light (RegC)	Did not go to school	22
Light (RegC)	Year 8	505
Light (RegC)	Year 9	685
Light (RegC)	Year 10	2199
Light (RegC)	Year 11	2662
Light (RegC)	Year 12	4730
Lower Eyre Peninsula (DC)	Did not go to school	10
Lower Eyre Peninsula (DC)	Year 8	198
Lower Eyre Peninsula (DC)	Year 9	269
Lower Eyre Peninsula (DC)	Year 10	798
Lower Eyre Peninsula (DC)	Year 11	1003
Lower Eyre Peninsula (DC)	Year 12	1541
Loxton Waikerie (DC)	Did not go to school	38
Loxton Waikerie (DC)	Year 8	880
Loxton Waikerie (DC)	Year 9	747
Loxton Waikerie (DC)	Year 10	2009
Loxton Waikerie (DC)	Year 11	2018
Loxton Waikerie (DC)	Year 12	2857
Mallala (DC)	Did not go to school	30
Mallala (DC)	Year 8	396
Mallala (DC)	Year 9	504
Mallala (DC)	Year 10	1616
Mallala (DC)	Year 11	1647
Mallala (DC)	Year 12	2304
Maralinga Tjarutja (AC)	Year 10	3
Maralinga Tjarutja (AC)	Year 11	5
Maralinga Tjarutja (AC)	Year 12	9
Marion (C)	Did not go to school	503
Marion (C)	Year 8	3346
Marion (C)	Year 9	3399
Marion (C)	Year 10	10431
Marion (C)	Year 11	11815
Marion (C)	Year 12	40246
Mid Murray (DC)	Did not go to school	16
Mid Murray (DC)	Year 8	599
Mid Murray (DC)	Year 9	578
Mid Murray (DC)	Year 10	1681
Mid Murray (DC)	Year 11	1529
Mid Murray (DC)	Year 12	2097
Mitcham (C)	Did not go to school	191
Mitcham (C)	Year 8	1609
Mitcham (C)	Year 9	1920
Mitcham (C)	Year 10	5758
Mitcham (C)	Year 11	7364
Mitcham (C)	Year 12	33795
Mount Barker (DC)	Did not go to school	44
Mount Barker (DC)	Year 8	902
Mount Barker (DC)	Year 9	1338
Mount Barker (DC)	Year 10	4289
Mount Barker (DC)	Year 11	5065
Mount Barker (DC)	Year 12	13138
Mount Gambier (C)	Did not go to school	133
Mount Gambier (C)	Year 8	1655
Mount Gambier (C)	Year 9	1586
Mount Gambier (C)	Year 10	4104
Mount Gambier (C)	Year 11	4659
Mount Gambier (C)	Year 12	7197
Mount Remarkable (DC)	Did not go to school	3
Mount Remarkable (DC)	Year 8	207
Mount Remarkable (DC)	Year 9	199
Mount Remarkable (DC)	Year 10	491
Mount Remarkable (DC)	Year 11	575
Mount Remarkable (DC)	Year 12	742
Murray Bridge (RC)	Did not go to school	112
Murray Bridge (RC)	Year 8	1494
Murray Bridge (RC)	Year 9	1386
Murray Bridge (RC)	Year 10	3566
Murray Bridge (RC)	Year 11	3312
Murray Bridge (RC)	Year 12	5553
Naracoorte and Lucindale (DC)	Did not go to school	155
Naracoorte and Lucindale (DC)	Year 8	407
Naracoorte and Lucindale (DC)	Year 9	450
Naracoorte and Lucindale (DC)	Year 10	1284
Naracoorte and Lucindale (DC)	Year 11	1459
Naracoorte and Lucindale (DC)	Year 12	2401
Northern Areas (DC)	Did not go to school	7
Northern Areas (DC)	Year 8	264
Northern Areas (DC)	Year 9	253
Northern Areas (DC)	Year 10	761
Northern Areas (DC)	Year 11	813
Northern Areas (DC)	Year 12	1294
Norwood Payneham St Peters (C)	Did not go to school	282
Norwood Payneham St Peters (C)	Year 8	1625
Norwood Payneham St Peters (C)	Year 9	903
Norwood Payneham St Peters (C)	Year 10	2675
Norwood Payneham St Peters (C)	Year 11	3452
Norwood Payneham St Peters (C)	Year 12	19516
Onkaparinga (C)	Did not go to school	314
Onkaparinga (C)	Year 8	5030
Onkaparinga (C)	Year 9	7595
Onkaparinga (C)	Year 10	25503
Onkaparinga (C)	Year 11	27642
Onkaparinga (C)	Year 12	60111
Orroroo/Carrieton (DC)	Did not go to school	5
Orroroo/Carrieton (DC)	Year 8	73
Orroroo/Carrieton (DC)	Year 9	49
Orroroo/Carrieton (DC)	Year 10	149
Orroroo/Carrieton (DC)	Year 11	161
Orroroo/Carrieton (DC)	Year 12	243
Peterborough (DC)	Did not go to school	11
Peterborough (DC)	Year 8	152
Peterborough (DC)	Year 9	139
Peterborough (DC)	Year 10	344
Peterborough (DC)	Year 11	290
Peterborough (DC)	Year 12	335
Playford (C)	Did not go to school	1047
Playford (C)	Year 8	3976
Playford (C)	Year 9	5167
Playford (C)	Year 10	14124
Playford (C)	Year 11	13890
Playford (C)	Year 12	24338
Port Adelaide Enfield (C)	Did not go to school	2111
Port Adelaide Enfield (C)	Year 8	6758
Port Adelaide Enfield (C)	Year 9	5224
Port Adelaide Enfield (C)	Year 10	13729
Port Adelaide Enfield (C)	Year 11	14433
Port Adelaide Enfield (C)	Year 12	50286
Port Augusta (C)	Did not go to school	63
Port Augusta (C)	Year 8	729
Port Augusta (C)	Year 9	770
Port Augusta (C)	Year 10	2100
Port Augusta (C)	Year 11	2536
Port Augusta (C)	Year 12	3065
Port Lincoln (C)	Did not go to school	28
Port Lincoln (C)	Year 8	773
Port Lincoln (C)	Year 9	744
Port Lincoln (C)	Year 10	2265
Port Lincoln (C)	Year 11	2458
Port Lincoln (C)	Year 12	3980
Port Pirie City and Dists (M)	Did not go to school	46
Port Pirie City and Dists (M)	Year 8	1367
Port Pirie City and Dists (M)	Year 9	1173
Port Pirie City and Dists (M)	Year 10	2949
Port Pirie City and Dists (M)	Year 11	3233
Port Pirie City and Dists (M)	Year 12	4188
Prospect (C)	Did not go to school	196
Prospect (C)	Year 8	773
Prospect (C)	Year 9	527
Prospect (C)	Year 10	1589
Prospect (C)	Year 11	2111
Prospect (C)	Year 12	10850
Renmark Paringa (DC)	Did not go to school	127
Renmark Paringa (DC)	Year 8	692
Renmark Paringa (DC)	Year 9	612
Renmark Paringa (DC)	Year 10	1641
Renmark Paringa (DC)	Year 11	1552
Renmark Paringa (DC)	Year 12	2397
Robe (DC)	Year 8	57
Robe (DC)	Year 9	69
Robe (DC)	Year 10	224
Robe (DC)	Year 11	261
Robe (DC)	Year 12	462
Roxby Downs (M)	Did not go to school	3
Roxby Downs (M)	Year 8	35
Roxby Downs (M)	Year 9	96
Roxby Downs (M)	Year 10	508
Roxby Downs (M)	Year 11	625
Roxby Downs (M)	Year 12	1284
Salisbury (C)	Did not go to school	2726
Salisbury (C)	Year 8	7011
Salisbury (C)	Year 9	6845
Salisbury (C)	Year 10	19463
Salisbury (C)	Year 11	20001
Salisbury (C)	Year 12	47236
Southern Mallee (DC)	Did not go to school	5
Southern Mallee (DC)	Year 8	134
Southern Mallee (DC)	Year 9	140
Southern Mallee (DC)	Year 10	349
Southern Mallee (DC)	Year 11	318
Southern Mallee (DC)	Year 12	553
Streaky Bay (DC)	Did not go to school	3
Streaky Bay (DC)	Year 8	115
Streaky Bay (DC)	Year 9	80
Streaky Bay (DC)	Year 10	343
Streaky Bay (DC)	Year 11	343
Streaky Bay (DC)	Year 12	596
Tatiara (DC)	Did not go to school	57
Tatiara (DC)	Year 8	369
Tatiara (DC)	Year 9	347
Tatiara (DC)	Year 10	1023
Tatiara (DC)	Year 11	1148
Tatiara (DC)	Year 12	1832
Tea Tree Gully (C)	Did not go to school	259
Tea Tree Gully (C)	Year 8	3309
Tea Tree Gully (C)	Year 9	4031
Tea Tree Gully (C)	Year 10	13593
Tea Tree Gully (C)	Year 11	15967
Tea Tree Gully (C)	Year 12	39399
The Coorong (DC)	Did not go to school	11
The Coorong (DC)	Year 8	390
The Coorong (DC)	Year 9	383
The Coorong (DC)	Year 10	979
The Coorong (DC)	Year 11	915
The Coorong (DC)	Year 12	1302
Tumby Bay (DC)	Did not go to school	5
Tumby Bay (DC)	Year 8	204
Tumby Bay (DC)	Year 9	142
Tumby Bay (DC)	Year 10	429
Tumby Bay (DC)	Year 11	461
Tumby Bay (DC)	Year 12	732
Unley (C)	Did not go to school	167
Unley (C)	Year 8	1103
Unley (C)	Year 9	878
Unley (C)	Year 10	2632
Unley (C)	Year 11	3444
Unley (C)	Year 12	21529
Victor Harbor (C)	Did not go to school	28
Victor Harbor (C)	Year 8	755
Victor Harbor (C)	Year 9	883
Victor Harbor (C)	Year 10	2875
Victor Harbor (C)	Year 11	2605
Victor Harbor (C)	Year 12	4544
Wakefield (DC)	Did not go to school	13
Wakefield (DC)	Year 8	433
Wakefield (DC)	Year 9	473
Wakefield (DC)	Year 10	1124
Wakefield (DC)	Year 11	1186
Wakefield (DC)	Year 12	1779
Walkerville (M)	Did not go to school	26
Walkerville (M)	Year 8	209
Walkerville (M)	Year 9	213
Walkerville (M)	Year 10	572
Walkerville (M)	Year 11	759
Walkerville (M)	Year 12	4222
Wattle Range (DC)	Did not go to school	24
Wattle Range (DC)	Year 8	775
Wattle Range (DC)	Year 9	691
Wattle Range (DC)	Year 10	1996
Wattle Range (DC)	Year 11	2162
Wattle Range (DC)	Year 12	3029
West Torrens (C)	Did not go to school	499
West Torrens (C)	Year 8	2822
West Torrens (C)	Year 9	1844
West Torrens (C)	Year 10	5699
West Torrens (C)	Year 11	6688
West Torrens (C)	Year 12	28509
Whyalla (C)	Did not go to school	69
Whyalla (C)	Year 8	1041
Whyalla (C)	Year 9	1128
Whyalla (C)	Year 10	3414
Whyalla (C)	Year 11	4097
Whyalla (C)	Year 12	6020
Wudinna (DC)	Year 8	55
Wudinna (DC)	Year 9	77
Wudinna (DC)	Year 10	188
Wudinna (DC)	Year 11	213
Wudinna (DC)	Year 12	332
Yankalilla (DC)	Did not go to school	12
Yankalilla (DC)	Year 8	209
Yankalilla (DC)	Year 9	328
Yankalilla (DC)	Year 10	909
Yankalilla (DC)	Year 11	909
Yankalilla (DC)	Year 12	1681
Yorke Peninsula (DC)	Did not go to school	18
Yorke Peninsula (DC)	Year 8	836
Yorke Peninsula (DC)	Year 9	850
Yorke Peninsula (DC)	Year 10	2126
Yorke Peninsula (DC)	Year 11	2088
Yorke Peninsula (DC)	Year 12	2813
Unincorporated SA	Did not go to school	20
Unincorporated SA	Year 8	221
Unincorporated SA	Year 9	201
Unincorporated SA	Year 10	524
Unincorporated SA	Year 11	553
Unincorporated SA	Year 12	910
No usual address (SA)	Did not go to school	30
No usual address (SA)	Year 8	143
No usual address (SA)	Year 9	178
No usual address (SA)	Year 10	475
No usual address (SA)	Year 11	352
No usual address (SA)	Year 12	845
Migratory - Offshore - Shipping (SA)	Year 12	5
Albany (C)	Did not go to school	77
Albany (C)	Year 8	1276
Albany (C)	Year 9	1795
Albany (C)	Year 10	8167
Albany (C)	Year 11	3382
Albany (C)	Year 12	12058
Armadale (C)	Did not go to school	371
Armadale (C)	Year 8	1632
Armadale (C)	Year 9	2977
Armadale (C)	Year 10	14995
Armadale (C)	Year 11	6951
Armadale (C)	Year 12	30024
Ashburton (S)	Did not go to school	48
Ashburton (S)	Year 8	116
Ashburton (S)	Year 9	319
Ashburton (S)	Year 10	2445
Ashburton (S)	Year 11	1430
Ashburton (S)	Year 12	4734
Augusta-Margaret River (S)	Did not go to school	20
Augusta-Margaret River (S)	Year 8	222
Augusta-Margaret River (S)	Year 9	455
Augusta-Margaret River (S)	Year 10	2381
Augusta-Margaret River (S)	Year 11	1135
Augusta-Margaret River (S)	Year 12	5822
Bassendean (T)	Did not go to school	85
Bassendean (T)	Year 8	529
Bassendean (T)	Year 9	583
Bassendean (T)	Year 10	2541
Bassendean (T)	Year 11	1148
Bassendean (T)	Year 12	6531
Bayswater (C)	Did not go to school	574
Bayswater (C)	Year 8	2320
Bayswater (C)	Year 9	1987
Bayswater (C)	Year 10	8966
Bayswater (C)	Year 11	4190
Bayswater (C)	Year 12	31874
Belmont (C)	Did not go to school	403
Belmont (C)	Year 8	1357
Belmont (C)	Year 9	1330
Belmont (C)	Year 10	5511
Belmont (C)	Year 11	2777
Belmont (C)	Year 12	17786
Beverley (S)	Did not go to school	4
Beverley (S)	Year 8	65
Beverley (S)	Year 9	107
Beverley (S)	Year 10	429
Beverley (S)	Year 11	160
Beverley (S)	Year 12	480
Boddington (S)	Year 8	50
Boddington (S)	Year 9	80
Boddington (S)	Year 10	442
Boddington (S)	Year 11	180
Boddington (S)	Year 12	533
Boyup Brook (S)	Did not go to school	3
Boyup Brook (S)	Year 8	63
Boyup Brook (S)	Year 9	98
Boyup Brook (S)	Year 10	399
Boyup Brook (S)	Year 11	139
Boyup Brook (S)	Year 12	524
Bridgetown-Greenbushes (S)	Did not go to school	8
Bridgetown-Greenbushes (S)	Year 8	136
Bridgetown-Greenbushes (S)	Year 9	222
Bridgetown-Greenbushes (S)	Year 10	1137
Bridgetown-Greenbushes (S)	Year 11	426
Bridgetown-Greenbushes (S)	Year 12	1507
Brookton (S)	Did not go to school	3
Brookton (S)	Year 8	47
Brookton (S)	Year 9	54
Brookton (S)	Year 10	215
Brookton (S)	Year 11	74
Brookton (S)	Year 12	274
Broome (S)	Did not go to school	55
Broome (S)	Year 8	367
Broome (S)	Year 9	507
Broome (S)	Year 10	2530
Broome (S)	Year 11	1407
Broome (S)	Year 12	5493
Broomehill-Tambellup (S)	Did not go to school	3
Broomehill-Tambellup (S)	Year 8	51
Broomehill-Tambellup (S)	Year 9	48
Broomehill-Tambellup (S)	Year 10	210
Broomehill-Tambellup (S)	Year 11	92
Broomehill-Tambellup (S)	Year 12	332
Bruce Rock (S)	Year 8	46
Bruce Rock (S)	Year 9	49
Bruce Rock (S)	Year 10	210
Bruce Rock (S)	Year 11	70
Bruce Rock (S)	Year 12	288
Bunbury (C)	Did not go to school	108
Bunbury (C)	Year 8	1214
Bunbury (C)	Year 9	1597
Bunbury (C)	Year 10	7633
Bunbury (C)	Year 11	2965
Bunbury (C)	Year 12	10018
Busselton (C)	Did not go to school	88
Busselton (C)	Year 8	916
Busselton (C)	Year 9	1564
Busselton (C)	Year 10	7649
Busselton (C)	Year 11	3466
Busselton (C)	Year 12	12684
Cambridge (T)	Did not go to school	41
Cambridge (T)	Year 8	347
Cambridge (T)	Year 9	622
Cambridge (T)	Year 10	2223
Cambridge (T)	Year 11	1203
Cambridge (T)	Year 12	15344
Canning (C)	Did not go to school	629
Canning (C)	Year 8	2247
Canning (C)	Year 9	2780
Canning (C)	Year 10	11027
Canning (C)	Year 11	5618
Canning (C)	Year 12	47221
Capel (S)	Did not go to school	22
Capel (S)	Year 8	280
Capel (S)	Year 9	733
Capel (S)	Year 10	3565
Capel (S)	Year 11	1710
Capel (S)	Year 12	5680
Carnamah (S)	Year 8	23
Carnamah (S)	Year 9	24
Carnamah (S)	Year 10	137
Carnamah (S)	Year 11	48
Carnamah (S)	Year 12	165
Carnarvon (S)	Did not go to school	38
Carnarvon (S)	Year 8	261
Carnarvon (S)	Year 9	261
Carnarvon (S)	Year 10	1100
Carnarvon (S)	Year 11	490
Carnarvon (S)	Year 12	1460
Chapman Valley (S)	Did not go to school	4
Chapman Valley (S)	Year 8	30
Chapman Valley (S)	Year 9	65
Chapman Valley (S)	Year 10	294
Chapman Valley (S)	Year 11	139
Chapman Valley (S)	Year 12	419
Chittering (S)	Did not go to school	9
Chittering (S)	Year 8	128
Chittering (S)	Year 9	275
Chittering (S)	Year 10	1294
Chittering (S)	Year 11	599
Chittering (S)	Year 12	1617
Claremont (T)	Did not go to school	10
Claremont (T)	Year 8	67
Claremont (T)	Year 9	256
Claremont (T)	Year 10	853
Claremont (T)	Year 11	476
Claremont (T)	Year 12	6028
Cockburn (C)	Did not go to school	539
Cockburn (C)	Year 8	3156
Cockburn (C)	Year 9	3708
Cockburn (C)	Year 10	16761
Cockburn (C)	Year 11	8092
Cockburn (C)	Year 12	44629
Collie (S)	Did not go to school	11
Collie (S)	Year 8	364
Collie (S)	Year 9	533
Collie (S)	Year 10	2307
Collie (S)	Year 11	1156
Collie (S)	Year 12	1902
Coolgardie (S)	Did not go to school	8
Coolgardie (S)	Year 8	99
Coolgardie (S)	Year 9	203
Coolgardie (S)	Year 10	861
Coolgardie (S)	Year 11	389
Coolgardie (S)	Year 12	786
Coorow (S)	Year 8	24
Coorow (S)	Year 9	71
Coorow (S)	Year 10	349
Coorow (S)	Year 11	94
Coorow (S)	Year 12	276
Corrigin (S)	Year 8	52
Corrigin (S)	Year 9	61
Corrigin (S)	Year 10	233
Corrigin (S)	Year 11	113
Corrigin (S)	Year 12	337
Cottesloe (T)	Year 8	78
Cottesloe (T)	Year 9	159
