LGA_NAME16	OnlyEnglishSpokenHome	persons
Norwood Payneham St Peters (C)	1	24346
Onkaparinga (C)	0	11131
Onkaparinga (C)	1	147295
Orroroo/Carrieton (DC)	0	11
Orroroo/Carrieton (DC)	1	809
Peterborough (DC)	0	22
Peterborough (DC)	1	1528
Playford (C)	0	11131
Playford (C)	1	72276
Port Adelaide Enfield (C)	0	39171
Port Adelaide Enfield (C)	1	74953
Port Augusta (C)	0	605
Port Augusta (C)	1	11479
Port Lincoln (C)	0	514
Port Lincoln (C)	1	12475
Port Pirie City and Dists (M)	0	737
Port Pirie City and Dists (M)	1	15561
Prospect (C)	0	5367
Prospect (C)	1	14245
Renmark Paringa (DC)	0	1287
Renmark Paringa (DC)	1	7509
Robe (DC)	0	31
Robe (DC)	1	1233
Roxby Downs (M)	0	298
Roxby Downs (M)	1	3252
Salisbury (C)	0	38707
Salisbury (C)	1	92667
Southern Mallee (DC)	0	101
Southern Mallee (DC)	1	1764
Streaky Bay (DC)	0	30
Streaky Bay (DC)	1	1900
Tatiara (DC)	0	396
Tatiara (DC)	1	5679
Tea Tree Gully (C)	0	12352
Tea Tree Gully (C)	1	81943
The Coorong (DC)	0	211
The Coorong (DC)	1	4826
Tumby Bay (DC)	0	27
Tumby Bay (DC)	1	2450
Unley (C)	0	7309
Unley (C)	1	28689
Victor Harbor (C)	0	468
Victor Harbor (C)	1	13386
Wakefield (DC)	0	257
Wakefield (DC)	1	6139
Walkerville (M)	0	1632
Walkerville (M)	1	5547
Wattle Range (DC)	0	303
Wattle Range (DC)	1	10621
West Torrens (C)	0	17840
West Torrens (C)	1	37240
Whyalla (C)	0	1346
Whyalla (C)	1	18963
Wudinna (DC)	0	17
Wudinna (DC)	1	1146
Yankalilla (DC)	0	132
Yankalilla (DC)	1	4691
Yorke Peninsula (DC)	0	174
Yorke Peninsula (DC)	1	10276
Unincorporated SA	0	402
Unincorporated SA	1	2537
No usual address (SA)	0	347
No usual address (SA)	1	1933
Migratory - Offshore - Shipping (SA)	0	4
Albany (C)	0	2191
Albany (C)	1	31789
Armadale (C)	0	14919
Armadale (C)	1	59756
Ashburton (S)	0	1490
Ashburton (S)	1	9395
Augusta-Margaret River (S)	0	955
Augusta-Margaret River (S)	1	12146
Bassendean (T)	0	2278
Bassendean (T)	1	11956
Bayswater (C)	0	18357
Bayswater (C)	1	42335
Belmont (C)	0	11721
Belmont (C)	1	23908
Beverley (S)	0	80
Beverley (S)	1	1468
Boddington (S)	0	99
Boddington (S)	1	1596
Boyup Brook (S)	0	43
Boyup Brook (S)	1	1532
Bridgetown-Greenbushes (S)	0	148
Bridgetown-Greenbushes (S)	1	4151
Brookton (S)	0	30
Brookton (S)	1	829
Broome (S)	0	1876
Broome (S)	1	12309
Broomehill-Tambellup (S)	0	29
Broomehill-Tambellup (S)	1	969
Bruce Rock (S)	0	33
Bruce Rock (S)	1	815
Bunbury (C)	0	2947
Bunbury (C)	1	26310
Busselton (C)	0	1710
Busselton (C)	1	32394
Cambridge (T)	0	3707
Cambridge (T)	1	21708
Canning (C)	0	35815
Canning (C)	1	50086
Capel (S)	0	1361
Capel (S)	1	14774
Carnamah (S)	0	25
Carnamah (S)	1	482
Carnarvon (S)	0	697
Carnarvon (S)	1	3961
Chapman Valley (S)	0	39
Chapman Valley (S)	1	1196
Chittering (S)	0	184
Chittering (S)	1	4822
Claremont (T)	0	1241
Claremont (T)	1	8041
Cockburn (C)	0	22460
Cockburn (C)	1	75591
Collie (S)	0	276
Collie (S)	1	7789
Coolgardie (S)	0	229
Coolgardie (S)	1	2915
Coorow (S)	0	21
Coorow (S)	1	949
Corrigin (S)	0	27
Corrigin (S)	1	996
Cottesloe (T)	0	523
Cottesloe (T)	1	6563
Cranbrook (S)	0	37
Cranbrook (S)	1	944
Cuballing (S)	0	11
Cuballing (S)	1	730
Cue (S)	0	3
Cue (S)	1	135
Cunderdin (S)	0	117
Cunderdin (S)	1	1211
Dalwallinu (S)	0	139
Dalwallinu (S)	1	1145
Dandaragan (S)	0	121
Dandaragan (S)	1	2801
Dardanup (S)	0	731
Dardanup (S)	1	12428
Denmark (S)	0	239
Denmark (S)	1	5069
Derby-West Kimberley (S)	0	3046
Derby-West Kimberley (S)	1	3743
Donnybrook-Balingup (S)	0	257
Donnybrook-Balingup (S)	1	5090
Dowerin (S)	0	10
Dowerin (S)	1	622
Dumbleyung (S)	0	13
Dumbleyung (S)	1	578
Dundas (S)	0	48
Dundas (S)	1	587
East Fremantle (T)	0	604
East Fremantle (T)	1	6283
East Pilbara (S)	0	1971
East Pilbara (S)	1	6610
Esperance (S)	0	478
Esperance (S)	1	12156
Exmouth (S)	0	129
Exmouth (S)	1	2353
Fremantle (C)	0	4259
Fremantle (C)	1	22160
Gingin (S)	0	433
Gingin (S)	1	4316
Gnowangerup (S)	0	71
Gnowangerup (S)	1	1028
Goomalling (S)	0	19
Goomalling (S)	1	911
Gosnells (C)	0	37750
Gosnells (C)	1	73408
Greater Geraldton (C)	0	2837
Greater Geraldton (C)	1	32378
Halls Creek (S)	0	1149
Halls Creek (S)	1	1445
Harvey (S)	0	1792
Harvey (S)	1	22813
Irwin (S)	0	70
Irwin (S)	1	3256
Jerramungup (S)	0	26
Jerramungup (S)	1	937
Joondalup (C)	0	16886
Joondalup (C)	1	131653
Kalamunda (S)	0	6796
Kalamunda (S)	1	47468
Kalgoorlie/Boulder (C)	0	3458
Kalgoorlie/Boulder (C)	1	23611
Karratha (C)	0	2721
Karratha (C)	1	15981
Katanning (S)	0	791
Katanning (S)	1	2804
Kellerberrin (S)	0	38
Kellerberrin (S)	1	1061
Kent (S)	0	12
Kent (S)	1	476
Kojonup (S)	0	72
Kojonup (S)	1	1719
Kondinin (S)	0	38
Kondinin (S)	1	756
Koorda (S)	1	395
Kulin (S)	0	25
Kulin (S)	1	689
Kwinana (C)	0	7422
Kwinana (C)	1	27816
Lake Grace (S)	0	60
Lake Grace (S)	1	1088
Laverton (S)	0	209
Laverton (S)	1	727
Leonora (S)	0	112
Leonora (S)	1	975
Mandurah (C)	0	5471
Mandurah (C)	1	70172
Manjimup (S)	0	497
Manjimup (S)	1	7946
Meekatharra (S)	0	85
Meekatharra (S)	1	748
Melville (C)	0	19500
Melville (C)	1	73903
Menzies (S)	0	196
Menzies (S)	1	235
Merredin (S)	0	237
Merredin (S)	1	2861
Mingenew (S)	1	413
Moora (S)	0	78
Moora (S)	1	2120
Morawa (S)	0	23
Morawa (S)	1	664
Mosman Park (T)	0	1185
Mosman Park (T)	1	6874
Mount Magnet (S)	0	17
Mount Magnet (S)	1	340
Mount Marshall (S)	0	4
Mount Marshall (S)	1	478
Mukinbudin (S)	0	11
Mukinbudin (S)	1	507
Mundaring (S)	0	2333
Mundaring (S)	1	32038
Murchison (S)	0	15
Murchison (S)	1	94
Murray (S)	0	491
Murray (S)	1	14894
Nannup (S)	0	38
Nannup (S)	1	1178
Narembeen (S)	0	34
Narembeen (S)	1	707
Narrogin (S)	0	299
Narrogin (S)	1	4288
Nedlands (C)	0	3184
Nedlands (C)	1	16987
Ngaanyatjarraku (S)	0	1301
Ngaanyatjarraku (S)	1	157
Northam (S)	0	556
Northam (S)	1	9080
Northampton (S)	0	71
Northampton (S)	1	2910
Nungarin (S)	0	11
Nungarin (S)	1	228
Peppermint Grove (S)	0	151
