LGA_NAME16	MotorVehicles.min	occupied_private_dwellings
Port Adelaide Enfield (C)	4	1824
Port Augusta (C)		220
Port Augusta (C)	0	481
Port Augusta (C)	1	1882
Port Augusta (C)	2	1641
Port Augusta (C)	3	571
Port Augusta (C)	4	232
Port Lincoln (C)		209
Port Lincoln (C)	0	390
Port Lincoln (C)	1	1913
Port Lincoln (C)	2	2032
Port Lincoln (C)	3	600
Port Lincoln (C)	4	225
Port Pirie City and Dists (M)		268
Port Pirie City and Dists (M)	0	654
Port Pirie City and Dists (M)	1	2572
Port Pirie City and Dists (M)	2	2184
Port Pirie City and Dists (M)	3	764
Port Pirie City and Dists (M)	4	459
Prospect (C)		202
Prospect (C)	0	649
Prospect (C)	1	2775
Prospect (C)	2	2895
Prospect (C)	3	852
Prospect (C)	4	382
Renmark Paringa (DC)		156
Renmark Paringa (DC)	0	203
Renmark Paringa (DC)	1	1195
Renmark Paringa (DC)	2	1308
Renmark Paringa (DC)	3	481
Renmark Paringa (DC)	4	285
Robe (DC)		18
Robe (DC)	0	16
Robe (DC)	1	172
Robe (DC)	2	211
Robe (DC)	3	84
Robe (DC)	4	46
Roxby Downs (M)		32
Roxby Downs (M)	0	26
Roxby Downs (M)	1	315
Roxby Downs (M)	2	568
Roxby Downs (M)	3	162
Roxby Downs (M)	4	73
Salisbury (C)		1546
Salisbury (C)	0	3531
Salisbury (C)	1	18036
Salisbury (C)	2	17996
Salisbury (C)	3	5745
Salisbury (C)	4	2646
Southern Mallee (DC)		36
Southern Mallee (DC)	0	25
Southern Mallee (DC)	1	191
Southern Mallee (DC)	2	267
Southern Mallee (DC)	3	138
Southern Mallee (DC)	4	99
Streaky Bay (DC)		36
Streaky Bay (DC)	0	20
Streaky Bay (DC)	1	219
Streaky Bay (DC)	2	301
Streaky Bay (DC)	3	133
Streaky Bay (DC)	4	73
Tatiara (DC)		72
Tatiara (DC)	0	89
Tatiara (DC)	1	658
Tatiara (DC)	2	936
Tatiara (DC)	3	401
Tatiara (DC)	4	274
Tea Tree Gully (C)		814
Tea Tree Gully (C)	0	1660
Tea Tree Gully (C)	1	12147
Tea Tree Gully (C)	2	14862
Tea Tree Gully (C)	3	4685
Tea Tree Gully (C)	4	2393
The Coorong (DC)		77
The Coorong (DC)	0	91
The Coorong (DC)	1	645
The Coorong (DC)	2	726
The Coorong (DC)	3	343
The Coorong (DC)	4	230
Tumby Bay (DC)		42
Tumby Bay (DC)	0	50
Tumby Bay (DC)	1	361
Tumby Bay (DC)	2	403
Tumby Bay (DC)	3	131
Tumby Bay (DC)	4	92
Unley (C)		371
Unley (C)	0	1303
Unley (C)	1	5944
Unley (C)	2	5139
Unley (C)	3	1389
Unley (C)	4	592
Victor Harbor (C)		218
Victor Harbor (C)	0	362
Victor Harbor (C)	1	2760
Victor Harbor (C)	2	2111
Victor Harbor (C)	3	568
Victor Harbor (C)	4	269
Wakefield (DC)		85
Wakefield (DC)	0	83
Wakefield (DC)	1	841
Wakefield (DC)	2	905
Wakefield (DC)	3	403
Wakefield (DC)	4	273
Walkerville (M)		89
Walkerville (M)	0	239
Walkerville (M)	1	1098
Walkerville (M)	2	1011
Walkerville (M)	3	345
Walkerville (M)	4	152
Wattle Range (DC)		163
Wattle Range (DC)	0	200
Wattle Range (DC)	1	1339
Wattle Range (DC)	2	1655
Wattle Range (DC)	3	730
Wattle Range (DC)	4	422
West Torrens (C)		713
West Torrens (C)	0	2426
West Torrens (C)	1	9621
West Torrens (C)	2	7512
West Torrens (C)	3	2085
West Torrens (C)	4	916
Whyalla (C)		395
Whyalla (C)	0	1114
Whyalla (C)	1	3273
Whyalla (C)	2	2691
Whyalla (C)	3	925
Whyalla (C)	4	373
Wudinna (DC)		20
Wudinna (DC)	0	18
Wudinna (DC)	1	110
Wudinna (DC)	2	163
Wudinna (DC)	3	106
Wudinna (DC)	4	56
Yankalilla (DC)		61
Yankalilla (DC)	0	60
Yankalilla (DC)	1	777
Yankalilla (DC)	2	792
Yankalilla (DC)	3	264
Yankalilla (DC)	4	149
Yorke Peninsula (DC)		173
Yorke Peninsula (DC)	0	185
Yorke Peninsula (DC)	1	1613
Yorke Peninsula (DC)	2	1692
Yorke Peninsula (DC)	3	563
Yorke Peninsula (DC)	4	410
Unincorporated SA		84
Unincorporated SA	0	106
Unincorporated SA	1	365
Unincorporated SA	2	257
Unincorporated SA	3	133
Unincorporated SA	4	131
Albany (C)		501
Albany (C)	0	604
Albany (C)	1	4188
Albany (C)	2	4986
Albany (C)	3	1904
Albany (C)	4	1244
Armadale (C)		785
Armadale (C)	0	1157
Armadale (C)	1	8030
Armadale (C)	2	11096
Armadale (C)	3	3925
Armadale (C)	4	2461
Ashburton (S)		74
Ashburton (S)	0	81
Ashburton (S)	1	700
Ashburton (S)	2	719
Ashburton (S)	3	210
Ashburton (S)	4	124
Augusta-Margaret River (S)		162
Augusta-Margaret River (S)	0	108
Augusta-Margaret River (S)	1	1509
Augusta-Margaret River (S)	2	2141
Augusta-Margaret River (S)	3	795
Augusta-Margaret River (S)	4	342
Bassendean (T)		161
Bassendean (T)	0	430
Bassendean (T)	1	2142
Bassendean (T)	2	2135
Bassendean (T)	3	683
Bassendean (T)	4	340
Bayswater (C)		717
Bayswater (C)	0	1661
Bayswater (C)	1	9294
Bayswater (C)	2	9167
Bayswater (C)	3	2774
Bayswater (C)	4	1361
Belmont (C)		602
Belmont (C)	0	1076
Belmont (C)	1	5489
Belmont (C)	2	5187
Belmont (C)	3	1497
Belmont (C)	4	808
Beverley (S)		34
Beverley (S)	0	14
Beverley (S)	1	189
Beverley (S)	2	211
Beverley (S)	3	118
Beverley (S)	4	96
Boddington (S)		28
Boddington (S)	0	28
Boddington (S)	1	143
Boddington (S)	2	242
Boddington (S)	3	119
Boddington (S)	4	75
Boyup Brook (S)		27
Boyup Brook (S)	0	18
Boyup Brook (S)	1	152
Boyup Brook (S)	2	225
Boyup Brook (S)	3	115
Boyup Brook (S)	4	119
Bridgetown-Greenbushes (S)		57
Bridgetown-Greenbushes (S)	0	65
Bridgetown-Greenbushes (S)	1	564
Bridgetown-Greenbushes (S)	2	703
Bridgetown-Greenbushes (S)	3	276
Bridgetown-Greenbushes (S)	4	184
Brookton (S)		24
Brookton (S)	0	20
Brookton (S)	1	103
Brookton (S)	2	116
Brookton (S)	3	53
Brookton (S)	4	64
Broome (S)		296
Broome (S)	0	550
Broome (S)	1	1594
Broome (S)	2	1738
Broome (S)	3	641
Broome (S)	4	304
Broomehill-Tambellup (S)		19
Broomehill-Tambellup (S)	0	8
Broomehill-Tambellup (S)	1	75
Broomehill-Tambellup (S)	2	107
Broomehill-Tambellup (S)	3	68
Broomehill-Tambellup (S)	4	80
Bruce Rock (S)		16
Bruce Rock (S)	0	27
Bruce Rock (S)	1	106
Bruce Rock (S)	2	122
Bruce Rock (S)	3	56
Bruce Rock (S)	4	41
Bunbury (C)		441
Bunbury (C)	0	856
Bunbury (C)	1	4608
Bunbury (C)	2	4543
Bunbury (C)	3	1365
Bunbury (C)	4	578
Busselton (C)		429
Busselton (C)	0	429
Busselton (C)	1	4147
Busselton (C)	2	5236
Busselton (C)	3	1822
Busselton (C)	4	896
Cambridge (T)		277
Cambridge (T)	0	441
Cambridge (T)	1	2827
Cambridge (T)	2	3865
Cambridge (T)	3	1261
Cambridge (T)	4	670
Canning (C)		826
Canning (C)	0	1478
Canning (C)	1	9445
Canning (C)	2	12153
Canning (C)	3	4418
Canning (C)	4	2448
Capel (S)		146
Capel (S)	0	99
Capel (S)	1	1310
Capel (S)	2	2393
Capel (S)	3	1010
Capel (S)	4	621
Carnamah (S)		9
Carnamah (S)	0	8
Carnamah (S)	1	63
Carnamah (S)	2	85
Carnamah (S)	3	20
Carnamah (S)	4	33
Carnarvon (S)		128
Carnarvon (S)	0	165
Carnarvon (S)	1	590
Carnarvon (S)	2	589
Carnarvon (S)	3	226
Carnarvon (S)	4	149
Chapman Valley (S)		23
Chapman Valley (S)	0	4
Chapman Valley (S)	1	77
Chapman Valley (S)	2	181
Chapman Valley (S)	3	96
Chapman Valley (S)	4	80
Chittering (S)		61
Chittering (S)	0	14
Chittering (S)	1	274
Chittering (S)	2	629
Chittering (S)	3	413
Chittering (S)	4	381
Claremont (T)		90
Claremont (T)	0	218
Claremont (T)	1	1469
Claremont (T)	2	1454
Claremont (T)	3	396
Claremont (T)	4	188
Cockburn (C)		1011
Cockburn (C)	0	1525
Cockburn (C)	1	10594
Cockburn (C)	2	15386
Cockburn (C)	3	5182
Cockburn (C)	4	2787
Collie (S)		130
Collie (S)	0	171
Collie (S)	1	934
Collie (S)	2	1156
Collie (S)	3	531
Collie (S)	4	351
Coolgardie (S)		51
Coolgardie (S)	0	61
Coolgardie (S)	1	366
Coolgardie (S)	2	434
Coolgardie (S)	3	180
Coolgardie (S)	4	102
Coorow (S)		11
Coorow (S)	0	12
Coorow (S)	1	117
Coorow (S)	2	157
Coorow (S)	3	82
Coorow (S)	4	50
Corrigin (S)		15
Corrigin (S)	0	26
Corrigin (S)	1	122
Corrigin (S)	2	123
Corrigin (S)	3	64
Corrigin (S)	4	70
Cottesloe (T)		68
Cottesloe (T)	0	91
Cottesloe (T)	1	921
Cottesloe (T)	2	1172
Cottesloe (T)	3	403
Cottesloe (T)	4	151
Cranbrook (S)		21
Cranbrook (S)	0	16
Cranbrook (S)	1	89
Cranbrook (S)	2	130
Cranbrook (S)	3	71
Cranbrook (S)	4	69
Cuballing (S)		12
Cuballing (S)	1	78
Cuballing (S)	2	107
Cuballing (S)	3	53
Cuballing (S)	4	52
Cue (S)		8
Cue (S)	0	3
Cue (S)	1	23
Cue (S)	2	19
Cue (S)	3	6
Cunderdin (S)		21
Cunderdin (S)	0	20
Cunderdin (S)	1	126
Cunderdin (S)	2	187
Cunderdin (S)	3	63
Cunderdin (S)	4	72
Dalwallinu (S)		22
Dalwallinu (S)	0	10
Dalwallinu (S)	1	118
Dalwallinu (S)	2	202
Dalwallinu (S)	3	81
Dalwallinu (S)	4	65
Dandaragan (S)		53
Dandaragan (S)	0	29
Dandaragan (S)	1	334
Dandaragan (S)	2	464
Dandaragan (S)	3	211
Dandaragan (S)	4	147
Dardanup (S)		120
Dardanup (S)	0	107
Dardanup (S)	1	1289
Dardanup (S)	2	2010
Dardanup (S)	3	850
Dardanup (S)	4	453
Denmark (S)		60
Denmark (S)	0	65
Denmark (S)	1	691
Denmark (S)	2	902
Denmark (S)	3	305
Denmark (S)	4	164
Derby-West Kimberley (S)		131
Derby-West Kimberley (S)	0	566
Derby-West Kimberley (S)	1	660
Derby-West Kimberley (S)	2	467
Derby-West Kimberley (S)	3	143
Derby-West Kimberley (S)	4	76
Donnybrook-Balingup (S)		57
Donnybrook-Balingup (S)	0	52
Donnybrook-Balingup (S)	1	547
Donnybrook-Balingup (S)	2	820
Donnybrook-Balingup (S)	3	376
Donnybrook-Balingup (S)	4	278
Dowerin (S)		5
Dowerin (S)	0	3
Dowerin (S)	1	81
Dowerin (S)	2	94
Dowerin (S)	3	49
Dowerin (S)	4	31
Dumbleyung (S)		15
Dumbleyung (S)	0	4
Dumbleyung (S)	1	67
Dumbleyung (S)	2	84
Dumbleyung (S)	3	43
Dumbleyung (S)	4	50
Dundas (S)		46
Dundas (S)	0	19
Dundas (S)	1	109
Dundas (S)	2	84
Dundas (S)	3	23
Dundas (S)	4	25
East Fremantle (T)		60
East Fremantle (T)	0	121
East Fremantle (T)	1	861
East Fremantle (T)	2	1145
East Fremantle (T)	3	361
East Fremantle (T)	4	163
East Pilbara (S)		84
East Pilbara (S)	0	173
East Pilbara (S)	1	500
East Pilbara (S)	2	557
East Pilbara (S)	3	174
East Pilbara (S)	4	100
Esperance (S)		224
Esperance (S)	0	234
Esperance (S)	1	1309
Esperance (S)	2	1806
Esperance (S)	3	732
Esperance (S)	4	512
Exmouth (S)		74
Exmouth (S)	0	22
Exmouth (S)	1	281
Exmouth (S)	2	316
Exmouth (S)	3	159
Exmouth (S)	4	99
Fremantle (C)		395
Fremantle (C)	0	1035
Fremantle (C)	1	4525
Fremantle (C)	2	3978
Fremantle (C)	3	1126
Fremantle (C)	4	460
Gingin (S)		86
Gingin (S)	0	31
Gingin (S)	1	438
Gingin (S)	2	707
Gingin (S)	3	342
Gingin (S)	4	272
Gnowangerup (S)		25
Gnowangerup (S)	0	11
Gnowangerup (S)	1	106
Gnowangerup (S)	2	147
Gnowangerup (S)	3	68
Gnowangerup (S)	4	72
Goomalling (S)		17
Goomalling (S)	0	11
Goomalling (S)	1	110
Goomalling (S)	2	141
Goomalling (S)	3	65
Goomalling (S)	4	55
Gosnells (C)		1078
Gosnells (C)	0	1606
Gosnells (C)	1	11818
Gosnells (C)	2	15181
Gosnells (C)	3	5845
Gosnells (C)	4	3476
Greater Geraldton (C)		509
Greater Geraldton (C)	0	739
Greater Geraldton (C)	1	4210
Greater Geraldton (C)	2	5127
Greater Geraldton (C)	3	1988
Greater Geraldton (C)	4	1136
Halls Creek (S)		54
Halls Creek (S)	0	278
Halls Creek (S)	1	212
Halls Creek (S)	2	99
Halls Creek (S)	3	29
Halls Creek (S)	4	26
Harvey (S)		268
Harvey (S)	0	191
Harvey (S)	1	2281
Harvey (S)	2	3764
Harvey (S)	3	1528
Harvey (S)	4	942
Irwin (S)		66
Irwin (S)	0	50
Irwin (S)	1	408
Irwin (S)	2	512
Irwin (S)	3	247
Irwin (S)	4	126
Jerramungup (S)		16
Jerramungup (S)	0	8
Jerramungup (S)	1	79
Jerramungup (S)	2	143
Jerramungup (S)	3	85
Jerramungup (S)	4	59
Joondalup (C)		1048
Joondalup (C)	0	1409
Joondalup (C)	1	13871
Joondalup (C)	2	23684
Joondalup (C)	3	8870
Joondalup (C)	4	4916
Kalamunda (S)		496
Kalamunda (S)	0	529
Kalamunda (S)	1	5278
Kalamunda (S)	2	7912
Kalamunda (S)	3	3499
Kalamunda (S)	4	2367
Kalgoorlie/Boulder (C)		365
Kalgoorlie/Boulder (C)	0	459
Kalgoorlie/Boulder (C)	1	3035
Kalgoorlie/Boulder (C)	2	3803
Kalgoorlie/Boulder (C)	3	1508
Kalgoorlie/Boulder (C)	4	784
Karratha (C)		247
Karratha (C)	0	258
Karratha (C)	1	1516
Karratha (C)	2	2557
Karratha (C)	3	1055
Karratha (C)	4	542
Katanning (S)		71
Katanning (S)	0	81
Katanning (S)	1	405
Katanning (S)	2	479
Katanning (S)	3	222
Katanning (S)	4	134
Kellerberrin (S)		28
Kellerberrin (S)	0	27
Kellerberrin (S)	1	121
Kellerberrin (S)	2	137
Kellerberrin (S)	3	64
Kellerberrin (S)	4	74
Kent (S)		7
Kent (S)	1	39
Kent (S)	2	57
Kent (S)	3	44
Kent (S)	4	45
Kojonup (S)		26
Kojonup (S)	0	34
Kojonup (S)	1	167
Kojonup (S)	2	260
Kojonup (S)	3	98
Kojonup (S)	4	149
Kondinin (S)		19
Kondinin (S)	0	19
Kondinin (S)	1	73
Kondinin (S)	2	96
Kondinin (S)	3	45
Kondinin (S)	4	60
Koorda (S)		4
Koorda (S)	0	6
Koorda (S)	1	49
Koorda (S)	2	71
Koorda (S)	3	19
Koorda (S)	4	32
Kulin (S)		14
Kulin (S)	0	8
Kulin (S)	1	60
Kulin (S)	2	104
Kulin (S)	3	57
Kulin (S)	4	56
Kwinana (C)		371
Kwinana (C)	0	633
Kwinana (C)	1	4200
Kwinana (C)	2	5056
Kwinana (C)	3	1709
Kwinana (C)	4	915
Lake Grace (S)		23
Lake Grace (S)	0	23
Lake Grace (S)	1	116
Lake Grace (S)	2	133
Lake Grace (S)	3	83
Lake Grace (S)	4	88
Laverton (S)		6
Laverton (S)	0	40
Laverton (S)	1	63
Laverton (S)	2	47
Laverton (S)	3	12
Leonora (S)		13
Leonora (S)	0	39
Leonora (S)	1	140
Leonora (S)	2	84
Leonora (S)	3	22
Leonora (S)	4	18
Mandurah (C)		1001
Mandurah (C)	0	1386
Mandurah (C)	1	11352
Mandurah (C)	2	11239
Mandurah (C)	3	3650
Mandurah (C)	4	1849
Manjimup (S)		138
Manjimup (S)	0	167
Manjimup (S)	1	1007
Manjimup (S)	2	1277
Manjimup (S)	3	545
Manjimup (S)	4	347
Meekatharra (S)		16
Meekatharra (S)	0	30
Meekatharra (S)	1	83
Meekatharra (S)	2	52
Meekatharra (S)	3	23
Meekatharra (S)	4	13
Melville (C)		793
Melville (C)	0	1568
Melville (C)	1	11164
Melville (C)	2	14749
Melville (C)	3	5013
Melville (C)	4	2562
Menzies (S)		10
Menzies (S)	0	30
Menzies (S)	1	23
Menzies (S)	2	14
Menzies (S)	3	9
Menzies (S)	4	3
Merredin (S)		59
Merredin (S)	0	86
Merredin (S)	1	327
Merredin (S)	2	446
Merredin (S)	3	176
Merredin (S)	4	116
Mingenew (S)		3
Mingenew (S)	0	5
Mingenew (S)	1	45
Mingenew (S)	2	71
Mingenew (S)	3	26
Mingenew (S)	4	33
Moora (S)		45
Moora (S)	0	46
Moora (S)	1	239
Moora (S)	2	263
Moora (S)	3	151
Moora (S)	4	131
Morawa (S)		14
Morawa (S)	0	17
Morawa (S)	1	89
Morawa (S)	2	79
Morawa (S)	3	28
Morawa (S)	4	32
Mosman Park (T)		92
Mosman Park (T)	0	263
Mosman Park (T)	1	1170
Mosman Park (T)	2	1236
Mosman Park (T)	3	367
Mosman Park (T)	4	175
Mount Magnet (S)		10
Mount Magnet (S)	0	19
Mount Magnet (S)	1	47
Mount Magnet (S)	2	43
Mount Magnet (S)	3	12
Mount Magnet (S)	4	17
Mount Marshall (S)		7
Mount Marshall (S)	1	47
Mount Marshall (S)	2	65
Mount Marshall (S)	3	32
Mount Marshall (S)	4	48
Mukinbudin (S)		9
Mukinbudin (S)	0	3
Mukinbudin (S)	1	56
Mukinbudin (S)	2	69
Mukinbudin (S)	3	29
Mukinbudin (S)	4	38
Mundaring (S)		311
Mundaring (S)	0	331
Mundaring (S)	1	2879
Mundaring (S)	2	4964
Mundaring (S)	3	2397
Mundaring (S)	4	1961
Murchison (S)	0	6
Murchison (S)	1	19
Murchison (S)	2	10
Murchison (S)	3	3
Murchison (S)	4	7
Murray (S)		187
Murray (S)	0	153
Murray (S)	1	1771
Murray (S)	2	2193
Murray (S)	3	978
Murray (S)	4	710
Nannup (S)		15
Nannup (S)	0	15
Nannup (S)	1	140
Nannup (S)	2	209
Nannup (S)	3	90
Nannup (S)	4	45
Narembeen (S)		16
Narembeen (S)	0	16
Narembeen (S)	1	79
Narembeen (S)	2	99
Narembeen (S)	3	48
Narembeen (S)	4	51
Narrogin (S)		87
Narrogin (S)	0	105
Narrogin (S)	1	622
Narrogin (S)	2	584
Narrogin (S)	3	243
Narrogin (S)	4	180
Nedlands (C)		148
Nedlands (C)	0	243
Nedlands (C)	1	1905
Nedlands (C)	2	3285
Nedlands (C)	3	1044
Nedlands (C)	4	520
Ngaanyatjarraku (S)		47
Ngaanyatjarraku (S)	0	152
Ngaanyatjarraku (S)	1	123
Ngaanyatjarraku (S)	2	26
Ngaanyatjarraku (S)	3	8
Ngaanyatjarraku (S)	4	5
Northam (S)		141
Northam (S)	0	211
Northam (S)	1	1157
Northam (S)	2	1311
Northam (S)	3	591
Northam (S)	4	462
Northampton (S)		51
Northampton (S)	0	50
Northampton (S)	1	416
Northampton (S)	2	458
Northampton (S)	3	177
Northampton (S)	4	140
Nungarin (S)		4
Nungarin (S)	1	21
Nungarin (S)	2	41
Nungarin (S)	3	13
Nungarin (S)	4	12
Peppermint Grove (S)		13
Peppermint Grove (S)	0	14
Peppermint Grove (S)	1	119
Peppermint Grove (S)	2	218
Peppermint Grove (S)	3	65
Peppermint Grove (S)	4	70
Perenjori (S)		16
Perenjori (S)	0	11
Perenjori (S)	1	36
Perenjori (S)	2	56
Perenjori (S)	3	21
Perenjori (S)	4	33
Perth (C)		267
Perth (C)	0	1782
Perth (C)	1	4890
Perth (C)	2	1565
Perth (C)	3	192
Perth (C)	4	72
Pingelly (S)		22
Pingelly (S)	0	30
Pingelly (S)	1	142
Pingelly (S)	2	133
Pingelly (S)	3	65
Pingelly (S)	4	61
Plantagenet (S)		80
Plantagenet (S)	0	63
Plantagenet (S)	1	486
Plantagenet (S)	2	655
Plantagenet (S)	3	326
Plantagenet (S)	4	260
Port Hedland (T)		228
Port Hedland (T)	0	196
Port Hedland (T)	1	1152
Port Hedland (T)	2	1661
Port Hedland (T)	3	690
Port Hedland (T)	4	304
Quairading (S)		20
Quairading (S)	0	12
Quairading (S)	1	125
Quairading (S)	2	130
Quairading (S)	3	58
Quairading (S)	4	50
Ravensthorpe (S)		26
Ravensthorpe (S)	0	26
Ravensthorpe (S)	1	187
Ravensthorpe (S)	2	212
Ravensthorpe (S)	3	82
Ravensthorpe (S)	4	83
Rockingham (C)		1209
Rockingham (C)	0	1627
Rockingham (C)	1	13398
Rockingham (C)	2	17338
Rockingham (C)	3	5961
Rockingham (C)	4	2950
Sandstone (S)		3
Sandstone (S)	1	6
Sandstone (S)	2	13
Sandstone (S)	3	5
Sandstone (S)	4	9
Serpentine-Jarrahdale (S)		183
Serpentine-Jarrahdale (S)	0	85
Serpentine-Jarrahdale (S)	1	1569
Serpentine-Jarrahdale (S)	2	3485
Serpentine-Jarrahdale (S)	3	1637
Serpentine-Jarrahdale (S)	4	1436
Shark Bay (S)		20
Shark Bay (S)	0	22
Shark Bay (S)	1	162
Shark Bay (S)	2	122
Shark Bay (S)	3	44
Shark Bay (S)	4	21
South Perth (C)		391
South Perth (C)	0	967
South Perth (C)	1	6352
South Perth (C)	2	6199
South Perth (C)	3	1648
South Perth (C)	4	788
Stirling (C)		2376
Stirling (C)	0	5047
Stirling (C)	1	30064
Stirling (C)	2	31106
Stirling (C)	3	8644
Stirling (C)	4	4192
Subiaco (C)		201
Subiaco (C)	0	846
Subiaco (C)	1	3698
Subiaco (C)	2	2436
Subiaco (C)	3	486
Subiaco (C)	4	184
Swan (C)		1195
Swan (C)	0	1663
Swan (C)	1	12418
Swan (C)	2	18205
Swan (C)	3	6895
Swan (C)	4	4123
Tammin (S)		3
Tammin (S)	0	9
Tammin (S)	1	34
Tammin (S)	2	49
Tammin (S)	3	22
Tammin (S)	4	26
Three Springs (S)		10
Three Springs (S)	0	4
Three Springs (S)	1	63
Three Springs (S)	2	83
Three Springs (S)	3	31
Three Springs (S)	4	25
Toodyay (S)		90
Toodyay (S)	0	35
Toodyay (S)	1	425
Toodyay (S)	2	594
Toodyay (S)	3	324
Toodyay (S)	4	265
Trayning (S)		5
Trayning (S)	0	4
Trayning (S)	1	43
Trayning (S)	2	35
Trayning (S)	3	32
Trayning (S)	4	22
Upper Gascoyne (S)		7
Upper Gascoyne (S)	0	19
Upper Gascoyne (S)	1	24
Upper Gascoyne (S)	2	11
Upper Gascoyne (S)	3	3
Upper Gascoyne (S)	4	3
Victoria Park (T)		483
Victoria Park (T)	0	1249
Victoria Park (T)	1	5548
Victoria Park (T)	2	4598
Victoria Park (T)	3	1204
Victoria Park (T)	4	499
Victoria Plains (S)		10
Victoria Plains (S)	0	5
Victoria Plains (S)	1	76
Victoria Plains (S)	2	118
Victoria Plains (S)	3	57
Victoria Plains (S)	4	67
Vincent (C)		375
Vincent (C)	0	1217
Vincent (C)	1	5748
Vincent (C)	2	4582
Vincent (C)	3	1049
Vincent (C)	4	417
Wagin (S)		32
Wagin (S)	0	35
Wagin (S)	1	217
Wagin (S)	2	250
Wagin (S)	3	96
Wagin (S)	4	88
Wandering (S)		10
Wandering (S)	0	3
Wandering (S)	1	22
Wandering (S)	2	54
Wandering (S)	3	35
Wandering (S)	4	44
Wanneroo (C)		1574
Wanneroo (C)	0	1840
Wanneroo (C)	1	17648
Wanneroo (C)	2	26011
Wanneroo (C)	3	9486
Wanneroo (C)	4	4922
Waroona (S)		68
Waroona (S)	0	33
Waroona (S)	1	368
Waroona (S)	2	507
Waroona (S)	3	271
Waroona (S)	4	202
West Arthur (S)		15
West Arthur (S)	0	3
West Arthur (S)	1	62
West Arthur (S)	2	124
West Arthur (S)	3	64
West Arthur (S)	4	67
Westonia (S)		5
Westonia (S)	1	13
Westonia (S)	2	38
Westonia (S)	3	11
Westonia (S)	4	20
Wickepin (S)		16
Wickepin (S)	0	4
Wickepin (S)	1	56
Wickepin (S)	2	91
Wickepin (S)	3	56
Wickepin (S)	4	50
Williams (S)		15
Williams (S)	0	13
Williams (S)	1	76
Williams (S)	2	130
Williams (S)	3	62
Williams (S)	4	59
Wiluna (S)		5
Wiluna (S)	0	25
Wiluna (S)	1	40
Wiluna (S)	2	25
Wiluna (S)	3	10
Wiluna (S)	4	5
Wongan-Ballidu (S)		15
Wongan-Ballidu (S)	0	19
Wongan-Ballidu (S)	1	158
Wongan-Ballidu (S)	2	204
Wongan-Ballidu (S)	3	95
Wongan-Ballidu (S)	4	52
Woodanilling (S)		15
Woodanilling (S)	1	23
Woodanilling (S)	2	50
Woodanilling (S)	3	32
Woodanilling (S)	4	36
Wyalkatchem (S)		6
Wyalkatchem (S)	0	20
Wyalkatchem (S)	1	62
Wyalkatchem (S)	2	71
Wyalkatchem (S)	3	22
Wyalkatchem (S)	4	26
Wyndham-East Kimberley (S)		135
Wyndham-East Kimberley (S)	0	285
Wyndham-East Kimberley (S)	1	725
Wyndham-East Kimberley (S)	2	659
Wyndham-East Kimberley (S)	3	232
Wyndham-East Kimberley (S)	4	158
Yalgoo (S)		3
Yalgoo (S)	0	3
Yalgoo (S)	1	23
Yalgoo (S)	2	10
Yalgoo (S)	3	8
Yalgoo (S)	4	8
Yilgarn (S)		18
Yilgarn (S)	0	13
Yilgarn (S)	1	129
Yilgarn (S)	2	131
Yilgarn (S)	3	68
Yilgarn (S)	4	52
York (S)		55
York (S)	0	42
York (S)	1	432
York (S)	2	486
York (S)	3	229
York (S)	4	153
Break O'Day (M)		122
Break O'Day (M)	0	146
Break O'Day (M)	1	917
Break O'Day (M)	2	906
Break O'Day (M)	3	343
Break O'Day (M)	4	160
Brighton (M)		267
Brighton (M)	0	447
Brighton (M)	1	1796
Brighton (M)	2	1932
Brighton (M)	3	864
Brighton (M)	4	538
Burnie (C)		297
Burnie (C)	0	584
Burnie (C)	1	2879
Burnie (C)	2	2570
Burnie (C)	3	833
Burnie (C)	4	382
Central Coast (M) (Tas.)		329
Central Coast (M) (Tas.)	0	443
Central Coast (M) (Tas.)	1	2754
Central Coast (M) (Tas.)	2	2989
Central Coast (M) (Tas.)	3	1241
Central Coast (M) (Tas.)	4	678
Central Highlands (M) (Tas.)		37
Central Highlands (M) (Tas.)	0	22
Central Highlands (M) (Tas.)	1	265
Central Highlands (M) (Tas.)	2	326
Central Highlands (M) (Tas.)	3	137
Central Highlands (M) (Tas.)	4	106
Circular Head (M)		137
Circular Head (M)	0	123
Circular Head (M)	1	894
Circular Head (M)	2	1134
Circular Head (M)	3	426
Circular Head (M)	4	211
Clarence (C)		642
Clarence (C)	0	1253
Clarence (C)	1	7169
Clarence (C)	2	7931
Clarence (C)	3	2684
Clarence (C)	4	1375
Derwent Valley (M)		171
Derwent Valley (M)	0	287
Derwent Valley (M)	1	1180
Derwent Valley (M)	2	1250
Derwent Valley (M)	3	586
Derwent Valley (M)	4	338
Devonport (C)		407
Devonport (C)	0	851
Devonport (C)	1	3732
Devonport (C)	2	3224
Devonport (C)	3	1130
Devonport (C)	4	535
Dorset (M)		102
Dorset (M)	0	105
Dorset (M)	1	843
Dorset (M)	2	932
Dorset (M)	3	395
Dorset (M)	4	279
Flinders (M) (Tas.)		19
Flinders (M) (Tas.)	0	27
Flinders (M) (Tas.)	1	111
Flinders (M) (Tas.)	2	154
Flinders (M) (Tas.)	3	56
Flinders (M) (Tas.)	4	25
George Town (M)		128
George Town (M)	0	190
George Town (M)	1	881
George Town (M)	2	872
