LGA_NAME16	persons
Litchfield (M)	23855
MacDonnell (R)	6029
Palmerston (C)	33786
Roper Gulf (R)	6505
Tiwi Islands (R)	2453
Victoria Daly (R)	2810
Wagait (S)	463
West Arnhem (R)	6188
West Daly (R)	3166
Unincorporated NT	6907
No usual address (NT)	2489
Migratory - Offshore - Shipping (NT)	70
Unincorporated ACT	396857
No usual address (ACT)	538
Unincorp. Other Territories	4523
No usual address (OT)	55
Migratory - Offshore - Shipping (OT)	6
