LGA_NAME16	Age	Sex	persons
Brewarrina (A)	65-74	F	51
Brewarrina (A)	65-74	M	56
Brewarrina (A)	75-84	F	23
Brewarrina (A)	75-84	M	26
Brewarrina (A)	85+	F	15
Brewarrina (A)	85+	M	10
Broken Hill (C)	0-4	F	478
Broken Hill (C)	0-4	M	496
Broken Hill (C)	5-14	F	981
Broken Hill (C)	5-14	M	985
Broken Hill (C)	15-19	F	437
Broken Hill (C)	15-19	M	510
Broken Hill (C)	20-24	F	486
Broken Hill (C)	20-24	M	479
Broken Hill (C)	25-34	F	1097
Broken Hill (C)	25-34	M	1020
Broken Hill (C)	35-44	F	948
Broken Hill (C)	35-44	M	906
Broken Hill (C)	45-54	F	1167
Broken Hill (C)	45-54	M	1190
Broken Hill (C)	55-64	F	1344
Broken Hill (C)	55-64	M	1320
Broken Hill (C)	65-74	F	1038
Broken Hill (C)	65-74	M	1011
Broken Hill (C)	75-84	F	716
Broken Hill (C)	75-84	M	504
Broken Hill (C)	85+	F	398
Broken Hill (C)	85+	M	194
Burwood (A)	0-4	F	818
Burwood (A)	0-4	M	850
Burwood (A)	5-14	F	1567
Burwood (A)	5-14	M	1565
Burwood (A)	15-19	F	1140
Burwood (A)	15-19	M	1014
Burwood (A)	20-24	F	2200
Burwood (A)	20-24	M	2200
Burwood (A)	25-34	F	3948
Burwood (A)	25-34	M	3909
Burwood (A)	35-44	F	2229
Burwood (A)	35-44	M	2159
Burwood (A)	45-54	F	2267
Burwood (A)	45-54	M	2076
Burwood (A)	55-64	F	1913
Burwood (A)	55-64	M	1705
Burwood (A)	65-74	F	1326
Burwood (A)	65-74	M	1153
Burwood (A)	75-84	F	1019
Burwood (A)	75-84	M	776
Burwood (A)	85+	F	601
Burwood (A)	85+	M	378
Byron (A)	0-4	F	775
Byron (A)	0-4	M	772
Byron (A)	5-14	F	1858
Byron (A)	5-14	M	1877
Byron (A)	15-19	F	775
Byron (A)	15-19	M	834
Byron (A)	20-24	F	606
Byron (A)	20-24	M	587
Byron (A)	25-34	F	1789
Byron (A)	25-34	M	1600
Byron (A)	35-44	F	2381
Byron (A)	35-44	M	2005
Byron (A)	45-54	F	2614
Byron (A)	45-54	M	2269
Byron (A)	55-64	F	2785
Byron (A)	55-64	M	2697
Byron (A)	65-74	F	1615
Byron (A)	65-74	M	1751
Byron (A)	75-84	F	703
Byron (A)	75-84	M	562
Byron (A)	85+	F	450
Byron (A)	85+	M	237
Cabonne (A)	0-4	F	402
Cabonne (A)	0-4	M	427
Cabonne (A)	5-14	F	1012
Cabonne (A)	5-14	M	1045
Cabonne (A)	15-19	F	447
Cabonne (A)	15-19	M	461
Cabonne (A)	20-24	F	240
Cabonne (A)	20-24	M	273
Cabonne (A)	25-34	F	617
Cabonne (A)	25-34	M	578
Cabonne (A)	35-44	F	809
Cabonne (A)	35-44	M	753
Cabonne (A)	45-54	F	957
Cabonne (A)	45-54	M	938
Cabonne (A)	55-64	F	868
Cabonne (A)	55-64	M	921
Cabonne (A)	65-74	F	771
Cabonne (A)	65-74	M	789
Cabonne (A)	75-84	F	401
Cabonne (A)	75-84	M	394
Cabonne (A)	85+	F	188
Cabonne (A)	85+	M	113
Camden (A)	0-4	F	3221
Camden (A)	0-4	M	3336
Camden (A)	5-14	F	5939
Camden (A)	5-14	M	6205
Camden (A)	15-19	F	2634
Camden (A)	15-19	M	2721
Camden (A)	20-24	F	2425
Camden (A)	20-24	M	2419
Camden (A)	25-34	F	6209
Camden (A)	25-34	M	5689
Camden (A)	35-44	F	6121
Camden (A)	35-44	M	5836
Camden (A)	45-54	F	5015
Camden (A)	45-54	M	4825
Camden (A)	55-64	F	3852
Camden (A)	55-64	M	3529
Camden (A)	65-74	F	2571
Camden (A)	65-74	M	2413
Camden (A)	75-84	F	1258
Camden (A)	75-84	M	1034
Camden (A)	85+	F	652
Camden (A)	85+	M	327
Campbelltown (C) (NSW)	0-4	F	5627
Campbelltown (C) (NSW)	0-4	M	5974
Campbelltown (C) (NSW)	5-14	F	10833
Campbelltown (C) (NSW)	5-14	M	11421
Campbelltown (C) (NSW)	15-19	F	5172
Campbelltown (C) (NSW)	15-19	M	5481
Campbelltown (C) (NSW)	20-24	F	5705
Campbelltown (C) (NSW)	20-24	M	5742
