LGA_NAME16	HomeCensusNight	persons
Pingelly (S)	0	98
Pingelly (S)	1	1051
Plantagenet (S)	0	355
Plantagenet (S)	1	4730
Port Hedland (T)	0	906
Port Hedland (T)	1	13562
Quairading (S)	0	96
Quairading (S)	1	920
Ravensthorpe (S)	0	204
Ravensthorpe (S)	1	1534
Rockingham (C)	0	7746
Rockingham (C)	1	117360
Sandstone (S)	0	11
Sandstone (S)	1	77
Serpentine-Jarrahdale (S)	0	1214
Serpentine-Jarrahdale (S)	1	25620
Shark Bay (S)	0	69
Shark Bay (S)	1	881
South Perth (C)	0	2101
South Perth (C)	1	39883
Stirling (C)	0	9507
Stirling (C)	1	200695
Subiaco (C)	0	974
Subiaco (C)	1	18388
