LGA_NAME16	FamilyComposition	families_with_children
Lockyer Valley (R)	Intact family with no other children present	3251
Lockyer Valley (R)	Intact family with other children present	51
Lockyer Valley (R)	Other couple family with other children only	46
Lockyer Valley (R)	Step family with no other children present	311
Lockyer Valley (R)	Step family with other children present	11
Logan (C)	Blended family with no other children present	2257
Logan (C)	Blended family with other children present	51
Logan (C)	Intact family with no other children present	30302
Logan (C)	Intact family with other children present	645
Logan (C)	Other couple family with other children only	263
Logan (C)	Step family with no other children present	2990
Logan (C)	Step family with other children present	102
Longreach (R)	Blended family with no other children present	18
Longreach (R)	Intact family with no other children present	303
Longreach (R)	Intact family with other children present	3
Longreach (R)	Other couple family with other children only	3
Longreach (R)	Step family with no other children present	28
Mackay (R)	Blended family with no other children present	628
Mackay (R)	Blended family with other children present	13
Mackay (R)	Intact family with no other children present	11358
Mackay (R)	Intact family with other children present	124
Mackay (R)	Other couple family with other children only	74
Mackay (R)	Step family with no other children present	930
Mackay (R)	Step family with other children present	20
McKinlay (S)	Intact family with no other children present	75
McKinlay (S)	Step family with no other children present	5
Mapoon (S)	Blended family with no other children present	4
Mapoon (S)	Intact family with no other children present	12
Mapoon (S)	Other couple family with other children only	4
Mapoon (S)	Step family with no other children present	4
Maranoa (R)	Blended family with no other children present	63
Maranoa (R)	Intact family with no other children present	1240
Maranoa (R)	Intact family with other children present	11
Maranoa (R)	Other couple family with other children only	10
Maranoa (R)	Step family with no other children present	68
Maranoa (R)	Step family with other children present	3
Mareeba (S)	Blended family with no other children present	92
Mareeba (S)	Blended family with other children present	3
Mareeba (S)	Intact family with no other children present	1665
Mareeba (S)	Intact family with other children present	35
Mareeba (S)	Other couple family with other children only	19
Mareeba (S)	Step family with no other children present	158
Mareeba (S)	Step family with other children present	9
Moreton Bay (R)	Blended family with no other children present	3029
Moreton Bay (R)	Blended family with other children present	54
Moreton Bay (R)	Intact family with no other children present	42670
Moreton Bay (R)	Intact family with other children present	560
Moreton Bay (R)	Other couple family with other children only	287
Moreton Bay (R)	Step family with no other children present	4460
Moreton Bay (R)	Step family with other children present	116
Mornington (S)	Intact family with no other children present	60
Mornington (S)	Intact family with other children present	18
Mornington (S)	Other couple family with other children only	9
Mornington (S)	Step family with no other children present	11
Mount Isa (C)	Blended family with no other children present	118
Mount Isa (C)	Intact family with no other children present	1676
Mount Isa (C)	Intact family with other children present	37
Mount Isa (C)	Other couple family with other children only	25
Mount Isa (C)	Step family with no other children present	138
Mount Isa (C)	Step family with other children present	3
Murweh (S)	Blended family with no other children present	15
Murweh (S)	Intact family with no other children present	381
Murweh (S)	Intact family with other children present	3
Murweh (S)	Other couple family with other children only	4
Murweh (S)	Step family with no other children present	25
Napranum (S)	Blended family with no other children present	9
Napranum (S)	Intact family with no other children present	73
Napranum (S)	Intact family with other children present	4
Napranum (S)	Other couple family with other children only	7
Napranum (S)	Step family with no other children present	6
Napranum (S)	Step family with other children present	3
Noosa (S)	Blended family with no other children present	185
Noosa (S)	Intact family with no other children present	4406
Noosa (S)	Intact family with other children present	34
Noosa (S)	Other couple family with other children only	20
Noosa (S)	Step family with no other children present	417
Noosa (S)	Step family with other children present	6
North Burnett (R)	Blended family with no other children present	58
North Burnett (R)	Intact family with no other children present	778
North Burnett (R)	Intact family with other children present	12
North Burnett (R)	Other couple family with other children only	13
North Burnett (R)	Step family with no other children present	56
Northern Peninsula Area (R)	Blended family with no other children present	16
Northern Peninsula Area (R)	Intact family with no other children present	201
Northern Peninsula Area (R)	Intact family with other children present	24
Northern Peninsula Area (R)	Other couple family with other children only	8
Northern Peninsula Area (R)	Step family with no other children present	27
Northern Peninsula Area (R)	Step family with other children present	3
Palm Island (S)	Blended family with no other children present	10
Palm Island (S)	Blended family with other children present	3
Palm Island (S)	Intact family with no other children present	140
Palm Island (S)	Intact family with other children present	19
Palm Island (S)	Other couple family with other children only	11
Palm Island (S)	Step family with no other children present	12
Palm Island (S)	Step family with other children present	3
Paroo (S)	Blended family with no other children present	4
Paroo (S)	Intact family with no other children present	92
Paroo (S)	Intact family with other children present	3
Paroo (S)	Other couple family with other children only	6
Paroo (S)	Step family with no other children present	6
Pormpuraaw (S)	Blended family with no other children present	7
Pormpuraaw (S)	Intact family with no other children present	46
Pormpuraaw (S)	Intact family with other children present	4
Pormpuraaw (S)	Other couple family with other children only	6
Pormpuraaw (S)	Step family with no other children present	5
Quilpie (S)	Blended family with no other children present	8
Quilpie (S)	Intact family with no other children present	70
Quilpie (S)	Step family with no other children present	3
Redland (C)	Blended family with no other children present	895
Redland (C)	Blended family with other children present	11
Redland (C)	Intact family with no other children present	15546
Redland (C)	Intact family with other children present	155
Redland (C)	Other couple family with other children only	73
Redland (C)	Step family with no other children present	1532
Redland (C)	Step family with other children present	35
Richmond (S)	Intact family with no other children present	67
Rockhampton (R)	Blended family with no other children present	472
Rockhampton (R)	Blended family with other children present	15
Rockhampton (R)	Intact family with no other children present	6977
Rockhampton (R)	Intact family with other children present	106
Rockhampton (R)	Other couple family with other children only	65
Rockhampton (R)	Step family with no other children present	625
Rockhampton (R)	Step family with other children present	20
Scenic Rim (R)	Blended family with no other children present	210
Scenic Rim (R)	Blended family with other children present	6
Scenic Rim (R)	Intact family with no other children present	3608
Scenic Rim (R)	Intact family with other children present	55
Scenic Rim (R)	Other couple family with other children only	37
Scenic Rim (R)	Step family with no other children present	377
Scenic Rim (R)	Step family with other children present	17
Somerset (R)	Blended family with no other children present	179
Somerset (R)	Intact family with no other children present	2042
Somerset (R)	Intact family with other children present	33
Somerset (R)	Other couple family with other children only	27
Somerset (R)	Step family with no other children present	212
Somerset (R)	Step family with other children present	5
South Burnett (R)	Blended family with no other children present	186
South Burnett (R)	Blended family with other children present	8
South Burnett (R)	Intact family with no other children present	2373
South Burnett (R)	Intact family with other children present	28
South Burnett (R)	Other couple family with other children only	40
South Burnett (R)	Step family with no other children present	230
South Burnett (R)	Step family with other children present	11
Southern Downs (R)	Blended family with no other children present	190
Southern Downs (R)	Intact family with no other children present	2896
Southern Downs (R)	Intact family with other children present	38
Southern Downs (R)	Other couple family with other children only	24
Southern Downs (R)	Step family with no other children present	260
Southern Downs (R)	Step family with other children present	5
Sunshine Coast (R)	Blended family with no other children present	1387
Sunshine Coast (R)	Blended family with other children present	20
Sunshine Coast (R)	Intact family with no other children present	27255
Sunshine Coast (R)	Intact family with other children present	279
Sunshine Coast (R)	Other couple family with other children only	122
Sunshine Coast (R)	Step family with no other children present	2566
Sunshine Coast (R)	Step family with other children present	44
Tablelands (R)	Blended family with no other children present	104
Tablelands (R)	Blended family with other children present	3
Tablelands (R)	Intact family with no other children present	1877
Tablelands (R)	Intact family with other children present	24
Tablelands (R)	Other couple family with other children only	22
Tablelands (R)	Step family with no other children present	156
Tablelands (R)	Step family with other children present	10
Toowoomba (R)	Blended family with no other children present	880
Toowoomba (R)	Blended family with other children present	18
Toowoomba (R)	Intact family with no other children present	14637
Toowoomba (R)	Intact family with other children present	186
Toowoomba (R)	Other couple family with other children only	115
Toowoomba (R)	Step family with no other children present	1135
Toowoomba (R)	Step family with other children present	19
Torres (S)	Blended family with no other children present	18
Torres (S)	Blended family with other children present	3
Torres (S)	Intact family with no other children present	254
Torres (S)	Intact family with other children present	27
Torres (S)	Other couple family with other children only	3
Torres (S)	Step family with no other children present	17
Torres (S)	Step family with other children present	3
Torres Strait Island (R)	Blended family with no other children present	28
Torres Strait Island (R)	Blended family with other children present	4
Torres Strait Island (R)	Intact family with no other children present	329
Torres Strait Island (R)	Intact family with other children present	49
Torres Strait Island (R)	Other couple family with other children only	27
Torres Strait Island (R)	Step family with no other children present	21
Torres Strait Island (R)	Step family with other children present	3
Townsville (C)	Blended family with no other children present	1131
Townsville (C)	Blended family with other children present	21
Townsville (C)	Intact family with no other children present	16679
Townsville (C)	Intact family with other children present	221
Townsville (C)	Other couple family with other children only	130
Townsville (C)	Step family with no other children present	1678
Townsville (C)	Step family with other children present	33
Weipa (T)	Blended family with no other children present	30
Weipa (T)	Intact family with no other children present	433
Weipa (T)	Intact family with other children present	6
Weipa (T)	Other couple family with other children only	3
Weipa (T)	Step family with no other children present	38
Western Downs (R)	Blended family with no other children present	195
Western Downs (R)	Intact family with no other children present	2980
Western Downs (R)	Intact family with other children present	32
Western Downs (R)	Other couple family with other children only	26
Western Downs (R)	Step family with no other children present	191
Western Downs (R)	Step family with other children present	3
Whitsunday (R)	Blended family with no other children present	155
Whitsunday (R)	Blended family with other children present	3
Whitsunday (R)	Intact family with no other children present	2572
Whitsunday (R)	Intact family with other children present	24
Whitsunday (R)	Other couple family with other children only	21
Whitsunday (R)	Step family with no other children present	243
Whitsunday (R)	Step family with other children present	3
Winton (S)	Blended family with no other children present	3
Winton (S)	Intact family with no other children present	89
Winton (S)	Step family with no other children present	4
Woorabinda (S)	Blended family with no other children present	3
Woorabinda (S)	Intact family with no other children present	33
Woorabinda (S)	Intact family with other children present	10
Woorabinda (S)	Other couple family with other children only	7
Woorabinda (S)	Step family with no other children present	4
Wujal Wujal (S)	Intact family with no other children present	24
Wujal Wujal (S)	Intact family with other children present	4
Wujal Wujal (S)	Other couple family with other children only	3
Yarrabah (S)	Blended family with no other children present	8
Yarrabah (S)	Intact family with no other children present	166
Yarrabah (S)	Intact family with other children present	36
Yarrabah (S)	Other couple family with other children only	6
Yarrabah (S)	Step family with no other children present	16
Adelaide (C)	Blended family with no other children present	19
Adelaide (C)	Intact family with no other children present	758
Adelaide (C)	Step family with no other children present	57
Adelaide Hills (DC)	Blended family with no other children present	150
Adelaide Hills (DC)	Intact family with no other children present	4713
Adelaide Hills (DC)	Intact family with other children present	32
Adelaide Hills (DC)	Other couple family with other children only	7
Adelaide Hills (DC)	Step family with no other children present	355
Alexandrina (DC)	Blended family with no other children present	129
Alexandrina (DC)	Intact family with no other children present	2037
Alexandrina (DC)	Intact family with other children present	26
Alexandrina (DC)	Other couple family with other children only	22
Alexandrina (DC)	Step family with no other children present	204
Alexandrina (DC)	Step family with other children present	3
Anangu Pitjantjatjara (AC)	Blended family with no other children present	3
Anangu Pitjantjatjara (AC)	Intact family with no other children present	168
Anangu Pitjantjatjara (AC)	Intact family with other children present	28
Anangu Pitjantjatjara (AC)	Other couple family with other children only	9
Anangu Pitjantjatjara (AC)	Step family with no other children present	15
Barossa (DC)	Blended family with no other children present	137
Barossa (DC)	Intact family with no other children present	2381
Barossa (DC)	Intact family with other children present	16
Barossa (DC)	Other couple family with other children only	15
Barossa (DC)	Step family with no other children present	197
Barossa (DC)	Step family with other children present	3
Barunga West (DC)	Blended family with no other children present	4
Barunga West (DC)	Intact family with no other children present	185
Barunga West (DC)	Other couple family with other children only	3
Barunga West (DC)	Step family with no other children present	16
Berri and Barmera (DC)	Blended family with no other children present	50
Berri and Barmera (DC)	Intact family with no other children present	847
Berri and Barmera (DC)	Intact family with other children present	10
Berri and Barmera (DC)	Other couple family with other children only	4
Berri and Barmera (DC)	Step family with no other children present	79
Burnside (C)	Blended family with no other children present	116
Burnside (C)	Intact family with no other children present	5207
Burnside (C)	Intact family with other children present	36
Burnside (C)	Other couple family with other children only	19
Burnside (C)	Step family with no other children present	297
Burnside (C)	Step family with other children present	7
Campbelltown (C) (SA)	Blended family with no other children present	139
Campbelltown (C) (SA)	Intact family with no other children present	5846
Campbelltown (C) (SA)	Intact family with other children present	40
Campbelltown (C) (SA)	Other couple family with other children only	14
Campbelltown (C) (SA)	Step family with no other children present	283
Campbelltown (C) (SA)	Step family with other children present	7
Ceduna (DC)	Blended family with no other children present	25
Ceduna (DC)	Blended family with other children present	3
Ceduna (DC)	Intact family with no other children present	269
Ceduna (DC)	Intact family with other children present	9
Ceduna (DC)	Other couple family with other children only	3
Ceduna (DC)	Step family with no other children present	22
Charles Sturt (C)	Blended family with no other children present	309
Charles Sturt (C)	Blended family with other children present	7
Charles Sturt (C)	Intact family with no other children present	11077
Charles Sturt (C)	Intact family with other children present	106
Charles Sturt (C)	Other couple family with other children only	40
Charles Sturt (C)	Step family with no other children present	816
Charles Sturt (C)	Step family with other children present	9
Clare and Gilbert Valleys (DC)	Blended family with no other children present	31
Clare and Gilbert Valleys (DC)	Intact family with no other children present	767
Clare and Gilbert Valleys (DC)	Intact family with other children present	3
Clare and Gilbert Valleys (DC)	Other couple family with other children only	4
Clare and Gilbert Valleys (DC)	Step family with no other children present	57
Cleve (DC)	Blended family with no other children present	6
Cleve (DC)	Intact family with no other children present	158
Cleve (DC)	Step family with no other children present	12
Coober Pedy (DC)	Blended family with no other children present	3
Coober Pedy (DC)	Intact family with no other children present	96
Coober Pedy (DC)	Intact family with other children present	5
Coober Pedy (DC)	Other couple family with other children only	3
Coober Pedy (DC)	Step family with no other children present	8
Copper Coast (DC)	Blended family with no other children present	66
Copper Coast (DC)	Intact family with no other children present	965
Copper Coast (DC)	Intact family with other children present	14
Copper Coast (DC)	Other couple family with other children only	10
Copper Coast (DC)	Step family with no other children present	104
Copper Coast (DC)	Step family with other children present	5
Elliston (DC)	Blended family with no other children present	3
Elliston (DC)	Intact family with no other children present	95
Elliston (DC)	Step family with no other children present	8
Flinders Ranges (DC)	Blended family with no other children present	3
Flinders Ranges (DC)	Intact family with no other children present	115
Flinders Ranges (DC)	Intact family with other children present	3
Flinders Ranges (DC)	Other couple family with other children only	5
Flinders Ranges (DC)	Step family with no other children present	13
Franklin Harbour (DC)	Blended family with no other children present	5
Franklin Harbour (DC)	Intact family with no other children present	102
Franklin Harbour (DC)	Step family with no other children present	10
Gawler (T)	Blended family with no other children present	134
Gawler (T)	Intact family with no other children present	1980
Gawler (T)	Intact family with other children present	19
Gawler (T)	Other couple family with other children only	13
Gawler (T)	Step family with no other children present	239
Gawler (T)	Step family with other children present	6
Goyder (DC)	Blended family with no other children present	25
Goyder (DC)	Blended family with other children present	3
Goyder (DC)	Intact family with no other children present	337
Goyder (DC)	Other couple family with other children only	3
Goyder (DC)	Step family with no other children present	18
Grant (DC)	Blended family with no other children present	33
Grant (DC)	Intact family with no other children present	861
Grant (DC)	Intact family with other children present	7
Grant (DC)	Other couple family with other children only	8
Grant (DC)	Step family with no other children present	65
Holdfast Bay (C)	Blended family with no other children present	88
Holdfast Bay (C)	Intact family with no other children present	3133
Holdfast Bay (C)	Intact family with other children present	21
Holdfast Bay (C)	Other couple family with other children only	13
Holdfast Bay (C)	Step family with no other children present	221
Kangaroo Island (DC)	Blended family with no other children present	23
Kangaroo Island (DC)	Intact family with no other children present	365
Kangaroo Island (DC)	Step family with no other children present	16
Karoonda East Murray (DC)	Blended family with no other children present	6
Karoonda East Murray (DC)	Intact family with no other children present	103
Karoonda East Murray (DC)	Step family with no other children present	9
Kimba (DC)	Blended family with no other children present	3
Kimba (DC)	Intact family with no other children present	111
Kimba (DC)	Step family with no other children present	4
Kingston (DC) (SA)	Blended family with no other children present	8
Kingston (DC) (SA)	Intact family with no other children present	186
Kingston (DC) (SA)	Step family with no other children present	17
Light (RegC)	Blended family with no other children present	98
Light (RegC)	Intact family with no other children present	1724
Light (RegC)	Intact family with other children present	13
Light (RegC)	Other couple family with other children only	12
Light (RegC)	Step family with no other children present	175
Lower Eyre Peninsula (DC)	Blended family with no other children present	16
Lower Eyre Peninsula (DC)	Intact family with no other children present	542
Lower Eyre Peninsula (DC)	Intact family with other children present	3
Lower Eyre Peninsula (DC)	Other couple family with other children only	7
Lower Eyre Peninsula (DC)	Step family with no other children present	36
Loxton Waikerie (DC)	Blended family with no other children present	51
Loxton Waikerie (DC)	Intact family with no other children present	1005
Loxton Waikerie (DC)	Intact family with other children present	13
Loxton Waikerie (DC)	Other couple family with other children only	5
Loxton Waikerie (DC)	Step family with no other children present	74
Mallala (DC)	Blended family with no other children present	75
Mallala (DC)	Blended family with other children present	3
Mallala (DC)	Intact family with no other children present	920
Mallala (DC)	Intact family with other children present	13
Mallala (DC)	Other couple family with other children only	14
Mallala (DC)	Step family with no other children present	95
Mallala (DC)	Step family with other children present	9
Maralinga Tjarutja (AC)	Intact family with no other children present	3
Marion (C)	Blended family with no other children present	295
Marion (C)	Blended family with other children present	4
Marion (C)	Intact family with no other children present	8969
Marion (C)	Intact family with other children present	88
Marion (C)	Other couple family with other children only	26
Marion (C)	Step family with no other children present	665
Marion (C)	Step family with other children present	20
Mid Murray (DC)	Blended family with no other children present	40
Mid Murray (DC)	Intact family with no other children present	566
Mid Murray (DC)	Intact family with other children present	8
Mid Murray (DC)	Other couple family with other children only	7
Mid Murray (DC)	Step family with no other children present	61
Mitcham (C)	Blended family with no other children present	207
Mitcham (C)	Blended family with other children present	4
Mitcham (C)	Intact family with no other children present	7652
Mitcham (C)	Intact family with other children present	48
Mitcham (C)	Other couple family with other children only	20
Mitcham (C)	Step family with no other children present	482
Mitcham (C)	Step family with other children present	3
Mount Barker (DC)	Blended family with no other children present	189
Mount Barker (DC)	Intact family with no other children present	3673
Mount Barker (DC)	Intact family with other children present	22
Mount Barker (DC)	Other couple family with other children only	16
Mount Barker (DC)	Step family with no other children present	326
Mount Barker (DC)	Step family with other children present	4
Mount Gambier (C)	Blended family with no other children present	154
Mount Gambier (C)	Intact family with no other children present	2176
Mount Gambier (C)	Intact family with other children present	26
Mount Gambier (C)	Other couple family with other children only	25
Mount Gambier (C)	Step family with no other children present	243
Mount Gambier (C)	Step family with other children present	3
Mount Remarkable (DC)	Blended family with no other children present	5
Mount Remarkable (DC)	Intact family with no other children present	235
Mount Remarkable (DC)	Step family with no other children present	19
Murray Bridge (RC)	Blended family with no other children present	117
Murray Bridge (RC)	Intact family with no other children present	1614
Murray Bridge (RC)	Intact family with other children present	26
Murray Bridge (RC)	Other couple family with other children only	26
Murray Bridge (RC)	Step family with no other children present	169
Murray Bridge (RC)	Step family with other children present	7
Naracoorte and Lucindale (DC)	Blended family with no other children present	47
Naracoorte and Lucindale (DC)	Intact family with no other children present	767
Naracoorte and Lucindale (DC)	Intact family with other children present	4
Naracoorte and Lucindale (DC)	Other couple family with other children only	9
Naracoorte and Lucindale (DC)	Step family with no other children present	58
Northern Areas (DC)	Blended family with no other children present	10
Northern Areas (DC)	Intact family with no other children present	403
Northern Areas (DC)	Intact family with other children present	4
Northern Areas (DC)	Other couple family with other children only	3
Northern Areas (DC)	Step family with no other children present	23
Norwood Payneham St Peters (C)	Blended family with no other children present	60
Norwood Payneham St Peters (C)	Intact family with no other children present	3339
Norwood Payneham St Peters (C)	Intact family with other children present	22
Norwood Payneham St Peters (C)	Other couple family with other children only	12
Norwood Payneham St Peters (C)	Step family with no other children present	191
Norwood Payneham St Peters (C)	Step family with other children present	9
Onkaparinga (C)	Blended family with no other children present	1031
Onkaparinga (C)	Blended family with other children present	11
Onkaparinga (C)	Intact family with no other children present	16372
Onkaparinga (C)	Intact family with other children present	155
Onkaparinga (C)	Other couple family with other children only	99
Onkaparinga (C)	Step family with no other children present	1718
Onkaparinga (C)	Step family with other children present	25
Orroroo/Carrieton (DC)	Blended family with no other children present	7
Orroroo/Carrieton (DC)	Intact family with no other children present	66
Peterborough (DC)	Blended family with no other children present	6
Peterborough (DC)	Intact family with no other children present	78
Peterborough (DC)	Intact family with other children present	3
Peterborough (DC)	Step family with no other children present	4
Playford (C)	Blended family with no other children present	657
Playford (C)	Blended family with other children present	11
Playford (C)	Intact family with no other children present	7480
Playford (C)	Intact family with other children present	138
Playford (C)	Other couple family with other children only	77
Playford (C)	Step family with no other children present	889
Playford (C)	Step family with other children present	25
Port Adelaide Enfield (C)	Blended family with no other children present	391
Port Adelaide Enfield (C)	Blended family with other children present	8
Port Adelaide Enfield (C)	Intact family with no other children present	11528
Port Adelaide Enfield (C)	Intact family with other children present	176
Port Adelaide Enfield (C)	Other couple family with other children only	52
Port Adelaide Enfield (C)	Step family with no other children present	847
Port Adelaide Enfield (C)	Step family with other children present	18
Port Augusta (C)	Blended family with no other children present	71
Port Augusta (C)	Blended family with other children present	3
Port Augusta (C)	Intact family with no other children present	1021
Port Augusta (C)	Intact family with other children present	19
Port Augusta (C)	Other couple family with other children only	16
Port Augusta (C)	Step family with no other children present	84
Port Augusta (C)	Step family with other children present	8
Port Lincoln (C)	Blended family with no other children present	85
Port Lincoln (C)	Blended family with other children present	3
Port Lincoln (C)	Intact family with no other children present	1118
Port Lincoln (C)	Intact family with other children present	10
Port Lincoln (C)	Other couple family with other children only	7
Port Lincoln (C)	Step family with no other children present	99
Port Lincoln (C)	Step family with other children present	3
Port Pirie City and Dists (M)	Blended family with no other children present	98
Port Pirie City and Dists (M)	Blended family with other children present	3
Port Pirie City and Dists (M)	Intact family with no other children present	1372
Port Pirie City and Dists (M)	Intact family with other children present	19
Port Pirie City and Dists (M)	Other couple family with other children only	24
Port Pirie City and Dists (M)	Step family with no other children present	121
Port Pirie City and Dists (M)	Step family with other children present	3
Prospect (C)	Blended family with no other children present	45
Prospect (C)	Intact family with no other children present	2372
Prospect (C)	Intact family with other children present	19
Prospect (C)	Other couple family with other children only	6
Prospect (C)	Step family with no other children present	126
Renmark Paringa (DC)	Blended family with no other children present	53
Renmark Paringa (DC)	Intact family with no other children present	768
Renmark Paringa (DC)	Intact family with other children present	8
Renmark Paringa (DC)	Other couple family with other children only	4
Renmark Paringa (DC)	Step family with no other children present	76
Robe (DC)	Blended family with no other children present	7
Robe (DC)	Intact family with no other children present	104
Robe (DC)	Other couple family with other children only	3
Robe (DC)	Step family with no other children present	6
Roxby Downs (M)	Blended family with no other children present	31
Roxby Downs (M)	Intact family with no other children present	431
Roxby Downs (M)	Intact family with other children present	3
Roxby Downs (M)	Other couple family with other children only	4
Roxby Downs (M)	Step family with no other children present	31
Salisbury (C)	Blended family with no other children present	725
Salisbury (C)	Blended family with other children present	25
Salisbury (C)	Intact family with no other children present	13808
Salisbury (C)	Intact family with other children present	247
Salisbury (C)	Other couple family with other children only	79
Salisbury (C)	Step family with no other children present	1195
Salisbury (C)	Step family with other children present	37
Southern Mallee (DC)	Blended family with no other children present	8
Southern Mallee (DC)	Intact family with no other children present	182
Southern Mallee (DC)	Step family with no other children present	11
Streaky Bay (DC)	Blended family with no other children present	13
Streaky Bay (DC)	Intact family with no other children present	178
Streaky Bay (DC)	Step family with no other children present	15
Tatiara (DC)	Blended family with no other children present	33
Tatiara (DC)	Intact family with no other children present	617
Tatiara (DC)	Intact family with other children present	7
Tatiara (DC)	Other couple family with other children only	4
Tatiara (DC)	Step family with no other children present	46
Tatiara (DC)	Step family with other children present	3
Tea Tree Gully (C)	Blended family with no other children present	437
Tea Tree Gully (C)	Blended family with other children present	7
Tea Tree Gully (C)	Intact family with no other children present	10741
Tea Tree Gully (C)	Intact family with other children present	88
Tea Tree Gully (C)	Other couple family with other children only	47
Tea Tree Gully (C)	Step family with no other children present	949
Tea Tree Gully (C)	Step family with other children present	15
The Coorong (DC)	Blended family with no other children present	30
The Coorong (DC)	Intact family with no other children present	426
The Coorong (DC)	Other couple family with other children only	5
The Coorong (DC)	Step family with no other children present	26
Tumby Bay (DC)	Blended family with no other children present	3
Tumby Bay (DC)	Intact family with no other children present	219
Tumby Bay (DC)	Step family with no other children present	11
Unley (C)	Blended family with no other children present	79
Unley (C)	Intact family with no other children present	3940
Unley (C)	Intact family with other children present	24
Unley (C)	Other couple family with other children only	7
Unley (C)	Step family with no other children present	244
Victor Harbor (C)	Blended family with no other children present	63
Victor Harbor (C)	Intact family with no other children present	884
Victor Harbor (C)	Intact family with other children present	8
Victor Harbor (C)	Other couple family with other children only	21
Victor Harbor (C)	Step family with no other children present	87
Victor Harbor (C)	Step family with other children present	3
Wakefield (DC)	Blended family with no other children present	41
Wakefield (DC)	Intact family with no other children present	604
Wakefield (DC)	Intact family with other children present	10
Wakefield (DC)	Other couple family with other children only	6
Wakefield (DC)	Step family with no other children present	41
Walkerville (M)	Blended family with no other children present	17
Walkerville (M)	Intact family with no other children present	767
Walkerville (M)	Intact family with other children present	4
Walkerville (M)	Step family with no other children present	46
Wattle Range (DC)	Blended family with no other children present	68
Wattle Range (DC)	Intact family with no other children present	1008
Wattle Range (DC)	Intact family with other children present	6
Wattle Range (DC)	Other couple family with other children only	10
Wattle Range (DC)	Step family with no other children present	87
Wattle Range (DC)	Step family with other children present	3
West Torrens (C)	Blended family with no other children present	145
West Torrens (C)	Intact family with no other children present	5650
West Torrens (C)	Intact family with other children present	56
West Torrens (C)	Other couple family with other children only	14
West Torrens (C)	Step family with no other children present	374
Whyalla (C)	Blended family with no other children present	145
Whyalla (C)	Intact family with no other children present	1690
Whyalla (C)	Intact family with other children present	18
Whyalla (C)	Other couple family with other children only	34
Whyalla (C)	Step family with no other children present	179
Whyalla (C)	Step family with other children present	6
Wudinna (DC)	Blended family with no other children present	6
Wudinna (DC)	Intact family with no other children present	120
Wudinna (DC)	Step family with no other children present	5
Yankalilla (DC)	Blended family with no other children present	20
Yankalilla (DC)	Intact family with no other children present	348
Yankalilla (DC)	Intact family with other children present	4
Yankalilla (DC)	Other couple family with other children only	4
Yankalilla (DC)	Step family with no other children present	37
Yankalilla (DC)	Step family with other children present	4
Yorke Peninsula (DC)	Blended family with no other children present	44
Yorke Peninsula (DC)	Intact family with no other children present	753
Yorke Peninsula (DC)	Intact family with other children present	5
Yorke Peninsula (DC)	Other couple family with other children only	3
Yorke Peninsula (DC)	Step family with no other children present	58
Unincorporated SA	Blended family with no other children present	9
Unincorporated SA	Intact family with no other children present	185
Unincorporated SA	Intact family with other children present	8
Unincorporated SA	Other couple family with other children only	8
Unincorporated SA	Step family with no other children present	17
Albany (C)	Blended family with no other children present	193
Albany (C)	Intact family with no other children present	3124
Albany (C)	Intact family with other children present	38
Albany (C)	Other couple family with other children only	25
Albany (C)	Step family with no other children present	278
Albany (C)	Step family with other children present	3
Armadale (C)	Blended family with no other children present	472
Armadale (C)	Blended family with other children present	10
Armadale (C)	Intact family with no other children present	8810
Armadale (C)	Intact family with other children present	139
Armadale (C)	Other couple family with other children only	69
Armadale (C)	Step family with no other children present	733
Armadale (C)	Step family with other children present	22
Ashburton (S)	Blended family with no other children present	50
Ashburton (S)	Intact family with no other children present	673
Ashburton (S)	Intact family with other children present	4
Ashburton (S)	Other couple family with other children only	9
Ashburton (S)	Step family with no other children present	47
Ashburton (S)	Step family with other children present	3
Augusta-Margaret River (S)	Blended family with no other children present	67
Augusta-Margaret River (S)	Intact family with no other children present	1446
Augusta-Margaret River (S)	Intact family with other children present	9
Augusta-Margaret River (S)	Other couple family with other children only	4
Augusta-Margaret River (S)	Step family with no other children present	80
Bassendean (T)	Blended family with no other children present	62
Bassendean (T)	Blended family with other children present	3
Bassendean (T)	Intact family with no other children present	1485
Bassendean (T)	Intact family with other children present	15
Bassendean (T)	Other couple family with other children only	8
Bassendean (T)	Step family with no other children present	118
Bassendean (T)	Step family with other children present	3
Bayswater (C)	Blended family with no other children present	172
Bayswater (C)	Intact family with no other children present	6365
Bayswater (C)	Intact family with other children present	66
Bayswater (C)	Other couple family with other children only	24
Bayswater (C)	Step family with no other children present	438
Bayswater (C)	Step family with other children present	8
Belmont (C)	Blended family with no other children present	130
Belmont (C)	Blended family with other children present	3
Belmont (C)	Intact family with no other children present	3227
Belmont (C)	Intact family with other children present	51
Belmont (C)	Other couple family with other children only	15
Belmont (C)	Step family with no other children present	243
Beverley (S)	Blended family with no other children present	9
Beverley (S)	Intact family with no other children present	125
Beverley (S)	Other couple family with other children only	7
Beverley (S)	Step family with no other children present	9
Boddington (S)	Blended family with no other children present	14
Boddington (S)	Intact family with no other children present	179
Boddington (S)	Other couple family with other children only	3
Boddington (S)	Step family with no other children present	16
Boyup Brook (S)	Blended family with no other children present	8
Boyup Brook (S)	Intact family with no other children present	152
Boyup Brook (S)	Step family with no other children present	8
Bridgetown-Greenbushes (S)	Blended family with no other children present	16
Bridgetown-Greenbushes (S)	Intact family with no other children present	363
