POA_CODE_2016	MaxSchoolingCompleted	Sex	persons
POA2042	Year 11	F	233
POA2042	Year 11	M	308
POA2042	Year 12	F	6553
POA2042	Year 12	M	6405
POA2043	Did not go to school	F	14
POA2043	Did not go to school	M	12
POA2043	Year 8	F	47
POA2043	Year 8	M	36
POA2043	Year 9	F	50
POA2043	Year 9	M	35
POA2043	Year 10	F	224
POA2043	Year 10	M	263
POA2043	Year 11	F	103
POA2043	Year 11	M	141
POA2043	Year 12	F	2717
POA2043	Year 12	M	2814
POA2044	Did not go to school	F	67
POA2044	Did not go to school	M	51
POA2044	Year 8	F	165
POA2044	Year 8	M	134
POA2044	Year 9	F	71
POA2044	Year 9	M	89
POA2044	Year 10	F	363
POA2044	Year 10	M	440
POA2044	Year 11	F	140
POA2044	Year 11	M	173
POA2044	Year 12	F	2275
POA2044	Year 12	M	2193
POA2045	Did not go to school	F	54
POA2045	Did not go to school	M	26
POA2045	Year 8	F	303
POA2045	Year 8	M	247
POA2045	Year 9	F	102
POA2045	Year 9	M	99
POA2045	Year 10	F	401
POA2045	Year 10	M	346
POA2045	Year 11	F	103
POA2045	Year 11	M	115
POA2045	Year 12	F	1572
POA2045	Year 12	M	1583
POA2046	Did not go to school	F	157
POA2046	Did not go to school	M	110
POA2046	Year 8	F	743
POA2046	Year 8	M	529
POA2046	Year 9	F	478
POA2046	Year 9	M	408
POA2046	Year 10	F	1857
POA2046	Year 10	M	1523
POA2046	Year 11	F	424
POA2046	Year 11	M	437
POA2046	Year 12	F	7281
POA2046	Year 12	M	6478
POA2047	Did not go to school	F	38
POA2047	Did not go to school	M	22
POA2047	Year 8	F	197
POA2047	Year 8	M	127
POA2047	Year 9	F	201
POA2047	Year 9	M	142
POA2047	Year 10	F	712
POA2047	Year 10	M	510
POA2047	Year 11	F	199
POA2047	Year 11	M	200
POA2047	Year 12	F	3554
POA2047	Year 12	M	3195
POA2048	Did not go to school	F	44
POA2048	Did not go to school	M	31
POA2048	Year 8	F	129
POA2048	Year 8	M	106
POA2048	Year 9	F	65
POA2048	Year 9	M	90
POA2048	Year 10	F	286
POA2048	Year 10	M	306
POA2048	Year 11	F	106
POA2048	Year 11	M	136
POA2048	Year 12	F	2538
POA2048	Year 12	M	2342
POA2049	Did not go to school	F	64
POA2049	Did not go to school	M	41
POA2049	Year 8	F	197
POA2049	Year 8	M	176
POA2049	Year 9	F	128
POA2049	Year 9	M	143
POA2049	Year 10	F	443
POA2049	Year 10	M	507
POA2049	Year 11	F	158
POA2049	Year 11	M	179
POA2049	Year 12	F	3555
POA2049	Year 12	M	3175
POA2050	Did not go to school	F	14
POA2050	Did not go to school	M	11
POA2050	Year 8	F	35
POA2050	Year 8	M	40
POA2050	Year 9	F	61
POA2050	Year 9	M	70
POA2050	Year 10	F	178
POA2050	Year 10	M	248
POA2050	Year 11	F	99
POA2050	Year 11	M	132
POA2050	Year 12	F	3477
POA2050	Year 12	M	3156
POA2052	Did not go to school	M	3
POA2052	Year 8	F	3
POA2052	Year 8	M	3
POA2052	Year 9	F	7
POA2052	Year 9	M	10
POA2052	Year 10	F	6
POA2052	Year 10	M	21
POA2052	Year 11	F	28
POA2052	Year 11	M	29
POA2052	Year 12	F	1473
POA2052	Year 12	M	1580
POA2060	Did not go to school	F	18
POA2060	Did not go to school	M	15
POA2060	Year 8	F	57
POA2060	Year 8	M	50
POA2060	Year 9	F	111
POA2060	Year 9	M	107
POA2060	Year 10	F	480
POA2060	Year 10	M	332
POA2060	Year 11	F	201
POA2060	Year 11	M	199
POA2060	Year 12	F	5068
POA2060	Year 12	M	4741
POA2061	Did not go to school	F	14
POA2061	Did not go to school	M	3
POA2061	Year 8	F	28
POA2061	Year 8	M	38
POA2061	Year 9	F	45
POA2061	Year 9	M	25
POA2061	Year 10	F	204
POA2061	Year 10	M	127
POA2061	Year 11	F	84
POA2061	Year 11	M	69
POA2061	Year 12	F	2190
POA2061	Year 12	M	2056
POA2062	Did not go to school	F	9
POA2062	Did not go to school	M	4
POA2062	Year 8	F	35
POA2062	Year 8	M	29
POA2062	Year 9	F	49
POA2062	Year 9	M	40
POA2062	Year 10	F	274
POA2062	Year 10	M	205
POA2062	Year 11	F	124
POA2062	Year 11	M	88
POA2062	Year 12	F	2435
POA2062	Year 12	M	2084
POA2063	Did not go to school	F	7
POA2063	Did not go to school	M	9
POA2063	Year 8	F	41
POA2063	Year 8	M	40
POA2063	Year 9	F	82
POA2063	Year 9	M	58
POA2063	Year 10	F	300
POA2063	Year 10	M	166
POA2063	Year 11	F	125
POA2063	Year 11	M	105
POA2063	Year 12	F	1922
POA2063	Year 12	M	1817
POA2064	Did not go to school	F	32
POA2064	Did not go to school	M	17
POA2064	Year 8	F	62
POA2064	Year 8	M	45
POA2064	Year 9	F	85
POA2064	Year 9	M	65
POA2064	Year 10	F	263
POA2064	Year 10	M	237
POA2064	Year 11	F	120
POA2064	Year 11	M	126
POA2064	Year 12	F	3183
