SA3_NAME16	CountryOfBirth	persons
Coffs Harbour	MUS	13
Coffs Harbour	MYS	134
Coffs Harbour	NLD	308
Coffs Harbour	NPL	7
Coffs Harbour	NZL	1214
Coffs Harbour	PAK	70
Coffs Harbour	PHL	327
Coffs Harbour	PNG	107
Coffs Harbour	POL	70
Coffs Harbour	SGP	37
Coffs Harbour	THA	138
Coffs Harbour	TUR	16
Coffs Harbour	TWN	118
Coffs Harbour	USA	279
Coffs Harbour	VNM	51
Coffs Harbour	ZAF	348
Coffs Harbour	ZWE	57
Bourke - Cobar - Coonamble		3687
Bourke - Cobar - Coonamble	AUS	19316
Bourke - Cobar - Coonamble	BGD	8
Bourke - Cobar - Coonamble	BIH	10
Bourke - Cobar - Coonamble	CAN	15
Bourke - Cobar - Coonamble	CHL	5
Bourke - Cobar - Coonamble	CHN	23
Bourke - Cobar - Coonamble	DEU	70
Bourke - Cobar - Coonamble	EGY	6
Bourke - Cobar - Coonamble	FJI	19
Bourke - Cobar - Coonamble	FRA	7
Bourke - Cobar - Coonamble	GBR	246
Bourke - Cobar - Coonamble	GRC	10
Bourke - Cobar - Coonamble	HKG	7
Bourke - Cobar - Coonamble	HRV	29
Bourke - Cobar - Coonamble	IDN	9
Bourke - Cobar - Coonamble	IND	72
Bourke - Cobar - Coonamble	IRL	33
Bourke - Cobar - Coonamble	ITA	9
Bourke - Cobar - Coonamble	JPN	9
Bourke - Cobar - Coonamble	KOR	3
Bourke - Cobar - Coonamble	LBN	3
Bourke - Cobar - Coonamble	LKA	15
Bourke - Cobar - Coonamble	MKD	4
Bourke - Cobar - Coonamble	MLT	3
Bourke - Cobar - Coonamble	MMR	3
Bourke - Cobar - Coonamble	MYS	13
Bourke - Cobar - Coonamble	NLD	26
Bourke - Cobar - Coonamble	NPL	28
Bourke - Cobar - Coonamble	NZL	193
Bourke - Cobar - Coonamble	PAK	31
Bourke - Cobar - Coonamble	PHL	79
Bourke - Cobar - Coonamble	PNG	29
Bourke - Cobar - Coonamble	POL	9
Bourke - Cobar - Coonamble	THA	13
Bourke - Cobar - Coonamble	TUR	4
Bourke - Cobar - Coonamble	USA	27
Bourke - Cobar - Coonamble	VNM	6
Bourke - Cobar - Coonamble	ZAF	59
Bourke - Cobar - Coonamble	ZWE	10
Broken Hill and Far West		2018
Broken Hill and Far West	AUS	17376
Broken Hill and Far West	BGD	3
Broken Hill and Far West	BIH	3
Broken Hill and Far West	CAN	13
Broken Hill and Far West	CHN	18
Broken Hill and Far West	DEU	44
Broken Hill and Far West	FJI	8
Broken Hill and Far West	FRA	7
Broken Hill and Far West	GBR	222
Broken Hill and Far West	GRC	10
Broken Hill and Far West	HKG	4
Broken Hill and Far West	HRV	7
Broken Hill and Far West	IND	57
Broken Hill and Far West	IRL	12
Broken Hill and Far West	ITA	35
Broken Hill and Far West	JPN	7
Broken Hill and Far West	KOR	8
Broken Hill and Far West	LKA	8
Broken Hill and Far West	MLT	20
Broken Hill and Far West	MMR	7
Broken Hill and Far West	MYS	6
Broken Hill and Far West	NLD	21
Broken Hill and Far West	NPL	3
Broken Hill and Far West	NZL	91
Broken Hill and Far West	PAK	3
Broken Hill and Far West	PHL	126
Broken Hill and Far West	THA	7
Broken Hill and Far West	TWN	3
Broken Hill and Far West	USA	22
Broken Hill and Far West	VNM	8
Broken Hill and Far West	ZAF	23
Broken Hill and Far West	ZWE	3
Dubbo		6819
Dubbo	AFG	7
Dubbo	AUS	58423
Dubbo	BGD	77
Dubbo	CAN	38
