SA3_NAME16	BornAust	persons
Serpentine - Jarrahdale	1	18357
South Perth	0	15140
South Perth	1	23984
Cockburn	0	34865
Cockburn	1	60572
Fremantle	0	10503
Fremantle	1	22726
Kwinana	0	13387
Kwinana	1	22541
Melville	0	34830
Melville	1	61094
Rockingham	0	39655
Rockingham	1	75785
Albany	0	11000
Albany	1	43109
Wheat Belt - North	0	9763
Wheat Belt - North	1	40123
Wheat Belt - South	0	2563
Wheat Belt - South	1	15365
Kimberley	0	4155
Kimberley	1	26212
East Pilbara	0	5069
East Pilbara	1	15581
West Pilbara	0	7892
West Pilbara	1	21621
Esperance	0	2062
Esperance	1	11903
Gascoyne	0	1595
Gascoyne	1	6511
Goldfields	0	8594
Goldfields	1	25953
Mid West	0	7742
Mid West	1	40891
Migratory - Offshore - Shipping (WA)	0	168
Migratory - Offshore - Shipping (WA)	1	193
No usual address (WA)	0	1484
No usual address (WA)	1	3512
Brighton	0	841
Brighton	1	14860
Hobart - North East	0	5316
Hobart - North East	1	44433
Hobart - North West	0	6197
Hobart - North West	1	42822
Hobart - South and West	0	5383
Hobart - South and West	1	25925
Hobart Inner	0	11497
Hobart Inner	1	35952
Sorell - Dodges Ferry	0	1432
Sorell - Dodges Ferry	1	13488
Launceston	0	10192
Launceston	1	64869
Meander Valley - West Tamar	0	2622
Meander Valley - West Tamar	1	17927
North East	0	3526
North East	1	30105
Central Highlands (Tas.)	0	823
Central Highlands (Tas.)	1	9323
Huon - Bruny Island	0	2936
Huon - Bruny Island	1	14607
South East Coast	0	719
South East Coast	1	5242
Burnie - Ulverstone	0	3991
Burnie - Ulverstone	1	40066
Devonport	0	3984
Devonport	1	37098
West Coast	0	1627
West Coast	1	14058
Migratory - Offshore - Shipping (Tas.)	0	18
Migratory - Offshore - Shipping (Tas.)	1	49
No usual address (Tas.)	0	139
No usual address (Tas.)	1	659
Darwin City	0	8362
Darwin City	1	14210
Darwin Suburbs	0	16795
Darwin Suburbs	1	31220
Litchfield	0	2974
Litchfield	1	16653
Palmerston	0	6849
Palmerston	1	23757
Alice Springs	0	6368
Alice Springs	1	25862
Barkly	0	489
Barkly	1	4555
Daly - Tiwi - West Arnhem	0	896
Daly - Tiwi - West Arnhem	1	13824
East Arnhem	0	800
East Arnhem	1	11436
Katherine	0	1424
Katherine	1	14619
Migratory - Offshore - Shipping (NT)	0	53
Migratory - Offshore - Shipping (NT)	1	16
No usual address (NT)	0	402
No usual address (NT)	1	1379
Belconnen	0	24909
Belconnen	1	66157
Canberra East	0	278
Canberra East	1	1096
Gungahlin	0	23701
Gungahlin	1	44250
North Canberra	0	15812
North Canberra	1	33288
South Canberra	0	6865
South Canberra	1	18023
Tuggeranong	0	16722
Tuggeranong	1	64381
Weston Creek	0	4771
Weston Creek	1	16920
Woden Valley	0	10463
Woden Valley	1	22319
Molonglo	0	1449
Molonglo	1	2788
Urriarra - Namadgi	0	65
Urriarra - Namadgi	1	482
No usual address (ACT)	0	130
No usual address (ACT)	1	351
Christmas Island	0	841
Christmas Island	1	697
Cocos (Keeling) Islands	0	44
Cocos (Keeling) Islands	1	444
Jervis Bay	0	30
Jervis Bay	1	299
Norfolk Island	0	540
Norfolk Island	1	1069
Migratory - Offshore - Shipping (OT)	1	4
No usual address (OT)	0	22
No usual address (OT)	1	24
