SA3_NAME16	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
Blacktown - North	1	2	5540
Blacktown - North	1	3	5531
Blacktown - North	1	4	7607
Blacktown - North	1	5	3074
Blacktown - North	1	6	1785
Mount Druitt	0	1	5084
Mount Druitt	0	2	564
Mount Druitt	0	3	83
Mount Druitt	0	4	37
Mount Druitt	0	5	9
Mount Druitt	0	6	3
Mount Druitt	1	2	7059
Mount Druitt	1	3	6115
Mount Druitt	1	4	6432
Mount Druitt	1	5	3803
Mount Druitt	1	6	3171
Botany	0	1	3780
Botany	0	2	723
Botany	0	3	272
Botany	0	4	106
Botany	0	5	45
Botany	0	6	18
Botany	1	2	4237
Botany	1	3	2813
Botany	1	4	2828
Botany	1	5	1079
Botany	1	6	524
Marrickville - Sydenham - Petersham	0	1	5509
Marrickville - Sydenham - Petersham	0	2	1436
Marrickville - Sydenham - Petersham	0	3	634
Marrickville - Sydenham - Petersham	0	4	266
Marrickville - Sydenham - Petersham	0	5	82
Marrickville - Sydenham - Petersham	0	6	33
Marrickville - Sydenham - Petersham	1	2	5780
Marrickville - Sydenham - Petersham	1	3	2990
Marrickville - Sydenham - Petersham	1	4	2489
Marrickville - Sydenham - Petersham	1	5	782
Marrickville - Sydenham - Petersham	1	6	452
Sydney Inner City	0	1	32415
Sydney Inner City	0	2	7431
Sydney Inner City	0	3	3313
Sydney Inner City	0	4	1871
Sydney Inner City	0	5	649
Sydney Inner City	0	6	501
Sydney Inner City	1	2	26289
Sydney Inner City	1	3	8156
Sydney Inner City	1	4	5123
Sydney Inner City	1	5	1361
Sydney Inner City	1	6	696
Eastern Suburbs - North	0	1	14082
Eastern Suburbs - North	0	2	3085
Eastern Suburbs - North	0	3	1058
Eastern Suburbs - North	0	4	394
Eastern Suburbs - North	0	5	82
Eastern Suburbs - North	0	6	42
Eastern Suburbs - North	1	2	14452
Eastern Suburbs - North	1	3	6444
Eastern Suburbs - North	1	4	5894
Eastern Suburbs - North	1	5	2244
Eastern Suburbs - North	1	6	670
Eastern Suburbs - South	0	1	13097
Eastern Suburbs - South	0	2	3059
Eastern Suburbs - South	0	3	1405
Eastern Suburbs - South	0	4	616
Eastern Suburbs - South	0	5	273
Eastern Suburbs - South	0	6	146
Eastern Suburbs - South	1	2	13571
Eastern Suburbs - South	1	3	7337
Eastern Suburbs - South	1	4	7291
Eastern Suburbs - South	1	5	2593
Eastern Suburbs - South	1	6	989
Bankstown	0	1	10164
Bankstown	0	2	809
Bankstown	0	3	224
Bankstown	0	4	74
Bankstown	0	5	40
Bankstown	0	6	31
Bankstown	1	2	11930
Bankstown	1	3	8936
Bankstown	1	4	9812
Bankstown	1	5	5647
Bankstown	1	6	4495
Canterbury	0	1	7682
Canterbury	0	2	1111
Canterbury	0	3	322
Canterbury	0	4	246
Canterbury	0	5	125
Canterbury	0	6	108
Canterbury	1	2	10195
Canterbury	1	3	7772
Canterbury	1	4	7745
Canterbury	1	5	3904
Canterbury	1	6	3042
