SA3_NAME16	FamilyComposition	families_with_children
Rouse Hill - McGraths Hill	Step family with no other children present	275
Rouse Hill - McGraths Hill	Step family with other children present	6
Blacktown	Blended family with no other children present	587
Blacktown	Blended family with other children present	19
Blacktown	Intact family with no other children present	17002
Blacktown	Intact family with other children present	352
Blacktown	Other couple family with other children only	79
Blacktown	Step family with no other children present	924
Blacktown	Step family with other children present	31
Blacktown - North	Blended family with no other children present	409
Blacktown - North	Blended family with other children present	9
Blacktown - North	Intact family with no other children present	14278
Blacktown - North	Intact family with other children present	249
Blacktown - North	Other couple family with other children only	40
Blacktown - North	Step family with no other children present	757
Blacktown - North	Step family with other children present	13
Mount Druitt	Blended family with no other children present	631
Mount Druitt	Blended family with other children present	15
Mount Druitt	Intact family with no other children present	12910
Mount Druitt	Intact family with other children present	381
Mount Druitt	Other couple family with other children only	82
Mount Druitt	Step family with no other children present	747
Mount Druitt	Step family with other children present	36
Botany	Blended family with no other children present	157
Botany	Blended family with other children present	4
Botany	Intact family with no other children present	5140
Botany	Intact family with other children present	77
Botany	Other couple family with other children only	24
Botany	Step family with no other children present	259
Marrickville - Sydenham - Petersham	Blended family with no other children present	88
Marrickville - Sydenham - Petersham	Blended family with other children present	4
Marrickville - Sydenham - Petersham	Intact family with no other children present	4683
Marrickville - Sydenham - Petersham	Intact family with other children present	61
Marrickville - Sydenham - Petersham	Other couple family with other children only	20
Marrickville - Sydenham - Petersham	Step family with no other children present	278
Marrickville - Sydenham - Petersham	Step family with other children present	4
Sydney Inner City	Blended family with no other children present	138
Sydney Inner City	Intact family with no other children present	8910
Sydney Inner City	Intact family with other children present	63
Sydney Inner City	Other couple family with other children only	34
Sydney Inner City	Step family with no other children present	629
Sydney Inner City	Step family with other children present	9
Eastern Suburbs - North	Blended family with no other children present	204
Eastern Suburbs - North	Blended family with other children present	3
Eastern Suburbs - North	Intact family with no other children present	11832
Eastern Suburbs - North	Intact family with other children present	50
Eastern Suburbs - North	Other couple family with other children only	13
Eastern Suburbs - North	Step family with no other children present	612
Eastern Suburbs - South	Blended family with no other children present	276
Eastern Suburbs - South	Blended family with other children present	4
Eastern Suburbs - South	Intact family with no other children present	13518
Eastern Suburbs - South	Intact family with other children present	107
Eastern Suburbs - South	Other couple family with other children only	42
Eastern Suburbs - South	Step family with no other children present	636
Eastern Suburbs - South	Step family with other children present	9
Bankstown	Blended family with no other children present	592
Bankstown	Blended family with other children present	11
Bankstown	Intact family with no other children present	21156
Bankstown	Intact family with other children present	412
Bankstown	Other couple family with other children only	84
Bankstown	Step family with no other children present	959
Bankstown	Step family with other children present	36
Canterbury	Blended family with no other children present	375
Canterbury	Blended family with other children present	9
Canterbury	Intact family with no other children present	16685
Canterbury	Intact family with other children present	281
Canterbury	Other couple family with other children only	48
Canterbury	Step family with no other children present	682
Canterbury	Step family with other children present	21
Hurstville	Blended family with no other children present	328
Hurstville	Blended family with other children present	4
Hurstville	Intact family with no other children present	15474
Hurstville	Intact family with other children present	260
Hurstville	Other couple family with other children only	41
Hurstville	Step family with no other children present	686
Hurstville	Step family with other children present	21
Kogarah - Rockdale	Blended family with no other children present	314
Kogarah - Rockdale	Blended family with other children present	7
Kogarah - Rockdale	Intact family with no other children present	15347
Kogarah - Rockdale	Intact family with other children present	218
Kogarah - Rockdale	Other couple family with other children only	42
Kogarah - Rockdale	Step family with no other children present	706
Kogarah - Rockdale	Step family with other children present	13
Canada Bay	Blended family with no other children present	144
Canada Bay	Intact family with no other children present	9923
Canada Bay	Intact family with other children present	56
Canada Bay	Other couple family with other children only	26
Canada Bay	Step family with no other children present	437
Canada Bay	Step family with other children present	4
Leichhardt	Blended family with no other children present	106
Leichhardt	Intact family with no other children present	5970
Leichhardt	Intact family with other children present	25
Leichhardt	Other couple family with other children only	11
Leichhardt	Step family with no other children present	339
Leichhardt	Step family with other children present	3
Strathfield - Burwood - Ashfield	Blended family with no other children present	253
Strathfield - Burwood - Ashfield	Blended family with other children present	9
Strathfield - Burwood - Ashfield	Intact family with no other children present	16230
Strathfield - Burwood - Ashfield	Intact family with other children present	223
Strathfield - Burwood - Ashfield	Other couple family with other children only	37
Strathfield - Burwood - Ashfield	Step family with no other children present	674
Strathfield - Burwood - Ashfield	Step family with other children present	10
Chatswood - Lane Cove	Blended family with no other children present	207
Chatswood - Lane Cove	Intact family with no other children present	14214
Chatswood - Lane Cove	Intact family with other children present	99
Chatswood - Lane Cove	Other couple family with other children only	31
Chatswood - Lane Cove	Step family with no other children present	552
Chatswood - Lane Cove	Step family with other children present	3
Hornsby	Blended family with no other children present	221
Hornsby	Blended family with other children present	3
Hornsby	Intact family with no other children present	11434
Hornsby	Intact family with other children present	97
Hornsby	Other couple family with other children only	24
Hornsby	Step family with no other children present	490
Hornsby	Step family with other children present	9
Ku-ring-gai	Blended family with no other children present	268
Ku-ring-gai	Blended family with other children present	9
Ku-ring-gai	Intact family with no other children present	17665
Ku-ring-gai	Intact family with other children present	149
Ku-ring-gai	Other couple family with other children only	24
Ku-ring-gai	Step family with no other children present	654
Ku-ring-gai	Step family with other children present	4
North Sydney - Mosman	Blended family with no other children present	139
North Sydney - Mosman	Blended family with other children present	4
North Sydney - Mosman	Intact family with no other children present	8656
North Sydney - Mosman	Intact family with other children present	28
North Sydney - Mosman	Other couple family with other children only	14
North Sydney - Mosman	Step family with no other children present	475
North Sydney - Mosman	Step family with other children present	6
Manly	Blended family with no other children present	88
Manly	Intact family with no other children present	4944
Manly	Intact family with other children present	22
Manly	Other couple family with other children only	11
Manly	Step family with no other children present	243
Pittwater	Blended family with no other children present	238
Pittwater	Blended family with other children present	3
Pittwater	Intact family with no other children present	7585
Pittwater	Intact family with other children present	75
Pittwater	Other couple family with other children only	20
Pittwater	Step family with no other children present	487
Pittwater	Step family with other children present	13
Warringah	Blended family with no other children present	442
Warringah	Blended family with other children present	5
Warringah	Intact family with no other children present	19408
Warringah	Intact family with other children present	139
Warringah	Other couple family with other children only	55
Warringah	Step family with no other children present	1011
Warringah	Step family with other children present	12
Camden	Blended family with no other children present	469
Camden	Blended family with other children present	15
Camden	Intact family with no other children present	8232
Camden	Intact family with other children present	94
Camden	Other couple family with other children only	47
Camden	Step family with no other children present	638
Camden	Step family with other children present	12
Campbelltown (NSW)	Blended family with no other children present	907
Campbelltown (NSW)	Blended family with other children present	27
Campbelltown (NSW)	Intact family with no other children present	17709
Campbelltown (NSW)	Intact family with other children present	428
Campbelltown (NSW)	Other couple family with other children only	137
Campbelltown (NSW)	Step family with no other children present	1256
Campbelltown (NSW)	Step family with other children present	48
Wollondilly	Blended family with no other children present	305
Wollondilly	Blended family with other children present	3
Wollondilly	Intact family with no other children present	4953
Wollondilly	Intact family with other children present	85
Wollondilly	Other couple family with other children only	39
Wollondilly	Step family with no other children present	357
Wollondilly	Step family with other children present	3
Blue Mountains	Blended family with no other children present	372
Blue Mountains	Intact family with no other children present	7941
Blue Mountains	Intact family with other children present	77
Blue Mountains	Other couple family with other children only	49
Blue Mountains	Step family with no other children present	688
Blue Mountains	Step family with other children present	11
Penrith	Blended family with no other children present	916
Penrith	Blended family with other children present	26
Penrith	Intact family with no other children present	15827
Penrith	Intact family with other children present	231
Penrith	Other couple family with other children only	111
Penrith	Step family with no other children present	1288
Penrith	Step family with other children present	43
Richmond - Windsor	Blended family with no other children present	249
Richmond - Windsor	Blended family with other children present	5
Richmond - Windsor	Intact family with no other children present	3445
Richmond - Windsor	Intact family with other children present	53
Richmond - Windsor	Other couple family with other children only	28
Richmond - Windsor	Step family with no other children present	394
Richmond - Windsor	Step family with other children present	13
St Marys	Blended family with no other children present	315
St Marys	Blended family with other children present	9
St Marys	Intact family with no other children present	5885
St Marys	Intact family with other children present	123
St Marys	Other couple family with other children only	38
St Marys	Step family with no other children present	493
St Marys	Step family with other children present	19
Auburn	Blended family with no other children present	186
Auburn	Blended family with other children present	9
Auburn	Intact family with no other children present	10081
Auburn	Intact family with other children present	200
Auburn	Other couple family with other children only	43
Auburn	Step family with no other children present	385
Auburn	Step family with other children present	19
Carlingford	Blended family with no other children present	158
Carlingford	Intact family with no other children present	9309
Carlingford	Intact family with other children present	128
Carlingford	Other couple family with other children only	21
Carlingford	Step family with no other children present	385
Carlingford	Step family with other children present	8
Merrylands - Guildford	Blended family with no other children present	491
Merrylands - Guildford	Blended family with other children present	16
Merrylands - Guildford	Intact family with no other children present	18172
Merrylands - Guildford	Intact family with other children present	348
Merrylands - Guildford	Other couple family with other children only	55
Merrylands - Guildford	Step family with no other children present	753
Merrylands - Guildford	Step family with other children present	20
Parramatta	Blended family with no other children present	253
Parramatta	Blended family with other children present	3
Parramatta	Intact family with no other children present	18137
Parramatta	Intact family with other children present	228
Parramatta	Other couple family with other children only	43
Parramatta	Step family with no other children present	669
Parramatta	Step family with other children present	14
Pennant Hills - Epping	Blended family with no other children present	99
Pennant Hills - Epping	Blended family with other children present	3
Pennant Hills - Epping	Intact family with no other children present	6957
