SA3_NAME16	Age5yr	Indigenous	Sex	persons
Lachlan Valley	5-9	1	M	293
Lachlan Valley	10-14		F	154
Lachlan Valley	10-14		M	163
Lachlan Valley	10-14	0	F	1283
Lachlan Valley	10-14	0	M	1399
Lachlan Valley	10-14	1	F	283
Lachlan Valley	10-14	1	M	314
Lachlan Valley	15-19		F	158
Lachlan Valley	15-19		M	151
Lachlan Valley	15-19	0	F	1237
Lachlan Valley	15-19	0	M	1248
Lachlan Valley	15-19	1	F	296
Lachlan Valley	15-19	1	M	266
Lachlan Valley	20-24		F	114
Lachlan Valley	20-24		M	143
Lachlan Valley	20-24	0	F	996
Lachlan Valley	20-24	0	M	1117
Lachlan Valley	20-24	1	F	205
Lachlan Valley	20-24	1	M	222
Lachlan Valley	25-29		F	102
Lachlan Valley	25-29		M	111
Lachlan Valley	25-29	0	F	1053
Lachlan Valley	25-29	0	M	1076
Lachlan Valley	25-29	1	F	163
Lachlan Valley	25-29	1	M	128
Lachlan Valley	30-34		F	123
Lachlan Valley	30-34		M	122
Lachlan Valley	30-34	0	F	1200
Lachlan Valley	30-34	0	M	1109
Lachlan Valley	30-34	1	F	144
Lachlan Valley	30-34	1	M	107
Lachlan Valley	35-39		F	139
Lachlan Valley	35-39		M	107
Lachlan Valley	35-39	0	F	1149
Lachlan Valley	35-39	0	M	1146
Lachlan Valley	35-39	1	F	127
Lachlan Valley	35-39	1	M	111
Lachlan Valley	40-44		F	122
Lachlan Valley	40-44		M	134
Lachlan Valley	40-44	0	F	1285
Lachlan Valley	40-44	0	M	1233
Lachlan Valley	40-44	1	F	140
Lachlan Valley	40-44	1	M	103
Lachlan Valley	45-49		F	144
Lachlan Valley	45-49		M	145
Lachlan Valley	45-49	0	F	1428
Lachlan Valley	45-49	0	M	1340
Lachlan Valley	45-49	1	F	133
Lachlan Valley	45-49	1	M	147
Lachlan Valley	50-54		F	176
Lachlan Valley	50-54		M	172
Lachlan Valley	50-54	0	F	1581
Lachlan Valley	50-54	0	M	1562
Lachlan Valley	50-54	1	F	137
Lachlan Valley	50-54	1	M	143
Lachlan Valley	55-59		F	147
Lachlan Valley	55-59		M	186
