SA4_NAME16	Age5yr	ChildrenEverBorn	females
Mid North Coast	15-19	2	13
Mid North Coast	15-19	3	3
Mid North Coast	15-19	4	4
Mid North Coast	20-24		368
Mid North Coast	20-24	0	2844
Mid North Coast	20-24	1	566
Mid North Coast	20-24	2	314
Mid North Coast	20-24	3	75
Mid North Coast	20-24	4	17
Mid North Coast	20-24	5	3
Mid North Coast	20-24	6	5
Mid North Coast	25-29		359
Mid North Coast	25-29	0	1884
Mid North Coast	25-29	1	861
Mid North Coast	25-29	2	829
Mid North Coast	25-29	3	352
Mid North Coast	25-29	4	106
Mid North Coast	25-29	5	42
Mid North Coast	25-29	6	7
Mid North Coast	30-34		320
Mid North Coast	30-34	0	991
Mid North Coast	30-34	1	829
Mid North Coast	30-34	2	1325
Mid North Coast	30-34	3	670
Mid North Coast	30-34	4	279
Mid North Coast	30-34	5	85
Mid North Coast	30-34	6	53
Mid North Coast	35-39		310
