SA4_NAME16	DwellingStructure	MortgageRepayment.min	occupied_private_dwellings_being_purchased
Illawarra		48000	5
Illawarra	(Other)	0	3
Illawarra	(Other)	5400	4
Illawarra	(Other)	7200	4
Illawarra	(Other)	9600	3
Illawarra	(Other)	12000	4
Illawarra	(Other)	16800	17
Illawarra	(Other)	21600	19
Illawarra	(Other)	28800	3
Illawarra	(Other)	48000	3
Illawarra	Flat/apartment	0	86
Illawarra	Flat/apartment	3600	47
Illawarra	Flat/apartment	5400	30
Illawarra	Flat/apartment	7200	66
Illawarra	Flat/apartment	9600	117
Illawarra	Flat/apartment	12000	320
Illawarra	Flat/apartment	16800	396
Illawarra	Flat/apartment	21600	434
Illawarra	Flat/apartment	28800	149
Illawarra	Flat/apartment	36000	119
Illawarra	Flat/apartment	48000	63
Illawarra	Semi-detached, row/terrace house, townhouse etc.	0	109
Illawarra	Semi-detached, row/terrace house, townhouse etc.	3600	52
Illawarra	Semi-detached, row/terrace house, townhouse etc.	5400	45
Illawarra	Semi-detached, row/terrace house, townhouse etc.	7200	125
Illawarra	Semi-detached, row/terrace house, townhouse etc.	9600	127
Illawarra	Semi-detached, row/terrace house, townhouse etc.	12000	387
Illawarra	Semi-detached, row/terrace house, townhouse etc.	16800	504
Illawarra	Semi-detached, row/terrace house, townhouse etc.	21600	639
Illawarra	Semi-detached, row/terrace house, townhouse etc.	28800	257
Illawarra	Semi-detached, row/terrace house, townhouse etc.	36000	148
Illawarra	Semi-detached, row/terrace house, townhouse etc.	48000	71
Illawarra	Separate house	0	1236
Illawarra	Separate house	3600	602
Illawarra	Separate house	5400	440
Illawarra	Separate house	7200	871
Illawarra	Separate house	9600	1182
Illawarra	Separate house	12000	3427
Illawarra	Separate house	16800	4495
Illawarra	Separate house	21600	7290
Illawarra	Separate house	28800	3899
Illawarra	Separate house	36000	3263
Illawarra	Separate house	48000	1540
Mid North Coast		0	7
Mid North Coast		3600	3
Mid North Coast		5400	4
Mid North Coast		7200	8
Mid North Coast		9600	6
Mid North Coast		12000	22
Mid North Coast		16800	18
Mid North Coast		21600	23
Mid North Coast		28800	9
Mid North Coast		36000	5
Mid North Coast		48000	9
Mid North Coast	(Other)	0	9
Mid North Coast	(Other)	3600	4
Mid North Coast	(Other)	5400	9
Mid North Coast	(Other)	7200	9
Mid North Coast	(Other)	9600	18
Mid North Coast	(Other)	12000	22
Mid North Coast	(Other)	16800	6
Mid North Coast	(Other)	21600	7
Mid North Coast	(Other)	28800	3
Mid North Coast	(Other)	48000	8
Mid North Coast	Flat/apartment	0	37
Mid North Coast	Flat/apartment	3600	29
Mid North Coast	Flat/apartment	5400	19
Mid North Coast	Flat/apartment	7200	45
Mid North Coast	Flat/apartment	9600	46
Mid North Coast	Flat/apartment	12000	107
Mid North Coast	Flat/apartment	16800	86
Mid North Coast	Flat/apartment	21600	50
Mid North Coast	Flat/apartment	28800	16
Mid North Coast	Flat/apartment	36000	10
Mid North Coast	Flat/apartment	48000	14
Mid North Coast	Semi-detached, row/terrace house, townhouse etc.	0	72
Mid North Coast	Semi-detached, row/terrace house, townhouse etc.	3600	50
Mid North Coast	Semi-detached, row/terrace house, townhouse etc.	5400	32
Mid North Coast	Semi-detached, row/terrace house, townhouse etc.	7200	48
Mid North Coast	Semi-detached, row/terrace house, townhouse etc.	9600	75
Mid North Coast	Semi-detached, row/terrace house, townhouse etc.	12000	179
Mid North Coast	Semi-detached, row/terrace house, townhouse etc.	16800	179
Mid North Coast	Semi-detached, row/terrace house, townhouse etc.	21600	85
Mid North Coast	Semi-detached, row/terrace house, townhouse etc.	28800	28
Mid North Coast	Semi-detached, row/terrace house, townhouse etc.	36000	13
Mid North Coast	Semi-detached, row/terrace house, townhouse etc.	48000	12
Mid North Coast	Separate house	0	1083
Mid North Coast	Separate house	3600	662
Mid North Coast	Separate house	5400	585
Mid North Coast	Separate house	7200	1080
Mid North Coast	Separate house	9600	1536
Mid North Coast	Separate house	12000	3857
Mid North Coast	Separate house	16800	3743
Mid North Coast	Separate house	21600	3710
Mid North Coast	Separate house	28800	1290
Mid North Coast	Separate house	36000	851
Mid North Coast	Separate house	48000	442
Murray		9600	5
Murray		12000	9
Murray		16800	3
Murray		21600	10
Murray		28800	4
Murray		36000	3
Murray		48000	6
Murray	(Other)	0	3
Murray	(Other)	3600	3
Murray	(Other)	12000	5
Murray	(Other)	16800	8
Murray	(Other)	21600	9
Murray	(Other)	28800	6
Murray	(Other)	36000	3
Murray	(Other)	48000	6
Murray	Flat/apartment	0	4
Murray	Flat/apartment	3600	4
Murray	Flat/apartment	5400	5
Murray	Flat/apartment	7200	15
Murray	Flat/apartment	9600	15
Murray	Flat/apartment	12000	12
Murray	Flat/apartment	16800	8
Murray	Flat/apartment	36000	3
Murray	Semi-detached, row/terrace house, townhouse etc.	0	16
Murray	Semi-detached, row/terrace house, townhouse etc.	3600	28
Murray	Semi-detached, row/terrace house, townhouse etc.	5400	22
Murray	Semi-detached, row/terrace house, townhouse etc.	7200	51
Murray	Semi-detached, row/terrace house, townhouse etc.	9600	64
Murray	Semi-detached, row/terrace house, townhouse etc.	12000	93
Murray	Semi-detached, row/terrace house, townhouse etc.	16800	47
Murray	Semi-detached, row/terrace house, townhouse etc.	21600	16
Murray	Semi-detached, row/terrace house, townhouse etc.	28800	9
Murray	Semi-detached, row/terrace house, townhouse etc.	36000	6
Murray	Semi-detached, row/terrace house, townhouse etc.	48000	5
Murray	Separate house	0	794
Murray	Separate house	3600	439
Murray	Separate house	5400	399
Murray	Separate house	7200	921
Murray	Separate house	9600	1253
Murray	Separate house	12000	2877
Murray	Separate house	16800	2381
Murray	Separate house	21600	1928
Murray	Separate house	28800	554
Murray	Separate house	36000	394
Murray	Separate house	48000	259
New England and North West		0	12
New England and North West		3600	3
New England and North West		5400	3
New England and North West		7200	3
New England and North West		9600	11
New England and North West		12000	32
New England and North West		16800	11
New England and North West		21600	20
New England and North West		28800	4
New England and North West		36000	8
New England and North West		48000	3
New England and North West	(Other)	0	14
New England and North West	(Other)	3600	6
New England and North West	(Other)	5400	3
New England and North West	(Other)	7200	13
New England and North West	(Other)	9600	15
New England and North West	(Other)	12000	21
New England and North West	(Other)	16800	7
New England and North West	(Other)	21600	12
New England and North West	(Other)	28800	3
New England and North West	(Other)	36000	4
New England and North West	(Other)	48000	5
New England and North West	Flat/apartment	0	4
New England and North West	Flat/apartment	3600	3
New England and North West	Flat/apartment	5400	5
New England and North West	Flat/apartment	7200	11
New England and North West	Flat/apartment	9600	13
New England and North West	Flat/apartment	12000	20
New England and North West	Flat/apartment	16800	12
New England and North West	Flat/apartment	21600	10
New England and North West	Flat/apartment	48000	4
New England and North West	Semi-detached, row/terrace house, townhouse etc.	0	22
New England and North West	Semi-detached, row/terrace house, townhouse etc.	3600	9
New England and North West	Semi-detached, row/terrace house, townhouse etc.	5400	13
New England and North West	Semi-detached, row/terrace house, townhouse etc.	7200	12
New England and North West	Semi-detached, row/terrace house, townhouse etc.	9600	30
New England and North West	Semi-detached, row/terrace house, townhouse etc.	12000	52
New England and North West	Semi-detached, row/terrace house, townhouse etc.	16800	49
New England and North West	Semi-detached, row/terrace house, townhouse etc.	21600	24
New England and North West	Semi-detached, row/terrace house, townhouse etc.	28800	12
New England and North West	Semi-detached, row/terrace house, townhouse etc.	36000	3
New England and North West	Semi-detached, row/terrace house, townhouse etc.	48000	3
New England and North West	Separate house	0	1077
New England and North West	Separate house	3600	567
New England and North West	Separate house	5400	602
New England and North West	Separate house	7200	1182
New England and North West	Separate house	9600	1599
New England and North West	Separate house	12000	3923
New England and North West	Separate house	16800	3336
New England and North West	Separate house	21600	2791
New England and North West	Separate house	28800	960
New England and North West	Separate house	36000	680
New England and North West	Separate house	48000	445
Newcastle and Lake Macquarie		0	5
Newcastle and Lake Macquarie		12000	7
Newcastle and Lake Macquarie		16800	14
Newcastle and Lake Macquarie		21600	16
Newcastle and Lake Macquarie		28800	3
Newcastle and Lake Macquarie		36000	4
Newcastle and Lake Macquarie		48000	6
Newcastle and Lake Macquarie	(Other)	3600	4
Newcastle and Lake Macquarie	(Other)	7200	3
Newcastle and Lake Macquarie	(Other)	9600	3
Newcastle and Lake Macquarie	(Other)	12000	13
Newcastle and Lake Macquarie	(Other)	16800	8
Newcastle and Lake Macquarie	(Other)	21600	9
Newcastle and Lake Macquarie	(Other)	28800	3
Newcastle and Lake Macquarie	(Other)	36000	6
Newcastle and Lake Macquarie	Flat/apartment	0	64
Newcastle and Lake Macquarie	Flat/apartment	3600	19
Newcastle and Lake Macquarie	Flat/apartment	5400	20
