SA4_NAME16	CountryOfBirth	Sex	persons
Hunter Valley exc Newcastle	MKD	M	10
Hunter Valley exc Newcastle	MLT	F	84
Hunter Valley exc Newcastle	MLT	M	79
Hunter Valley exc Newcastle	MMR	F	4
Hunter Valley exc Newcastle	MMR	M	13
Hunter Valley exc Newcastle	MUS	F	35
Hunter Valley exc Newcastle	MUS	M	27
Hunter Valley exc Newcastle	MYS	F	178
Hunter Valley exc Newcastle	MYS	M	135
Hunter Valley exc Newcastle	NLD	F	267
Hunter Valley exc Newcastle	NLD	M	280
Hunter Valley exc Newcastle	NPL	F	25
Hunter Valley exc Newcastle	NPL	M	29
Hunter Valley exc Newcastle	NZL	F	1524
Hunter Valley exc Newcastle	NZL	M	1552
Hunter Valley exc Newcastle	PAK	F	38
Hunter Valley exc Newcastle	PAK	M	70
Hunter Valley exc Newcastle	PHL	F	772
Hunter Valley exc Newcastle	PHL	M	320
Hunter Valley exc Newcastle	PNG	F	64
Hunter Valley exc Newcastle	PNG	M	53
Hunter Valley exc Newcastle	POL	F	81
Hunter Valley exc Newcastle	POL	M	70
Hunter Valley exc Newcastle	SGP	F	49
Hunter Valley exc Newcastle	SGP	M	23
Hunter Valley exc Newcastle	THA	F	239
Hunter Valley exc Newcastle	THA	M	67
Hunter Valley exc Newcastle	TUR	F	19
Hunter Valley exc Newcastle	TUR	M	28
Hunter Valley exc Newcastle	TWN	F	46
Hunter Valley exc Newcastle	TWN	M	21
Hunter Valley exc Newcastle	USA	F	284
Hunter Valley exc Newcastle	USA	M	234
Hunter Valley exc Newcastle	VNM	F	93
Hunter Valley exc Newcastle	VNM	M	89
Hunter Valley exc Newcastle	ZAF	F	420
Hunter Valley exc Newcastle	ZAF	M	472
Hunter Valley exc Newcastle	ZWE	F	108
Hunter Valley exc Newcastle	ZWE	M	113
Illawarra		F	13080
Illawarra		M	12677
Illawarra	AFG	F	16
Illawarra	AFG	M	14
Illawarra	AUS	F	110218
Illawarra	AUS	M	107680
Illawarra	BGD	F	54
Illawarra	BGD	M	72
Illawarra	BIH	F	202
Illawarra	BIH	M	176
Illawarra	CAN	F	285
Illawarra	CAN	M	213
Illawarra	CHL	F	375
Illawarra	CHL	M	345
Illawarra	CHN	F	1419
Illawarra	CHN	M	1776
Illawarra	DEU	F	959
Illawarra	DEU	M	809
Illawarra	EGY	F	117
Illawarra	EGY	M	146
Illawarra	FJI	F	136
Illawarra	FJI	M	116
Illawarra	FRA	F	119
Illawarra	FRA	M	137
