SA2_NAME16	persons
Merbein	4778
Mildura Region	3720
Red Cliffs	5879
Mildura - North	18068
Mildura - South	14555
Buloke	6200
Gannawarra	6651
Kerang	3893
Robinvale	3313
Swan Hill	10905
Swan Hill Region	6374
Echuca	14574
Kyabram	10912
Lockington - Gunbower	3802
Rochester	3880
Rushworth	4041
Cobram	6348
Moira	2570
Numurkah	12265
Yarrawonga	7930
Mooroopna	7939
Shepparton - North	18601
Shepparton - South	23134
Shepparton Region - East	3853
Shepparton Region - West	10133
Glenelg (Vic.)	8719
Hamilton (Vic.)	9974
Portland	10800
Southern Grampians	6073
Camperdown	3496
Colac	12250
Colac Region	5321
Corangamite - North	5385
Corangamite - South	7160
Otway	3429
Moyne - East	6648
Moyne - West	9432
Warrnambool - North	21097
Warrnambool - South	12921
Migratory - Offshore - Shipping (Vic.)	29
No usual address (Vic.)	7565
Alexandra Hills	16345
Belmont - Gumdale	7375
Birkdale	14923
Capalaba	17588
Thorneside	3761
Wellington Point	11576
Cleveland	14801
Ormiston	5793
Redland Bay	15586
Sheldon - Mount Cotton	7909
Thornlands	14694
Victoria Point	15020
Redland Islands	9016
Brisbane Port - Lytton	6
Manly - Lota	7426
Manly West	11425
Murarrie	4118
Tingalpa	8708
Wakerley	8997
Wynnum	13233
Wynnum West - Hemmant	14790
Bald Hills	7275
Bridgeman Downs	8142
Carseldine	9037
Everton Park	8798
McDowall	7541
Aspley	12318
Chermside	9313
Chermside West	6252
Geebung	4324
Kedron - Gordon Park	13712
Stafford	6508
Stafford Heights	6856
Wavell Heights	9786
Boondall	9217
Brisbane Airport	196
Eagle Farm - Pinkenba	822
Northgate - Virginia	6586
Nudgee - Banyo	9620
Nundah	12230
Bracken Ridge	16936
Brighton (Qld)	9479
Deagon	3675
Sandgate - Shorncliffe	6783
Taigum - Fitzgibbon	12153
Zillmere	8967
Camp Hill	11177
Cannon Hill	5720
Carina	11025
Carina Heights	6544
Carindale	15710
Annerley	11385
Coorparoo	16040
Fairfield - Dutton Park	4790
Greenslopes	9121
Holland Park	8305
Holland Park West	6338
Woolloongabba	5529
Yeronga	9490
Eight Mile Plains	15159
Macgregor (Qld)	5849
Mansfield (Qld)	8722
Mount Gravatt	14944
Rochedale - Burbank	6323
Upper Mount Gravatt	9396
Wishart	10815
Coopers Plains	5487
Moorooka	10422
Robertson	5101
Salisbury - Nathan	7183
Tarragindi	10670
Algester	8433
Calamvale - Stretton	21249
Pallara - Willawong	4702
Parkinson - Drewvale	15585
Rocklea - Acacia Ridge	9561
Kuraby	8378
Runcorn	14479
Sunnybank	8856
Sunnybank Hills	18085
Jindalee - Mount Ommaney	7514
Middle Park - Jamboree Heights	7062
Riverhills	4042
Seventeen Mile Rocks - Sinnamon Park	9556
Westlake	4352
Bellbowrie - Moggill	10103
Brookfield - Kenmore Hills	6748
Chapel Hill	10311
Fig Tree Pocket	4045
Kenmore	8765
