SA2_NAME16	FamilyComposition	families_with_children
Bayswater	Other couple family with other children only	7
Bayswater	Step family with no other children present	91
Knoxfield - Scoresby	Blended family with no other children present	53
Knoxfield - Scoresby	Intact family with no other children present	1943
Knoxfield - Scoresby	Intact family with other children present	25
Knoxfield - Scoresby	Other couple family with other children only	4
Knoxfield - Scoresby	Step family with no other children present	127
Knoxfield - Scoresby	Step family with other children present	4
Lysterfield	Blended family with no other children present	38
Lysterfield	Intact family with no other children present	1060
Lysterfield	Intact family with other children present	9
Lysterfield	Other couple family with other children only	5
Lysterfield	Step family with no other children present	48
Rowville - Central	Blended family with no other children present	56
Rowville - Central	Intact family with no other children present	2189
Rowville - Central	Intact family with other children present	17
Rowville - Central	Other couple family with other children only	5
Rowville - Central	Step family with no other children present	120
Rowville - North	Blended family with no other children present	35
Rowville - North	Intact family with no other children present	1247
Rowville - North	Intact family with other children present	9
Rowville - North	Other couple family with other children only	3
Rowville - North	Step family with no other children present	66
Rowville - South	Blended family with no other children present	49
Rowville - South	Intact family with no other children present	1664
Rowville - South	Intact family with other children present	11
Rowville - South	Step family with no other children present	82
Wantirna	Blended family with no other children present	49
Wantirna	Intact family with no other children present	1774
Wantirna	Intact family with other children present	23
Wantirna	Other couple family with other children only	4
Wantirna	Step family with no other children present	99
Wantirna South	Blended family with no other children present	47
Wantirna South	Intact family with no other children present	2356
Wantirna South	Intact family with other children present	31
Wantirna South	Other couple family with other children only	7
Wantirna South	Step family with no other children present	127
Boronia	Blended family with no other children present	98
Boronia	Intact family with no other children present	2181
Boronia	Intact family with other children present	21
Boronia	Other couple family with other children only	10
Boronia	Step family with no other children present	199
Boronia	Step family with other children present	3
Ferntree Gully (North)	Blended family with no other children present	46
Ferntree Gully (North)	Blended family with other children present	3
Ferntree Gully (North)	Intact family with no other children present	1464
Ferntree Gully (North)	Intact family with other children present	11
Ferntree Gully (North)	Other couple family with other children only	3
Ferntree Gully (North)	Step family with no other children present	115
Ferntree Gully (North)	Step family with other children present	4
Ferntree Gully (South) - Upper Ferntree Gully	Blended family with no other children present	78
Ferntree Gully (South) - Upper Ferntree Gully	Intact family with no other children present	1789
Ferntree Gully (South) - Upper Ferntree Gully	Intact family with other children present	8
Ferntree Gully (South) - Upper Ferntree Gully	Other couple family with other children only	7
Ferntree Gully (South) - Upper Ferntree Gully	Step family with no other children present	156
The Basin	Blended family with no other children present	25
The Basin	Intact family with no other children present	525
The Basin	Intact family with other children present	4
The Basin	Step family with no other children present	48
The Basin	Step family with other children present	3
Donvale - Park Orchards	Blended family with no other children present	38
Donvale - Park Orchards	Intact family with no other children present	2241
Donvale - Park Orchards	Intact family with other children present	22
Donvale - Park Orchards	Other couple family with other children only	5
Donvale - Park Orchards	Step family with no other children present	95
Warrandyte - Wonga Park	Blended family with no other children present	45
Warrandyte - Wonga Park	Intact family with no other children present	1447
Warrandyte - Wonga Park	Intact family with other children present	5
Warrandyte - Wonga Park	Other couple family with other children only	3
Warrandyte - Wonga Park	Step family with no other children present	87
Bayswater North	Blended family with no other children present	44
Bayswater North	Intact family with no other children present	1413
Bayswater North	Intact family with other children present	18
Bayswater North	Other couple family with other children only	3
Bayswater North	Step family with no other children present	101
Bayswater North	Step family with other children present	4
Croydon Hills - Warranwood	Blended family with no other children present	77
Croydon Hills - Warranwood	Intact family with no other children present	2585
Croydon Hills - Warranwood	Intact family with other children present	10
Croydon Hills - Warranwood	Other couple family with other children only	4
Croydon Hills - Warranwood	Step family with no other children present	164
Ringwood	Blended family with no other children present	48
Ringwood	Intact family with no other children present	1837
Ringwood	Intact family with other children present	20
Ringwood	Other couple family with other children only	3
Ringwood	Step family with no other children present	115
Ringwood East	Blended family with no other children present	51
Ringwood East	Intact family with no other children present	2404
Ringwood East	Intact family with other children present	17
Ringwood East	Other couple family with other children only	3
Ringwood East	Step family with no other children present	137
Ringwood North	Blended family with no other children present	33
Ringwood North	Intact family with no other children present	1319
Ringwood North	Intact family with other children present	10
Ringwood North	Other couple family with other children only	3
Ringwood North	Step family with no other children present	59
Croydon - East	Blended family with no other children present	65
Croydon - East	Blended family with other children present	5
Croydon - East	Intact family with no other children present	1408
Croydon - East	Intact family with other children present	14
Croydon - East	Other couple family with other children only	3
Croydon - East	Step family with no other children present	117
Croydon - West	Blended family with no other children present	57
Croydon - West	Intact family with no other children present	1430
Croydon - West	Intact family with other children present	21
Croydon - West	Other couple family with other children only	3
Croydon - West	Step family with no other children present	112
Croydon - West	Step family with other children present	3
Croydon South	Blended family with no other children present	11
Croydon South	Intact family with no other children present	574
Croydon South	Intact family with other children present	3
Croydon South	Other couple family with other children only	3
Croydon South	Step family with no other children present	45
Forest Hill	Blended family with no other children present	14
Forest Hill	Intact family with no other children present	1278
Forest Hill	Intact family with other children present	17
Forest Hill	Step family with no other children present	75
Mitcham (Vic.)	Blended family with no other children present	35
Mitcham (Vic.)	Intact family with no other children present	1999
Mitcham (Vic.)	Intact family with other children present	9
Mitcham (Vic.)	Other couple family with other children only	4
Mitcham (Vic.)	Step family with no other children present	86
Mitcham (Vic.)	Step family with other children present	3
Nunawading	Blended family with no other children present	23
Nunawading	Intact family with no other children present	1455
Nunawading	Intact family with other children present	12
Nunawading	Step family with no other children present	59
Vermont	Blended family with no other children present	41
Vermont	Intact family with no other children present	1424
Vermont	Intact family with other children present	15
Vermont	Step family with no other children present	75
Vermont South	Blended family with no other children present	34
Vermont South	Intact family with no other children present	1579
Vermont South	Intact family with other children present	22
Vermont South	Other couple family with other children only	8
Vermont South	Step family with no other children present	68
Vermont South	Step family with other children present	3
Belgrave - Selby	Blended family with no other children present	42
Belgrave - Selby	Intact family with no other children present	1299
Belgrave - Selby	Intact family with other children present	8
Belgrave - Selby	Step family with no other children present	84
Chirnside Park	Blended family with no other children present	61
Chirnside Park	Intact family with no other children present	1170
Chirnside Park	Intact family with other children present	7
Chirnside Park	Other couple family with other children only	7
Chirnside Park	Step family with no other children present	86
Chirnside Park	Step family with other children present	4
Healesville - Yarra Glen	Blended family with no other children present	71
Healesville - Yarra Glen	Intact family with no other children present	1358
Healesville - Yarra Glen	Intact family with other children present	13
Healesville - Yarra Glen	Step family with no other children present	140
Kilsyth	Blended family with no other children present	41
Kilsyth	Intact family with no other children present	907
Kilsyth	Intact family with other children present	14
Kilsyth	Other couple family with other children only	8
Kilsyth	Step family with no other children present	72
Lilydale - Coldstream	Blended family with no other children present	79
Lilydale - Coldstream	Intact family with no other children present	2101
Lilydale - Coldstream	Intact family with other children present	19
Lilydale - Coldstream	Other couple family with other children only	4
Lilydale - Coldstream	Step family with no other children present	194
Lilydale - Coldstream	Step family with other children present	8
Monbulk - Silvan	Blended family with no other children present	34
Monbulk - Silvan	Intact family with no other children present	663
Monbulk - Silvan	Intact family with other children present	7
Monbulk - Silvan	Step family with no other children present	56
Montrose	Blended family with no other children present	24
Montrose	Intact family with no other children present	785
Montrose	Intact family with other children present	16
Montrose	Other couple family with other children only	4
Montrose	Step family with no other children present	90
Montrose	Step family with other children present	3
Mooroolbark	Blended family with no other children present	120
Mooroolbark	Intact family with no other children present	2621
Mooroolbark	Intact family with other children present	36
Mooroolbark	Other couple family with other children only	14
Mooroolbark	Step family with no other children present	213
Mount Dandenong - Olinda	Blended family with no other children present	32
Mount Dandenong - Olinda	Intact family with no other children present	1120
Mount Dandenong - Olinda	Intact family with other children present	12
Mount Dandenong - Olinda	Other couple family with other children only	3
Mount Dandenong - Olinda	Step family with no other children present	95
Mount Evelyn	Blended family with no other children present	67
Mount Evelyn	Blended family with other children present	3
Mount Evelyn	Intact family with no other children present	1179
Mount Evelyn	Intact family with other children present	11
Mount Evelyn	Other couple family with other children only	4
Mount Evelyn	Step family with no other children present	100
Mount Evelyn	Step family with other children present	3
Upwey - Tecoma	Blended family with no other children present	51
Upwey - Tecoma	Intact family with no other children present	1187
Upwey - Tecoma	Intact family with other children present	11
Upwey - Tecoma	Step family with no other children present	95
Upwey - Tecoma	Step family with other children present	3
Wandin - Seville	Blended family with no other children present	46
Wandin - Seville	Intact family with no other children present	961
Wandin - Seville	Intact family with other children present	6
Wandin - Seville	Step family with no other children present	77
Wandin - Seville	Step family with other children present	3
Yarra Valley	Blended family with no other children present	114
Yarra Valley	Blended family with other children present	4
Yarra Valley	Intact family with no other children present	1531
Yarra Valley	Intact family with other children present	15
Yarra Valley	Other couple family with other children only	11
Yarra Valley	Step family with no other children present	151
Yarra Valley	Step family with other children present	6
Beaconsfield - Officer	Blended family with no other children present	67
Beaconsfield - Officer	Blended family with other children present	3
Beaconsfield - Officer	Intact family with no other children present	1739
Beaconsfield - Officer	Intact family with other children present	17
Beaconsfield - Officer	Other couple family with other children only	4
Beaconsfield - Officer	Step family with no other children present	145
Bunyip - Garfield	Blended family with no other children present	33
Bunyip - Garfield	Intact family with no other children present	1004
Bunyip - Garfield	Intact family with other children present	4
Bunyip - Garfield	Other couple family with other children only	8
Bunyip - Garfield	Step family with no other children present	81
Bunyip - Garfield	Step family with other children present	4
Emerald - Cockatoo	Blended family with no other children present	117
Emerald - Cockatoo	Blended family with other children present	3
Emerald - Cockatoo	Intact family with no other children present	2244
Emerald - Cockatoo	Intact family with other children present	13
Emerald - Cockatoo	Other couple family with other children only	10
Emerald - Cockatoo	Step family with no other children present	163
Emerald - Cockatoo	Step family with other children present	4
Koo Wee Rup	Blended family with no other children present	63
Koo Wee Rup	Intact family with no other children present	781
Koo Wee Rup	Intact family with other children present	13
Koo Wee Rup	Step family with no other children present	92
Pakenham - North	Blended family with no other children present	134
Pakenham - North	Intact family with no other children present	1926
Pakenham - North	Intact family with other children present	17
Pakenham - North	Other couple family with other children only	10
Pakenham - North	Step family with no other children present	185
Pakenham - North	Step family with other children present	3
Pakenham - South	Blended family with no other children present	227
Pakenham - South	Blended family with other children present	3
Pakenham - South	Intact family with no other children present	3209
Pakenham - South	Intact family with other children present	48
Pakenham - South	Other couple family with other children only	21
Pakenham - South	Step family with no other children present	283
Pakenham - South	Step family with other children present	11
Berwick - North	Blended family with no other children present	83
Berwick - North	Intact family with no other children present	2804
Berwick - North	Intact family with other children present	25
Berwick - North	Other couple family with other children only	6
Berwick - North	Step family with no other children present	182
Berwick - South	Blended family with no other children present	156
Berwick - South	Blended family with other children present	3
Berwick - South	Intact family with no other children present	3930
Berwick - South	Intact family with other children present	40
Berwick - South	Other couple family with other children only	7
Berwick - South	Step family with no other children present	243
Berwick - South	Step family with other children present	3
Doveton	Blended family with no other children present	38
Doveton	Blended family with other children present	3
Doveton	Intact family with no other children present	991
Doveton	Intact family with other children present	21
Doveton	Other couple family with other children only	5
Doveton	Step family with no other children present	85
Doveton	Step family with other children present	4
Hallam	Blended family with no other children present	47
Hallam	Intact family with no other children present	1288
Hallam	Intact family with other children present	27
Hallam	Other couple family with other children only	8
Hallam	Step family with no other children present	84
Hallam	Step family with other children present	3
Narre Warren North	Blended family with no other children present	19
Narre Warren North	Intact family with no other children present	1124
Narre Warren North	Intact family with other children present	15
Narre Warren North	Other couple family with other children only	5
Narre Warren North	Step family with no other children present	71
Narre Warren North	Step family with other children present	3
Endeavour Hills - North	Blended family with no other children present	33
Endeavour Hills - North	Intact family with no other children present	1616
Endeavour Hills - North	Intact family with other children present	26
Endeavour Hills - North	Other couple family with other children only	3
Endeavour Hills - North	Step family with no other children present	100
Endeavour Hills - North	Step family with other children present	9
Endeavour Hills - South	Blended family with no other children present	49
Endeavour Hills - South	Intact family with no other children present	1833
Endeavour Hills - South	Intact family with other children present	26
Endeavour Hills - South	Other couple family with other children only	3
Endeavour Hills - South	Step family with no other children present	69
Endeavour Hills - South	Step family with other children present	4
Narre Warren - North East	Blended family with no other children present	65
Narre Warren - North East	Blended family with other children present	3
Narre Warren - North East	Intact family with no other children present	1854
Narre Warren - North East	Intact family with other children present	26
Narre Warren - North East	Other couple family with other children only	5
Narre Warren - North East	Step family with no other children present	124
Narre Warren - South West	Blended family with no other children present	55
Narre Warren - South West	Intact family with no other children present	1623
Narre Warren - South West	Intact family with other children present	30
Narre Warren - South West	Other couple family with other children only	5
Narre Warren - South West	Step family with no other children present	115
Cranbourne	Blended family with no other children present	127
Cranbourne	Intact family with no other children present	2048
Cranbourne	Intact family with other children present	39
Cranbourne	Other couple family with other children only	15
Cranbourne	Step family with no other children present	191
Cranbourne	Step family with other children present	4
Cranbourne East	Blended family with no other children present	179
Cranbourne East	Blended family with other children present	6
Cranbourne East	Intact family with no other children present	3501
Cranbourne East	Intact family with other children present	45
Cranbourne East	Other couple family with other children only	9
Cranbourne East	Step family with no other children present	224
Cranbourne East	Step family with other children present	3
Cranbourne North	Blended family with no other children present	129
Cranbourne North	Intact family with no other children present	2696
Cranbourne North	Intact family with other children present	40
Cranbourne North	Other couple family with other children only	7
Cranbourne North	Step family with no other children present	201
Cranbourne North	Step family with other children present	3
Cranbourne South	Blended family with no other children present	68
Cranbourne South	Blended family with other children present	3
Cranbourne South	Intact family with no other children present	1103
Cranbourne South	Intact family with other children present	15
Cranbourne South	Step family with no other children present	81
Cranbourne South	Step family with other children present	3
Cranbourne West	Blended family with no other children present	94
Cranbourne West	Intact family with no other children present	1969
Cranbourne West	Intact family with other children present	30
Cranbourne West	Other couple family with other children only	10
Cranbourne West	Step family with no other children present	143
Cranbourne West	Step family with other children present	3
Hampton Park - Lynbrook	Blended family with no other children present	105
Hampton Park - Lynbrook	Blended family with other children present	7
Hampton Park - Lynbrook	Intact family with no other children present	3233
Hampton Park - Lynbrook	Intact family with other children present	92
Hampton Park - Lynbrook	Other couple family with other children only	12
Hampton Park - Lynbrook	Step family with no other children present	178
Hampton Park - Lynbrook	Step family with other children present	7
Lynbrook - Lyndhurst	Blended family with no other children present	59
Lynbrook - Lyndhurst	Intact family with no other children present	2458
Lynbrook - Lyndhurst	Intact family with other children present	44
Lynbrook - Lyndhurst	Other couple family with other children only	8
Lynbrook - Lyndhurst	Step family with no other children present	114
Pearcedale - Tooradin	Blended family with no other children present	56
Pearcedale - Tooradin	Intact family with no other children present	885
Pearcedale - Tooradin	Intact family with other children present	9
Pearcedale - Tooradin	Other couple family with other children only	5
Pearcedale - Tooradin	Step family with no other children present	95
Narre Warren South (East)	Blended family with no other children present	83
Narre Warren South (East)	Intact family with no other children present	2002
Narre Warren South (East)	Intact family with other children present	34
Narre Warren South (East)	Other couple family with other children only	6
Narre Warren South (East)	Step family with no other children present	120
Narre Warren South (West)	Blended family with no other children present	109
Narre Warren South (West)	Blended family with other children present	3
Narre Warren South (West)	Intact family with no other children present	2346
Narre Warren South (West)	Intact family with other children present	45
Narre Warren South (West)	Other couple family with other children only	6
Narre Warren South (West)	Step family with no other children present	145
Clarinda - Oakleigh South	Blended family with no other children present	33
Clarinda - Oakleigh South	Intact family with no other children present	1498
Clarinda - Oakleigh South	Intact family with other children present	25
Clarinda - Oakleigh South	Other couple family with other children only	5
Clarinda - Oakleigh South	Step family with no other children present	56
Clarinda - Oakleigh South	Step family with other children present	3
Clayton South	Blended family with no other children present	24
Clayton South	Intact family with no other children present	1453
Clayton South	Intact family with other children present	28
Clayton South	Other couple family with other children only	5
Clayton South	Step family with no other children present	63
Dandenong	Blended family with no other children present	51
Dandenong	Blended family with other children present	3
Dandenong	Intact family with no other children present	3084
Dandenong	Intact family with other children present	63
Dandenong	Other couple family with other children only	13
Dandenong	Step family with no other children present	123
Dandenong	Step family with other children present	7
Dandenong North	Blended family with no other children present	70
Dandenong North	Blended family with other children present	3
Dandenong North	Intact family with no other children present	2617
Dandenong North	Intact family with other children present	41
Dandenong North	Other couple family with other children only	11
Dandenong North	Step family with no other children present	149
Dandenong North	Step family with other children present	3
Dingley Village	Blended family with no other children present	44
Dingley Village	Intact family with no other children present	1346
Dingley Village	Intact family with other children present	7
Dingley Village	Other couple family with other children only	3
Dingley Village	Step family with no other children present	91
Keysborough	Blended family with no other children present	81
Keysborough	Blended family with other children present	6
Keysborough	Intact family with no other children present	3600
Keysborough	Intact family with other children present	89
Keysborough	Other couple family with other children only	12
Keysborough	Step family with no other children present	162
Keysborough	Step family with other children present	7
Noble Park North	Blended family with no other children present	36
Noble Park North	Intact family with no other children present	844
Noble Park North	Intact family with other children present	13
Noble Park North	Other couple family with other children only	3
Noble Park North	Step family with no other children present	52
Springvale	Blended family with no other children present	58
Springvale	Intact family with no other children present	2263
Springvale	Intact family with other children present	94
Springvale	Other couple family with other children only	10
Springvale	Step family with no other children present	119
Springvale	Step family with other children present	6
Springvale South	Blended family with no other children present	53
Springvale South	Intact family with no other children present	1453
Springvale South	Intact family with other children present	55
Springvale South	Other couple family with other children only	13
Springvale South	Step family with no other children present	87
Springvale South	Step family with other children present	9
Noble Park - East	Blended family with no other children present	26
Noble Park - East	Intact family with no other children present	1179
Noble Park - East	Intact family with other children present	23
Noble Park - East	Other couple family with other children only	6
Noble Park - East	Step family with no other children present	71
Noble Park - East	Step family with other children present	3
Noble Park - West	Blended family with no other children present	73
Noble Park - West	Blended family with other children present	3
Noble Park - West	Intact family with no other children present	1902
Noble Park - West	Intact family with other children present	58
Noble Park - West	Other couple family with other children only	12
Noble Park - West	Step family with no other children present	139
Noble Park - West	Step family with other children present	4
Ashwood - Chadstone	Blended family with no other children present	35
Ashwood - Chadstone	Intact family with no other children present	1949
Ashwood - Chadstone	Intact family with other children present	19
Ashwood - Chadstone	Other couple family with other children only	7
Ashwood - Chadstone	Step family with no other children present	90
Clayton	Blended family with no other children present	19
Clayton	Intact family with no other children present	1475
Clayton	Intact family with other children present	19
Clayton	Other couple family with other children only	7
Clayton	Step family with no other children present	62
Glen Waverley - East	Blended family with no other children present	51
Glen Waverley - East	Intact family with no other children present	2966
Glen Waverley - East	Intact family with other children present	49
Glen Waverley - East	Other couple family with other children only	3
Glen Waverley - East	Step family with no other children present	96
Glen Waverley - East	Step family with other children present	3
Glen Waverley - West	Blended family with no other children present	24
Glen Waverley - West	Intact family with no other children present	2573
Glen Waverley - West	Intact family with other children present	34
Glen Waverley - West	Other couple family with other children only	4
Glen Waverley - West	Step family with no other children present	110
Glen Waverley - West	Step family with other children present	3
Mount Waverley - North	Blended family with no other children present	27
Mount Waverley - North	Intact family with no other children present	2038
Mount Waverley - North	Intact family with other children present	23
Mount Waverley - North	Other couple family with other children only	3
Mount Waverley - North	Step family with no other children present	69
Mount Waverley - North	Step family with other children present	3
Mount Waverley - South	Blended family with no other children present	40
Mount Waverley - South	Intact family with no other children present	2402
Mount Waverley - South	Intact family with other children present	28
Mount Waverley - South	Other couple family with other children only	3
Mount Waverley - South	Step family with no other children present	85
Mount Waverley - South	Step family with other children present	4
Mulgrave	Blended family with no other children present	56
Mulgrave	Intact family with no other children present	2494
Mulgrave	Intact family with other children present	41
Mulgrave	Other couple family with other children only	8
Mulgrave	Step family with no other children present	105
Mulgrave	Step family with other children present	3
Oakleigh - Huntingdale	Blended family with no other children present	30
Oakleigh - Huntingdale	Intact family with no other children present	2503
Oakleigh - Huntingdale	Intact family with other children present	27
Oakleigh - Huntingdale	Other couple family with other children only	10
Oakleigh - Huntingdale	Step family with no other children present	121
Wheelers Hill	Blended family with no other children present	33
Wheelers Hill	Intact family with no other children present	2687
Wheelers Hill	Intact family with other children present	29
Wheelers Hill	Other couple family with other children only	7
Wheelers Hill	Step family with no other children present	96
Ardeer - Albion	Blended family with no other children present	33
Ardeer - Albion	Intact family with no other children present	656
Ardeer - Albion	Intact family with other children present	14
Ardeer - Albion	Step family with no other children present	36
Cairnlea	Blended family with no other children present	47
Cairnlea	Blended family with other children present	3
Cairnlea	Intact family with no other children present	1371
Cairnlea	Intact family with other children present	45
Cairnlea	Other couple family with other children only	9
Cairnlea	Step family with no other children present	79
Cairnlea	Step family with other children present	7
Deer Park - Derrimut	Blended family with no other children present	112
Deer Park - Derrimut	Blended family with other children present	7
Deer Park - Derrimut	Intact family with no other children present	3232
Deer Park - Derrimut	Intact family with other children present	87
Deer Park - Derrimut	Other couple family with other children only	20
Deer Park - Derrimut	Step family with no other children present	162
Deer Park - Derrimut	Step family with other children present	9
Delahey	Blended family with no other children present	19
Delahey	Intact family with no other children present	1080
Delahey	Intact family with other children present	17
Delahey	Other couple family with other children only	8
Delahey	Step family with no other children present	66
Keilor Downs	Blended family with no other children present	42
Keilor Downs	Intact family with no other children present	1636
Keilor Downs	Intact family with other children present	26
Keilor Downs	Other couple family with other children only	9
Keilor Downs	Step family with no other children present	59
Kings Park (Vic.)	Blended family with no other children present	58
Kings Park (Vic.)	Intact family with no other children present	1488
Kings Park (Vic.)	Intact family with other children present	43
Kings Park (Vic.)	Other couple family with other children only	8
Kings Park (Vic.)	Step family with no other children present	84
Kings Park (Vic.)	Step family with other children present	4
St Albans - North	Blended family with no other children present	63
St Albans - North	Blended family with other children present	3
St Albans - North	Intact family with no other children present	1895
St Albans - North	Intact family with other children present	45
St Albans - North	Other couple family with other children only	17
St Albans - North	Step family with no other children present	120
St Albans - North	Step family with other children present	3
St Albans - South	Blended family with no other children present	73
St Albans - South	Blended family with other children present	3
St Albans - South	Intact family with no other children present	1646
St Albans - South	Intact family with other children present	59
St Albans - South	Other couple family with other children only	17
St Albans - South	Step family with no other children present	115
St Albans - South	Step family with other children present	3
Sunshine	Blended family with no other children present	30
Sunshine	Intact family with no other children present	958
Sunshine	Intact family with other children present	14
Sunshine	Other couple family with other children only	3
Sunshine	Step family with no other children present	56
Sunshine North	Blended family with no other children present	41
Sunshine North	Intact family with no other children present	1199
Sunshine North	Intact family with other children present	36
Sunshine North	Other couple family with other children only	8
Sunshine North	Step family with no other children present	69
Sunshine North	Step family with other children present	6
Sunshine West	Blended family with no other children present	66
Sunshine West	Blended family with other children present	4
Sunshine West	Intact family with no other children present	1939
Sunshine West	Intact family with other children present	54
Sunshine West	Other couple family with other children only	16
Sunshine West	Step family with no other children present	96
Sunshine West	Step family with other children present	4
Sydenham	Blended family with no other children present	47
Sydenham	Intact family with no other children present	1543
Sydenham	Intact family with other children present	21
Sydenham	Step family with no other children present	85
Sydenham	Step family with other children present	3
Taylors Lakes	Blended family with no other children present	27
Taylors Lakes	Blended family with other children present	3
Taylors Lakes	Intact family with no other children present	2704
Taylors Lakes	Intact family with other children present	22
Taylors Lakes	Other couple family with other children only	9
Taylors Lakes	Step family with no other children present	108
Altona	Blended family with no other children present	38
Altona	Intact family with no other children present	1325
Altona	Intact family with other children present	13
Altona	Other couple family with other children only	3
Altona	Step family with no other children present	74
Altona Meadows	Blended family with no other children present	71
Altona Meadows	Blended family with other children present	6
Altona Meadows	Intact family with no other children present	2219
Altona Meadows	Intact family with other children present	25
Altona Meadows	Other couple family with other children only	7
Altona Meadows	Step family with no other children present	134
Altona Meadows	Step family with other children present	3
Altona North	Blended family with no other children present	23
Altona North	Intact family with no other children present	1426
Altona North	Intact family with other children present	20
Altona North	Other couple family with other children only	3
Altona North	Step family with no other children present	76
Newport	Blended family with no other children present	45
Newport	Intact family with no other children present	2216
Newport	Intact family with other children present	9
Newport	Other couple family with other children only	3
Newport	Step family with no other children present	111
Seabrook	Blended family with no other children present	23
Seabrook	Intact family with no other children present	724
Seabrook	Intact family with other children present	8
Seabrook	Other couple family with other children only	7
Seabrook	Step family with no other children present	42
Williamstown	Blended family with no other children present	43
Williamstown	Intact family with no other children present	1980
Williamstown	Intact family with other children present	10
Williamstown	Other couple family with other children only	6
Williamstown	Step family with no other children present	92
Braybrook	Blended family with no other children present	38
Braybrook	Blended family with other children present	6
Braybrook	Intact family with no other children present	1672
Braybrook	Intact family with other children present	39
Braybrook	Other couple family with other children only	13
Braybrook	Step family with no other children present	94
Footscray	Blended family with no other children present	16
Footscray	Intact family with no other children present	1104
Footscray	Intact family with other children present	15
Footscray	Other couple family with other children only	5
Footscray	Step family with no other children present	57
Maribyrnong	Blended family with no other children present	24
Maribyrnong	Intact family with no other children present	1305
Maribyrnong	Intact family with other children present	19
Maribyrnong	Other couple family with other children only	3
Maribyrnong	Step family with no other children present	76
Maribyrnong	Step family with other children present	4
Seddon - Kingsville	Blended family with no other children present	18
Seddon - Kingsville	Intact family with no other children present	1032
Seddon - Kingsville	Intact family with other children present	7
Seddon - Kingsville	Step family with no other children present	36
West Footscray - Tottenham	Blended family with no other children present	18
West Footscray - Tottenham	Intact family with no other children present	1147
West Footscray - Tottenham	Intact family with other children present	13
West Footscray - Tottenham	Other couple family with other children only	9
West Footscray - Tottenham	Step family with no other children present	57
Yarraville	Blended family with no other children present	22
Yarraville	Intact family with no other children present	1739
Yarraville	Intact family with other children present	8
Yarraville	Other couple family with other children only	6
Yarraville	Step family with no other children present	73
Bacchus Marsh	Blended family with no other children present	143
Bacchus Marsh	Intact family with no other children present	2204
Bacchus Marsh	Intact family with other children present	24
Bacchus Marsh	Other couple family with other children only	14
Bacchus Marsh	Step family with no other children present	194
Bacchus Marsh	Step family with other children present	3
Hillside	Blended family with no other children present	90
Hillside	Blended family with other children present	3
Hillside	Intact family with no other children present	3070
Hillside	Intact family with other children present	25
Hillside	Other couple family with other children only	4
Hillside	Step family with no other children present	151
Melton	Blended family with no other children present	107
Melton	Intact family with no other children present	1781
Melton	Intact family with other children present	32
Melton	Other couple family with other children only	19
Melton	Step family with no other children present	171
Melton	Step family with other children present	6
Melton South	Blended family with no other children present	141
Melton South	Blended family with other children present	5
Melton South	Intact family with no other children present	2462
Melton South	Intact family with other children present	36
Melton South	Other couple family with other children only	11
Melton South	Step family with no other children present	201
Melton South	Step family with other children present	3
Melton West	Blended family with no other children present	125
Melton West	Blended family with other children present	3
Melton West	Intact family with no other children present	1906
Melton West	Intact family with other children present	27
Melton West	Other couple family with other children only	4
Melton West	Step family with no other children present	170
Melton West	Step family with other children present	8
Rockbank - Mount Cottrell	Blended family with no other children present	3
Rockbank - Mount Cottrell	Intact family with no other children present	154
Rockbank - Mount Cottrell	Intact family with other children present	4
Rockbank - Mount Cottrell	Other couple family with other children only	3
Rockbank - Mount Cottrell	Step family with no other children present	13
Taylors Hill	Blended family with no other children present	82
Taylors Hill	Intact family with no other children present	3141
Taylors Hill	Intact family with other children present	41
Taylors Hill	Other couple family with other children only	3
Taylors Hill	Step family with no other children present	128
Taylors Hill	Step family with other children present	3
Burnside	Blended family with no other children present	23
Burnside	Intact family with no other children present	632
Burnside	Intact family with other children present	7
Burnside	Other couple family with other children only	8
Burnside	Step family with no other children present	36
Burnside Heights	Blended family with no other children present	27
Burnside Heights	Intact family with no other children present	962
Burnside Heights	Intact family with other children present	18
Burnside Heights	Other couple family with other children only	3
Burnside Heights	Step family with no other children present	29
Caroline Springs	Blended family with no other children present	88
Caroline Springs	Blended family with other children present	3
Caroline Springs	Intact family with no other children present	2875
Caroline Springs	Intact family with other children present	35
Caroline Springs	Other couple family with other children only	8
Caroline Springs	Step family with no other children present	161
Hoppers Crossing - North	Blended family with no other children present	101
Hoppers Crossing - North	Intact family with no other children present	2478
Hoppers Crossing - North	Intact family with other children present	34
Hoppers Crossing - North	Other couple family with other children only	9
Hoppers Crossing - North	Step family with no other children present	165
Hoppers Crossing - North	Step family with other children present	3
Hoppers Crossing - South	Blended family with no other children present	83
Hoppers Crossing - South	Blended family with other children present	3
Hoppers Crossing - South	Intact family with no other children present	2295
Hoppers Crossing - South	Intact family with other children present	35
Hoppers Crossing - South	Other couple family with other children only	15
Hoppers Crossing - South	Step family with no other children present	144
Hoppers Crossing - South	Step family with other children present	3
Laverton	Blended family with no other children present	27
Laverton	Intact family with no other children present	1065
Laverton	Intact family with other children present	20
Laverton	Other couple family with other children only	5
Laverton	Step family with no other children present	49
Tarneit	Blended family with no other children present	148
Tarneit	Blended family with other children present	4
Tarneit	Intact family with no other children present	5180
Tarneit	Intact family with other children present	101
Tarneit	Other couple family with other children only	15
Tarneit	Step family with no other children present	248
Tarneit	Step family with other children present	10
Truganina	Blended family with no other children present	70
