STE_NAME16	Age5yr	Indigenous	Sex	persons
Other Territories	5-9	0	M	131
Other Territories	5-9	1	F	13
Other Territories	5-9	1	M	14
Other Territories	10-14		F	6
Other Territories	10-14		M	14
Other Territories	10-14	0	F	118
Other Territories	10-14	0	M	100
Other Territories	10-14	1	F	10
Other Territories	10-14	1	M	18
Other Territories	15-19		F	15
Other Territories	15-19		M	9
Other Territories	15-19	0	F	82
Other Territories	15-19	0	M	90
Other Territories	15-19	1	F	16
Other Territories	15-19	1	M	6
Other Territories	20-24		F	6
Other Territories	20-24		M	19
Other Territories	20-24	0	F	62
Other Territories	20-24	0	M	114
Other Territories	20-24	1	F	3
Other Territories	20-24	1	M	8
Other Territories	25-29		F	9
Other Territories	25-29		M	19
Other Territories	25-29	0	F	84
Other Territories	25-29	0	M	134
Other Territories	25-29	1	F	7
Other Territories	25-29	1	M	4
Other Territories	30-34		F	17
Other Territories	30-34		M	21
Other Territories	30-34	0	F	122
Other Territories	30-34	0	M	142
Other Territories	30-34	1	F	7
Other Territories	30-34	1	M	9
Other Territories	35-39		F	5
Other Territories	35-39		M	10
Other Territories	35-39	0	F	121
Other Territories	35-39	0	M	161
Other Territories	35-39	1	F	13
Other Territories	35-39	1	M	8
Other Territories	40-44		F	9
Other Territories	40-44		M	13
Other Territories	40-44	0	F	131
Other Territories	40-44	0	M	147
Other Territories	40-44	1	F	13
Other Territories	40-44	1	M	8
Other Territories	45-49		F	19
Other Territories	45-49		M	13
Other Territories	45-49	0	F	134
Other Territories	45-49	0	M	144
Other Territories	45-49	1	F	10
Other Territories	45-49	1	M	6
Other Territories	50-54		F	23
Other Territories	50-54		M	24
Other Territories	50-54	0	F	145
Other Territories	50-54	0	M	176
Other Territories	50-54	1	F	7
Other Territories	50-54	1	M	11
Other Territories	55-59		F	24
Other Territories	55-59		M	23
Other Territories	55-59	0	F	152
Other Territories	55-59	0	M	160
Other Territories	55-59	1	F	8
Other Territories	55-59	1	M	7
Other Territories	60-64		F	25
Other Territories	60-64		M	18
Other Territories	60-64	0	F	136
Other Territories	60-64	0	M	144
Other Territories	60-64	1	M	7
Other Territories	65+		F	37
Other Territories	65+		M	44
Other Territories	65+	0	F	283
Other Territories	65+	0	M	330
Other Territories	65+	1	F	11
Other Territories	65+	1	M	10
