STE_NAME16	Age5yr	ChildrenEverBorn	females
Northern Territory	70-74	6	131
Northern Territory	75-79		160
Northern Territory	75-79	0	117
Northern Territory	75-79	1	87
Northern Territory	75-79	2	237
Northern Territory	75-79	3	232
Northern Territory	75-79	4	151
Northern Territory	75-79	5	91
Northern Territory	75-79	6	113
Northern Territory	80-84		106
Northern Territory	80-84	0	58
Northern Territory	80-84	1	39
Northern Territory	80-84	2	112
Northern Territory	80-84	3	90
Northern Territory	80-84	4	105
Northern Territory	80-84	5	64
Northern Territory	80-84	6	107
Northern Territory	85+		99
Northern Territory	85+	0	42
Northern Territory	85+	1	52
Northern Territory	85+	2	78
Northern Territory	85+	3	83
Northern Territory	85+	4	74
Northern Territory	85+	5	40
Northern Territory	85+	6	83
Australian Capital Territory	15-19		1103
Australian Capital Territory	15-19	0	10972
Australian Capital Territory	15-19	1	53
Australian Capital Territory	15-19	2	12
Australian Capital Territory	15-19	6	4
Australian Capital Territory	20-24		1278
Australian Capital Territory	20-24	0	13384
Australian Capital Territory	20-24	1	624
Australian Capital Territory	20-24	2	217
Australian Capital Territory	20-24	3	52
Australian Capital Territory	20-24	4	6
Australian Capital Territory	20-24	6	3
Australian Capital Territory	25-29		1232
Australian Capital Territory	25-29	0	11650
Australian Capital Territory	25-29	1	2128
Australian Capital Territory	25-29	2	1118
Australian Capital Territory	25-29	3	297
Australian Capital Territory	25-29	4	88
Australian Capital Territory	25-29	5	24
Australian Capital Territory	25-29	6	4
Australian Capital Territory	30-34		1093
Australian Capital Territory	30-34	0	7144
Australian Capital Territory	30-34	1	3932
Australian Capital Territory	30-34	2	3635
Australian Capital Territory	30-34	3	1002
Australian Capital Territory	30-34	4	218
Australian Capital Territory	30-34	5	73
Australian Capital Territory	30-34	6	44
Australian Capital Territory	35-39		801
Australian Capital Territory	35-39	0	3650
Australian Capital Territory	35-39	1	2817
Australian Capital Territory	35-39	2	5277
Australian Capital Territory	35-39	3	1950
Australian Capital Territory	35-39	4	456
Australian Capital Territory	35-39	5	148
Australian Capital Territory	35-39	6	69
Australian Capital Territory	40-44		733
Australian Capital Territory	40-44	0	2602
Australian Capital Territory	40-44	1	2091
Australian Capital Territory	40-44	2	5558
Australian Capital Territory	40-44	3	2325
Australian Capital Territory	40-44	4	690
Australian Capital Territory	40-44	5	178
Australian Capital Territory	40-44	6	103
Australian Capital Territory	45-49		689
Australian Capital Territory	45-49	0	2305
Australian Capital Territory	45-49	1	1924
Australian Capital Territory	45-49	2	5147
Australian Capital Territory	45-49	3	2337
Australian Capital Territory	45-49	4	722
Australian Capital Territory	45-49	5	164
Australian Capital Territory	45-49	6	109
Australian Capital Territory	50-54		645
Australian Capital Territory	50-54	0	2068
Australian Capital Territory	50-54	1	1642
Australian Capital Territory	50-54	2	4688
Australian Capital Territory	50-54	3	2444
Australian Capital Territory	50-54	4	787
Australian Capital Territory	50-54	5	212
Australian Capital Territory	50-54	6	98
Australian Capital Territory	55-59		642
Australian Capital Territory	55-59	0	1724
Australian Capital Territory	55-59	1	1501
Australian Capital Territory	55-59	2	4124
Australian Capital Territory	55-59	3	2403
Australian Capital Territory	55-59	4	828
Australian Capital Territory	55-59	5	208
Australian Capital Territory	55-59	6	132
Australian Capital Territory	60-64		603
Australian Capital Territory	60-64	0	1244
Australian Capital Territory	60-64	1	1145
Australian Capital Territory	60-64	2	3622
Australian Capital Territory	60-64	3	2263
Australian Capital Territory	60-64	4	837
Australian Capital Territory	60-64	5	227
Australian Capital Territory	60-64	6	86
Australian Capital Territory	65-69		501
Australian Capital Territory	65-69	0	974
Australian Capital Territory	65-69	1	969
Australian Capital Territory	65-69	2	3344
Australian Capital Territory	65-69	3	2148
Australian Capital Territory	65-69	4	789
Australian Capital Territory	65-69	5	230
Australian Capital Territory	65-69	6	132
Australian Capital Territory	70-74		441
Australian Capital Territory	70-74	0	587
Australian Capital Territory	70-74	1	548
Australian Capital Territory	70-74	2	2241
Australian Capital Territory	70-74	3	1607
Australian Capital Territory	70-74	4	660
Australian Capital Territory	70-74	5	225
Australian Capital Territory	70-74	6	121
Australian Capital Territory	75-79		387
Australian Capital Territory	75-79	0	351
Australian Capital Territory	75-79	1	362
Australian Capital Territory	75-79	2	1273
Australian Capital Territory	75-79	3	1188
Australian Capital Territory	75-79	4	633
Australian Capital Territory	75-79	5	253
Australian Capital Territory	75-79	6	182
Australian Capital Territory	80-84		347
Australian Capital Territory	80-84	0	229
Australian Capital Territory	80-84	1	237
Australian Capital Territory	80-84	2	789
Australian Capital Territory	80-84	3	794
Australian Capital Territory	80-84	4	487
Australian Capital Territory	80-84	5	210
Australian Capital Territory	80-84	6	195
Australian Capital Territory	85+		776
Australian Capital Territory	85+	0	214
Australian Capital Territory	85+	1	317
