STE_NAME16	CoupleFamily	HasChild	HasChildUnder15	MortgageRepayment.min	families_in_occupied_private_dwellings_being_purchased
Northern Territory		1	1	26400	6
Northern Territory		1	1	28800	7
Northern Territory		1	1	31200	18
Northern Territory		1	1	36000	17
Northern Territory		1	1	48000	3
Northern Territory		1	1	60000	3
Northern Territory	0	1	0	0	28
Northern Territory	0	1	0	1800	4
Northern Territory	0	1	0	3600	19
Northern Territory	0	1	0	5400	18
Northern Territory	0	1	0	7200	33
Northern Territory	0	1	0	9600	29
Northern Territory	0	1	0	12000	74
Northern Territory	0	1	0	14400	66
Northern Territory	0	1	0	16800	63
Northern Territory	0	1	0	19200	96
Northern Territory	0	1	0	21600	53
Northern Territory	0	1	0	24000	83
Northern Territory	0	1	0	26400	40
Northern Territory	0	1	0	28800	17
Northern Territory	0	1	0	31200	68
Northern Territory	0	1	0	36000	73
Northern Territory	0	1	0	48000	22
Northern Territory	0	1	0	60000	11
Northern Territory	0	1	1	0	23
Northern Territory	0	1	1	1800	8
Northern Territory	0	1	1	3600	22
Northern Territory	0	1	1	5400	22
Northern Territory	0	1	1	7200	20
Northern Territory	0	1	1	9600	40
Northern Territory	0	1	1	12000	59
Northern Territory	0	1	1	14400	82
Northern Territory	0	1	1	16800	80
Northern Territory	0	1	1	19200	105
Northern Territory	0	1	1	21600	73
Northern Territory	0	1	1	24000	108
Northern Territory	0	1	1	26400	55
Northern Territory	0	1	1	28800	47
Northern Territory	0	1	1	31200	97
Northern Territory	0	1	1	36000	118
Northern Territory	0	1	1	48000	38
Northern Territory	0	1	1	60000	18
Northern Territory	1	0	0	0	132
Northern Territory	1	0	0	1800	26
Northern Territory	1	0	0	3600	82
Northern Territory	1	0	0	5400	69
Northern Territory	1	0	0	7200	124
Northern Territory	1	0	0	9600	170
Northern Territory	1	0	0	12000	237
Northern Territory	1	0	0	14400	284
Northern Territory	1	0	0	16800	280
Northern Territory	1	0	0	19200	362
Northern Territory	1	0	0	21600	290
Northern Territory	1	0	0	24000	527
Northern Territory	1	0	0	26400	238
Northern Territory	1	0	0	28800	226
Northern Territory	1	0	0	31200	604
Northern Territory	1	0	0	36000	836
Northern Territory	1	0	0	48000	275
Northern Territory	1	0	0	60000	165
Northern Territory	1	1	0	0	55
Northern Territory	1	1	0	1800	15
Northern Territory	1	1	0	3600	26
Northern Territory	1	1	0	5400	27
Northern Territory	1	1	0	7200	60
Northern Territory	1	1	0	9600	85
Northern Territory	1	1	0	12000	113
Northern Territory	1	1	0	14400	140
Northern Territory	1	1	0	16800	121
Northern Territory	1	1	0	19200	145
Northern Territory	1	1	0	21600	116
Northern Territory	1	1	0	24000	244
Northern Territory	1	1	0	26400	76
Northern Territory	1	1	0	28800	83
Northern Territory	1	1	0	31200	224
Northern Territory	1	1	0	36000	310
Northern Territory	1	1	0	48000	140
Northern Territory	1	1	0	60000	88
Northern Territory	1	1	1	0	96
Northern Territory	1	1	1	1800	20
Northern Territory	1	1	1	3600	49
Northern Territory	1	1	1	5400	40
Northern Territory	1	1	1	7200	75
Northern Territory	1	1	1	9600	130
Northern Territory	1	1	1	12000	212
Northern Territory	1	1	1	14400	272
Northern Territory	1	1	1	16800	323
Northern Territory	1	1	1	19200	445
Northern Territory	1	1	1	21600	387
Northern Territory	1	1	1	24000	754
Northern Territory	1	1	1	26400	410
Northern Territory	1	1	1	28800	375
Northern Territory	1	1	1	31200	980
Northern Territory	1	1	1	36000	1433
Northern Territory	1	1	1	48000	477
Northern Territory	1	1	1	60000	257
Australian Capital Territory		1	1	0	25
Australian Capital Territory		1	1	1800	4
Australian Capital Territory		1	1	3600	4
Australian Capital Territory		1	1	5400	5
Australian Capital Territory		1	1	7200	11
Australian Capital Territory		1	1	9600	15
Australian Capital Territory		1	1	12000	20
Australian Capital Territory		1	1	14400	21
Australian Capital Territory		1	1	16800	32
Australian Capital Territory		1	1	19200	35
Australian Capital Territory		1	1	21600	42
Australian Capital Territory		1	1	24000	43
Australian Capital Territory		1	1	26400	17
Australian Capital Territory		1	1	28800	11
Australian Capital Territory		1	1	31200	33
Australian Capital Territory		1	1	36000	33
Australian Capital Territory		1	1	48000	6
Australian Capital Territory		1	1	60000	3
Australian Capital Territory	0	1	0	0	79
Australian Capital Territory	0	1	0	1800	20
Australian Capital Territory	0	1	0	3600	63
Australian Capital Territory	0	1	0	5400	62
Australian Capital Territory	0	1	0	7200	117
Australian Capital Territory	0	1	0	9600	145
Australian Capital Territory	0	1	0	12000	205
Australian Capital Territory	0	1	0	14400	190
Australian Capital Territory	0	1	0	16800	189
Australian Capital Territory	0	1	0	19200	231
Australian Capital Territory	0	1	0	21600	177
Australian Capital Territory	0	1	0	24000	297
Australian Capital Territory	0	1	0	26400	126
Australian Capital Territory	0	1	0	28800	64
Australian Capital Territory	0	1	0	31200	160
Australian Capital Territory	0	1	0	36000	178
Australian Capital Territory	0	1	0	48000	50
Australian Capital Territory	0	1	0	60000	27
Australian Capital Territory	0	1	1	0	52
Australian Capital Territory	0	1	1	1800	12
Australian Capital Territory	0	1	1	3600	43
Australian Capital Territory	0	1	1	5400	27
Australian Capital Territory	0	1	1	7200	53
Australian Capital Territory	0	1	1	9600	103
Australian Capital Territory	0	1	1	12000	135
Australian Capital Territory	0	1	1	14400	145
Australian Capital Territory	0	1	1	16800	181
Australian Capital Territory	0	1	1	19200	260
Australian Capital Territory	0	1	1	21600	214
Australian Capital Territory	0	1	1	24000	300
Australian Capital Territory	0	1	1	26400	165
