SA3_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
30902,9317,2918,4362,83,59,16741,1156,704,1275,44,10,3194,246,122,203,13,12,592,10718,3746,5841,141,85,20529
30903,9898,6899,4636,180,92,21700,1357,1406,1017,104,33,3915,276,229,176,18,15,717,11536,8535,5825,304,139,26336
30904,5470,53,21,75,13,5632,576,18,7,23,3,625,124,0,3,3,0,134,6174,67,31,102,23,6390
30905,8207,1280,31,22,16,9560,476,170,9,19,0,674,170,23,7,4,0,211,8851,1476,53,44,22,10445
30906,14958,3783,689,215,23,19668,1178,770,238,174,3,2359,346,146,39,30,130,688,16481,4697,960,416,163,22716
30907,27995,5004,854,183,93,34141,1867,771,112,62,14,2822,610,128,34,14,12,792,30472,5901,1002,261,118,37751
30908,8716,4980,1697,3,23,15420,679,547,382,3,5,1614,192,136,81,0,0,412,9591,5666,2156,9,24,17446
30909,9519,3316,5144,48,70,18098,963,683,1150,16,14,2832,307,278,311,3,72,973,10794,4281,6603,69,154,21900
30910,3997,1655,7575,62,103,13385,303,176,1510,4,11,2000,104,41,306,6,16,479,4395,1868,9393,73,136,15868
31001,15915,2035,272,102,55,18386,2455,450,181,84,14,3188,503,95,39,12,12,665,18875,2579,495,207,83,22243
31002,16163,114,95,150,83,16602,3731,132,80,104,27,4084,516,14,20,114,15,671,20413,261,196,369,124,21359
31003,27172,1883,462,78,61,29659,4298,1011,298,38,18,5666,677,130,43,3,13,868,32146,3027,799,122,98,36192
31004,20624,1763,70,39,35,22525,2084,363,25,30,6,2512,518,82,3,8,15,624,23226,2205,98,77,54,25662
