SA3_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
30703,45,1300,510,230,1226,0.8,988,2.4
30801,33,1842,814,170,2065,0.8,1788,2.7
30803,38,1625,623,275,1555,0.8,1268,2.5
30804,37,1517,714,190,1895,0.8,1575,2.6
30805,35,1950,678,250,1918,0.8,1586,2.6
30901,40,1907,721,380,1720,0.8,1388,2.3
30902,42,1860,648,360,1604,0.8,1262,2.4
30903,44,1733,604,360,1430,0.8,1158,2.3
30904,45,1820,639,360,1621,0.8,1417,2.6
30905,38,2000,691,410,1846,0.8,1738,3
30906,38,1907,661,395,1663,0.8,1486,2.8
30907,34,2000,731,415,1822,0.8,1727,3
30908,38,1863,651,440,1617,0.8,1422,2.6
30909,37,1733,575,370,1453,0.9,1196,2.4
30910,40,1950,672,375,1620,1,1275,2.2
31001,33,1733,580,340,1482,0.9,1354,2.9
31002,42,1517,538,280,1354,0.8,1172,2.6
31003,35,1517,640,280,1549,0.8,1325,2.6
31004,30,1733,715,345,1669,0.8,1575,3.1
31101,42,1550,524,288,1283,0.8,1088,2.6
31102,35,1560,591,320,1356,0.8,1174,2.6
31103,32,1647,636,350,1500,0.9,1437,3
31104,35,2000,717,400,1856,0.8,1846,3.2
31105,35,1733,672,350,1667,0.8,1491,2.8
31106,34,1603,584,310,1435,0.9,1285,2.8
31201,34,1579,772,150,2028,0.8,1686,2.6
31202,37,1950,698,277,1774,0.8,1456,2.5
31203,37,1733,735,300,1560,0.8,1321,2.4
31301,55,1603,489,305,1152,0.7,932,2.2
31302,34,1625,558,310,1354,0.8,1212,2.8
31303,42,1625,568,280,1399,0.8,1203,2.6
31304,37,1755,629,326,1616,0.8,1441,2.9
31305,45,1690,595,320,1447,0.8,1132,2.3
31401,38,2035,821,400,2219,0.8,2081,3
31402,32,1900,751,365,1765,0.8,1606,2.8
31403,36,1690,669,340,1596,0.8,1400,2.7
31501,31,1600,494,120,1207,1.1,1184,3
31502,32,1768,842,195,2080,0.9,1833,2.7
31503,41,997,670,130,1454,0.8,1119,2.3
31601,40,1950,644,420,1674,0.8,1431,2.6
