SED_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SED60411,14,18,28,33,63,128,224,321,302,1128,0,3,4,21,22,19,13,12,5,100,90,149,357,313,293,338,344,364,220,2469,808,1725,3889,4161,4489,4630,4155,2621,1273,27753
SED60413,3,5,15,16,33,70,112,93,57,395,0,0,0,3,7,5,3,5,0,26,58,60,103,118,175,174,200,106,30,1023,531,1099,2303,2615,2894,2944,1944,779,222,15331
SED60501,9,0,21,23,56,164,294,240,128,927,0,3,3,8,7,11,9,8,12,59,91,57,127,184,300,379,428,267,101,1943,540,725,1576,2007,2952,3760,3270,1355,421,16606
SED60502,17,13,37,41,77,204,284,240,98,1008,5,0,4,0,21,22,13,11,4,89,117,114,252,246,285,355,360,218,46,2001,884,1439,2847,3030,3256,3271,2439,1057,245,18461
SED60512,6,0,6,3,26,59,118,77,45,340,0,3,0,0,0,3,3,0,3,19,53,32,69,65,133,171,159,110,31,821,272,340,724,921,1455,1831,1537,653,173,7903
SED60513,3,3,13,9,36,109,152,124,95,555,3,5,0,4,0,8,4,10,0,28,57,70,133,146,180,230,235,166,77,1292,468,786,1829,1923,2407,2683,2045,895,326,13359
SED60514,11,4,28,34,71,188,360,392,266,1354,0,0,3,9,11,9,18,13,0,70,127,123,222,264,409,463,466,296,133,2507,943,1522,2937,3447,4776,5154,4383,1966,661,25787
SED69494,3,3,0,4,9,3,3,0,0,32,0,0,0,0,0,0,0,0,0,3,10,22,44,33,37,15,18,3,0,187,48,90,183,147,135,113,84,12,3,825
SED69797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,8,23,5,15,12,7,0,0,73
SED70001,57,40,79,81,99,85,47,14,0,497,10,12,32,22,38,14,13,14,3,152,66,82,154,272,146,62,20,3,4,816,396,652,1286,1124,877,526,159,52,14,5088
