CED_NAME16	Age	Sex	Volunteer	adults
Gilmore	85+	F	0	1964
Gilmore	85+	F	1	261
Gilmore	85+	M		418
Gilmore	85+	M	0	1390
Gilmore	85+	M	1	162
Grayndler	15-19	F		218
Grayndler	15-19	F	0	1698
Grayndler	15-19	F	1	664
Grayndler	15-19	M		229
Grayndler	15-19	M	0	1845
Grayndler	15-19	M	1	678
Grayndler	20-24	F		473
Grayndler	20-24	F	0	3600
Grayndler	20-24	F	1	1226
Grayndler	20-24	M		425
Grayndler	20-24	M	0	3555
Grayndler	20-24	M	1	852
Grayndler	25-34	F		1437
Grayndler	25-34	F	0	11262
Grayndler	25-34	F	1	2934
Grayndler	25-34	M		1432
Grayndler	25-34	M	0	10977
Grayndler	25-34	M	1	2131
Grayndler	35-44	F		1043
Grayndler	35-44	F	0	9336
Grayndler	35-44	F	1	3299
Grayndler	35-44	M		1101
Grayndler	35-44	M	0	9641
Grayndler	35-44	M	1	2226
Grayndler	45-54	F		745
Grayndler	45-54	F	0	6927
Grayndler	45-54	F	1	2894
Grayndler	45-54	M		888
Grayndler	45-54	M	0	7377
Grayndler	45-54	M	1	2086
Grayndler	55-64	F		599
Grayndler	55-64	F	0	5614
Grayndler	55-64	F	1	1700
Grayndler	55-64	M		634
Grayndler	55-64	M	0	5343
Grayndler	55-64	M	1	1247
Grayndler	65-74	F		406
Grayndler	65-74	F	0	3847
Grayndler	65-74	F	1	1040
Grayndler	65-74	M		430
Grayndler	65-74	M	0	3558
Grayndler	65-74	M	1	815
Grayndler	75-84	F		281
Grayndler	75-84	F	0	2351
Grayndler	75-84	F	1	294
Grayndler	75-84	M		274
Grayndler	75-84	M	0	1951
Grayndler	75-84	M	1	228
Grayndler	85+	F		159
Grayndler	85+	F	0	1287
Grayndler	85+	F	1	39
Grayndler	85+	M		97
Grayndler	85+	M	0	775
